tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
662,2,662,Vibrio,"",bacteria,false,337802404.65826774,99,99,39381.47171687202,46349,1358,28274,98.6275,1201.26,10^-184.401,24.12,49.1035,,,99,37563.17252003701,44209,1304,28581,99.3196,207.914,10^-128.763,68.7549,99.1947,,,"[28173, 29494, 663, 680, 676, 666, 55601, 670, 50719, 150340, 669, 672, 685, 696485, 1208308, 1298599, 1763883, 29495, 29497, 766224, 687, 190895, 2751177, 674, 190893, 723171, 28171, 28172, 675, 553239, 2025808, 677193, 990268, 1116375, 1460648, 314821, 136468, 171383, 246167, 314289, 1481663, 689, 2591018, 2007196, 1938693, 1528101, 170679, 2565928, 1534743, 104609, 2204203, 1481914, 2070776, 2743977, 2591011, 2591010, 2527672, 1938665, 1880840, 992012, 314901, 47951, 45658, 673372, 723172, 29498, 170673, 990271, 28174, 2778644, 2419839, 2259137, 2024409, 1938681, 1938674, 1938673, 1938672, 1938662, 1938659, 1769292, 1528103, 1507977, 1464676, 1464658, 1440054, 1243014, 677009, 534156, 533576, 397884, 314919, 314878, 28175, 28169, 678, 265668, 170661, 2777577, 512649, 691, 76258, 1583451, 2070777, 212663, 379097, 300876, 1001886, 335972, 2587865, 52443, 2755067, 1938694, 1822216, 1918945, 526588, 1435069, 2077090, 2714948, 314290, 1761909, 1004316, 693153, 2572923, 2487322, 252583, 2163016, 2720226, 1074311, 184755, 1194427, 671, 2589990, 2587862, 1860091, 2302434, 2711221, 2607610, 1507971, 552386, 2778645, 1938664, 1323749, 2607607, 1938666, 2751178, 2779368, 1131610, 413402, 1307414, 1381081, 1974215, 1276888, 2720229, 675815, 142461, 1298600, 2720225, 2789781, 2499078, 1481926, 2607602, 1481923, 1891186, 1647102, 2144187, 1880851, 2653505, 1774960, 2662262, 50718, 558271, 170652, 1971595, 1918946, 170674, 212667, 1603038, 2058088, 2200953, 1761910, 2479546, 62763, 1117707]",4
28173,1,662,Vibrio nigripulchritudo,"",bacteria,false,337802404.65826774,99,99,17187.175772700324,20228,295,19267,97.2129,2538.38,10^-285.372,0.278612,0.579378,,,99,17278.94040506396,20336,296,19560,99.843,386.212,10^-244.976,1.18757,1.6535,,,,0
29494,1,662,Vibrio furnissii,"",bacteria,false,287611716.0458188,99,99,17331.620101420864,20398,987,8049,99.8323,211.715,10^-117.288,1.18307,2.3863,,,99,12013.519786939385,14139,851,7065,99.6787,70.7726,10^-41.2416,0.441599,0.949473,,,,0
663,1,662,Vibrio alginolyticus,"",bacteria,false,29454864.048818976,99,99,1847.1880625791232,2174,20,299,99.1858,132.221,10^-72.1736,0.846474,1.6529,,,99,1158.1036473299655,1363,22,230,99.3607,40.8327,10^-17.9789,0.70305,0.978478,,,,1
680,1,662,Vibrio campbellii,"",bacteria,false,27106469.459684983,99,99,1668.7568329831638,1964,45,320,99.8823,134.373,10^-78.4686,0.783684,1.35656,,,99,1096.927225754208,1291,34,266,99.5469,43.0649,10^-19.94,1.65595,4.43149,,,,0
676,1,662,Vibrio fluvialis,"",bacteria,false,17577156.917655904,99,10.576716432641334,37.38559096296294,44,,,99.3164,98.1364,10^-53.6511,1.82318,3.36233,,,99,1789.410331090908,2106,49,335,99.0882,40.7416,10^-17.6135,0.776992,1.40317,,,,0
666,1,662,Vibrio cholerae,"",bacteria,false,7247045.745755904,59.57561429368538,10.96686511817029,46.73198870370367,55,,,98.4735,98.6,10^-52.9233,2.05967,4.07339,,,59.57561429368538,1220.1297414276087,1436,14,689,90.0789,60.426,10^-24.6768,10.1371,20.3102,,,,1
55601,1,662,Vibrio anguillarum,"",bacteria,false,6703750.511534995,99,99,354.3134416262624,417,,,99.8772,99.8034,10^-55.4194,0.795688,1.92065,,,99,329.6729384915823,388,1,10,99.2962,34.6563,10^-13.5437,0.800784,1.22949,,,,0
670,1,662,Vibrio parahaemolyticus,"",bacteria,false,5389142.588836439,99,99,242.15666873737356,285,7,202,95.8071,398.728,10^-170.894,0.96832,1.68364,,,28.476395079564437,1069.7377050538714,1259,5,86,98.2339,34.4463,10^-13.5972,17.9051,36.937,,,,1
50719,1,662,Vibrio diabolicus,"",bacteria,false,4446959.966657997,99,99,219.2155106464645,258,1,123,99.4281,129.514,10^-67.7417,0.166174,0.30778,,,99,234.50961604040387,276,1,123,99.6754,40.9648,10^-18.5147,0.191399,0.337336,,,,0
150340,1,662,Vibrio antiquarius,"",bacteria,false,3330972.0372203314,100,99,255.7514290875419,301,,,99.9801,99.9734,10^-55.6527,0.139767,0.522959,,,100,83.26790714478109,98,1,7,96.3867,33.4082,10^-11.8564,,,,,,0
669,1,662,Vibrio harveyi,"",bacteria,false,907829.3190391848,76.89642836478609,10.37816238276655,8.496725218855213,10,,,94.5347,75.3,10^-32.7271,0.357257,0.784288,,,76.89642836478609,118.10448054208746,139,1,5,97.9653,33.219,10^-11.7152,0.86511,1.52464,,,,0
672,1,662,Vibrio vulnificus,"",bacteria,false,832276.8071977188,55.880214794360846,4.234994924100085,11.895415306397298,14,,,94.4018,91.0,10^-43.13,1.22128,2.52046,,,55.880214794360846,149.54236385185175,176,4,28,97.4704,40.6765,10^-17.5269,1.81184,2.6437,,,,1
