tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
724,2,724,Haemophilus,"",bacteria,false,1586830905.0,99,99,165873.33333333334,99524,881,84407,98.2619,954.534,10^-236.914,4.20328,7.72724,,,99,160628.33333333334,96377,860,83133,99.437,224.819,10^-149.384,323.954,1145.21,,,"[729, 727, 1739522, 726, 1608898, 1859695, 197575, 730, 249188, 735, 712310, 1715211, 1608882, 762964, 1078480, 1859694, 733]",4
729,1,724,Haemophilus parainfluenzae,"",bacteria,false,1586830905.0,99,99,82120.0,49272,393,46017,97.0052,1086.54,10^-268.811,1.83726,3.91126,,,99,79785.0,47871,384,45526,99.6427,268.415,10^-193.35,0.879576,2.06464,,,,1
727,1,724,Haemophilus influenzae,"",bacteria,false,1561756680.0,99,99,83053.33333333333,49832,484,38012,99.535,827.506,10^-205.009,1.87371,3.49735,,,99,76293.33333333333,45776,445,35418,99.2678,184.218,10^-105.908,52.703,141.629,,,,1
1739522,1,724,Haemophilus sp. HMSC068C11,"",bacteria,false,10197000.0,100,,,,,,,,,,,,,100,1030.0,618,4,618,100.0,252.309,10^-244.387,,,,,,0
726,1,724,Haemophilus haemolyticus,"",bacteria,false,7026558.770130901,99,99,646.6666666666666,388,4,378,95.4857,493.557,10^-279.026,0.0927768,0.268818,,,2.4959358058971306,2786.6666666666665,1672,19,1184,98.4408,106.608,10^-65.4425,269.765,1008.4,,,,0
1608898,1,724,Haemophilus sp. HMSC71H05,"",bacteria,false,1501500.0,100,,,,,,,,,,,,,100,151.66666666666666,91,2,91,93.1351,107.647,10^-45.9075,,,,,,0
1859695,1,724,Haemophilus sp. CCUG 60358,"",bacteria,false,1339470.0,99,,,,,,,,,,,,,99,136.66666666666666,82,1,81,100.0,135.636,10^-79.3282,0.0505581,0.189171,,,,0
197575,1,724,Haemophilus aegyptius,"",bacteria,false,1237500.0,100,,,,,,,,,,,,,100,125.0,75,2,68,97.9424,70.9444,10^-42.6239,,,,,,1
730,1,724,[Haemophilus] ducreyi,"",bacteria,false,1105500.0,100,-100,0.0,0,,,0,0,10^0,0.213294,0.332853,,,100,111.66666666666667,67,1,67,100.0,91.0,10^-50.4962,,,,,,1
249188,1,724,Haemophilus pittmaniae,"",bacteria,false,885763.2772321138,99,74.02384420502136,18.333333333333332,11,,,90.2095,98.5455,10^-41.482,0.140049,0.245776,,,99,76.66666666666667,46,1,46,94.805,77.0,10^-48.2882,0.129591,0.394626,,,,0
735,1,724,Haemophilus parahaemolyticus,"",bacteria,false,588060.0,99,-100,0.0,0,,,0,0,10^0,0.0228934,0.0856594,,,99,60.0,36,1,34,99.7886,88.4286,10^-55.6128,0.150054,0.394608,,,,0
712310,1,724,Haemophilus sp. oral taxon 036,"",bacteria,false,343035.0,99,99,35.0,21,,,96.6,100.0,10^-51.0321,0.0232944,0.0871598,,,,,,,,,,,,,,,,0
1715211,1,724,Haemophilus sp. HMSC061E01,"",bacteria,false,231000.0,100,,,,,,,,,,,,,100,23.333333333333332,14,,,99.3429,32.1429,10^-11.0134,,,,,,0
1608882,1,724,Haemophilus sp. HMSC61B11,"",bacteria,false,181500.0,100,,,,,,,,,,,,,100,18.333333333333332,11,,,100.0,32.5455,10^-12.0244,,,,,,0
762964,1,724,Haemophilus sp. oral taxon 851,"",bacteria,false,115500.0,100,,,,,,,,,,,,,100,11.666666666666666,7,,,93.1,27.0,10^-6.88028,,,,,,0
1078480,1,724,Haemophilus sputorum,"",bacteria,false,114345.0,99,,,,,,,,,,,,,99,11.666666666666666,7,,,100.0,32.7143,10^-11.5644,0.0452873,0.115126,,,,0
1859694,1,724,Haemophilus sp. CCUG 66565,"",bacteria,false,28263.824285966697,57.09863492114484,,,,,,,,,,,,,57.09863492114484,5.0,3,,,100.0,32.6667,10^-15.3222,0.0232944,0.0871598,,,,0
733,1,724,Haemophilus haemoglobinophilus,"",bacteria,false,3166.2910200164843,19.18964254555445,,,,,,,,,,,,,19.18964254555445,1.6666666666666667,1,,,100.0,33.0,10^-13.0097,0.0228934,0.0856594,,,,0
29465,2,29465,Veillonella,"",bacteria,false,1533186765.0,99,99,83751.66666666667,50251,378,49235,99.9121,3423.3,10^-295.167,1.06512,2.70155,,,99,81748.33333333333,49049,358,48389,99.7837,434.373,10^-260.891,2.13281,3.05856,,,"[39778, 29466, 1403932, 2027459, 1911680, 2682456, 1110546, 39777, 1911679, 423477, 2292378, 671228, 419208, 457416, 464322, 2027456, 2027458, 1403933, 248316, 2293250, 450749, 936588, 1384081, 1926307, 187328, 2027457, 671229]",0
39778,1,29465,Veillonella dispar,"",bacteria,false,1533186765.0,99,99,83031.66666666667,49819,375,48880,99.9888,3449.95,10^-297.141,0.100301,0.218441,,,99,73400.0,44040,277,43798,99.9344,460.36,10^-272.173,0.273249,0.588246,,,,0
