tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
265488,2,265488,Rhodopirellula,"",bacteria,false,408015773.53649366,99,99,20834.65988103127,21203,42,21161,97.802,16764.5,10^-306.047,4.18876,6.28667,,,99,20857.26032329245,21226,42,21161,97.5835,1193.26,10^-298.226,94.8247,162.348,,,"[265606, 1263866, 595434, 980271, 2014065, 1263869, 2714738, 2755585, 595453, 1265734]",0
265606,1,265488,Rhodopirellula baltica,"",bacteria,false,408015773.53649366,99,99,20834.65988103127,21203,42,21161,97.802,16764.5,10^-306.047,4.04535,6.15071,,,99,20795.354764055315,21163,40,21119,97.5911,1196.8,10^-299.079,7.21525,12.7728,,,,0
1263866,1,265488,Rhodopirellula europaea,"",bacteria,false,20093.241060205823,4.917862791620349,,,,,,,,,,,,,4.917862791620349,41.27037282475656,42,2,42,95.3269,62.3902,10^-30.1451,4.14223,7.54965,,,,0
595434,1,265488,Rhodopirellula islandica,"",bacteria,false,34.10310347719428,0.08764146228330376,,,,,,,,,,,,,0.08764146228330376,3.9305116975958634,4,,,96.25,30.75,10^-12.7263,3.39472,6.11345,,,,0
980271,1,265488,Rhodopirellula rubra,"",bacteria,false,-31.0656079251978,-0.15967082333751997,,,,,,,,,,,,,-0.15967082333751997,1.9652558487979317,2,,,85.95,32.0,10^-8.09514,2.64291,4.24407,,,,0
2014065,1,265488,Rhodopirellula bahusiensis,"",bacteria,false,-39.85149109765195,-0.40965690483904604,,,,,,,,,,,,,-0.40965690483904604,0.9826279243989658,1,,,100.0,32.0,10^-14.7932,3.26404,5.56908,,,,0
1263869,1,265488,Rhodopirellula sallentina,"",bacteria,false,-46.22042456823366,-0.47512691614404423,,,,,,,,,,,,,-0.47512691614404423,0.9826279243989658,1,,,100.0,33.0,10^-15.2604,4.98485,8.42348,,,,0
2714738,1,265488,Rhodopirellula pilleata,"",bacteria,false,-58.02940523565842,-0.08521691009624918,,,,,,,,,,,,,-0.08521691009624918,6.878395470792761,7,,,99.1143,32.0,10^-11.001,8.27839,16.4286,,,,0
2755585,1,265488,Rhodopirellula sp. JC639,"",bacteria,false,-87.14379113056978,-0.4479011295087139,,,,,,,,,,,,,-0.4479011295087139,1.9652558487979317,2,,,87.1,32.0,10^-9.98458,8.58407,14.7774,,,,0
595453,1,265488,Rhodopirellula sp. SM50,"",bacteria,false,-92.68684784935965,-0.4763912988376669,,,,,,,,,,,,,-0.4763912988376669,1.9652558487979317,2,,,83.85,31.5,10^-7.86359,9.56727,15.9575,,,,0
1265734,1,265488,Rhodopirellula maiorica,"",bacteria,false,-97.09243369242684,-0.49903510225334335,,,,,,,,,,,,,-0.49903510225334335,1.9652558487979317,2,,,98.5,32.5,10^-11.002,11.9759,20.06,,,,0
940557,2,940557,Granulicella,"",bacteria,false,394417173.8992013,99,99,41648.684575650164,42385,1240,20075,99.8594,397.447,10^-158.598,47.311,74.6404,,,99,37222.928404157225,37881,1158,19136,99.3484,105.889,10^-69.1777,51.0586,82.2681,,,"[940615, 940614, 1617967, 474949, 1747224, 2479048, 474950, 1641865, 1641866, 474952, 2485170, 2602070, 940613, 1747226, 1747222]",0
940615,1,940557,Granulicella tundricola,"",bacteria,false,394417173.8992013,99,99,20890.669672722015,21260,1086,19373,99.883,688.061,10^-258.531,7.66625,12.7757,,,99,19351.874343113235,19694,997,18107,99.7066,169.511,10^-119.527,2.00329,3.43157,,,,0
940614,1,940557,Granulicella mallensis,"",bacteria,false,373287338.4854481,99,99,20758.014902928153,21125,154,702,99.8358,107.066,10^-58.7444,11.1305,17.7824,,,99,17328.643446775764,17635,139,703,99.4486,35.7018,10^-14.2171,4.06135,6.17691,,,,0
1617967,1,940557,Granulicella sp. 5B5,"",bacteria,false,288278.1578302879,32.56462260386292,-100,0.0,0,,,0,0,10^0,11.6957,17.7687,,,32.56462260386292,89.4191411203059,91,4,79,80.9475,187.066,10^-95.7597,1.71382,2.69327,,,,0
