tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
1637,2,1637,Listeria,"",bacteria,false,959302278.0,99,99,49806.0,24903,120,24616,99.993,3586.56,10^-301.183,2.80469,6.31702,,,99,49706.0,24853,120,24622,99.3879,462.536,10^-261.007,3.6224,4.54078,,,"[1639, 2026604, 1643, 1640, 1497681, 1642, 2718648, 1069827]",1
1639,1,1637,Listeria monocytogenes,"",bacteria,false,959302278.0,99,99,49806.0,24903,120,24616,99.993,3586.56,10^-301.183,2.16758,6.35926,,,99,48072.0,24036,114,23817,99.6492,465.048,10^-260.809,1.78961,2.43735,,,,1
2026604,1,1637,Listeria costaricensis,"",bacteria,false,6762690.0,99,,,,,,,,,,,,,99,690.0,345,1,345,90.828,338.0,10^-307.653,0.164319,0.281653,,,,0
1643,1,1637,Listeria welshimeri,"",bacteria,false,6115824.0,99,-100,0.0,0,,,0,0,10^0,0.119184,0.273949,,,99,624.0,312,1,312,91.087,561.0,10^-307.653,0.0942618,0.200877,,,,0
1640,1,1637,Listeria seeligeri,"",bacteria,false,1626966.0,99,-100,0.0,0,,,0,0,10^0,0.0947074,0.201397,,,99,166.0,83,1,78,99.5603,220.488,10^-145.593,0.0461879,0.117413,,,,0
1497681,1,1637,Listeria newyorkensis,"",bacteria,false,823284.0,99,,,,,,,,,,,,,99,84.0,42,1,42,87.5,80.0,10^-34.1163,0.100341,0.166195,,,,0
1642,1,1637,Listeria innocua,"",bacteria,false,646866.0,99,-100,0.0,0,,,0,0,10^0,0.0228934,0.0856594,,,99,66.0,33,2,28,93.9236,128.788,10^-82.1956,0.0694823,0.188222,,,,0
2718648,1,1637,Listeria sp. FSL_L7-0020,"",bacteria,false,4142.735375076549,20.922905934730046,,,,,,,,,,,,,20.922905934730046,2.0,1,,,100.0,33.0,10^-13.9508,0.025225,0.0943834,,,,0
1069827,1,1637,Listeria fleischmannii,"",bacteria,false,1322.9623593325573,6.681628077437158,,,,,,,,,,,,,6.681628077437158,2.0,1,,,100.0,33.0,10^-10.9666,0.140396,0.278316,,,,0
1301,2,1301,Streptococcus,"",bacteria,false,120492153.5943301,12.787237308771372,12.787237308771372,148242.0,74121,1247,62510,99.7646,2808.22,10^-244.365,3303.78,11334.6,,,12.722791465159348,148278.0,74139,1237,63157,99.327,305.076,10^-199.341,3323.42,11393.3,,,"[1313, 1311, 1309, 2420310, 315405, 1303, 1095727, 1343, 76860, 1739389, 2283190, 313439, 1308, 1307, 2582637, 1318, 2069308, 712630, 1095726, 712622, 68891, 68892, 2582679, 1403937, 1314, 28037, 2785791, 2598453, 2589787, 2250596, 1739299, 1715207, 936577, 669340, 563038, 361101, 176090, 149015, 113107, 1317, 2582683, 257758, 1335, 2293246, 1305, 1302, 1304, 1306, 1328]",11
1313,1,1301,Streptococcus pneumoniae,"",bacteria,false,120492153.5943301,99,99,49846.0,24923,1141,13534,99.884,269.448,10^-135.188,0.949786,3.00116,,,96.00767899188618,46984.0,23492,1095,12940,98.8931,73.744,10^-44.2438,174.112,487.564,,,,1
1311,1,1301,Streptococcus agalactiae,"",bacteria,false,11630621.859326042,10.351945753938386,8.543478221205337,48290.0,24145,43,23973,99.6484,4309.93,10^-297.901,1464.99,5480.79,,,10.351945753938386,48252.0,24126,43,24013,99.7889,391.663,10^-275.264,1215.45,4543.74,,,,1
1309,1,1301,Streptococcus mutans,"",bacteria,false,10399811.453986827,8.3623998759754,8.3623998759754,50098.0,25049,63,25003,99.7538,4006.93,10^-306.417,1551.76,5805.3,,,7.911894265935214,50096.0,25048,64,25016,99.6104,454.127,10^-281.432,1637.23,6124.8,,,,1
2420310,1,1301,Streptococcus sp. FDAARGOS_522,"",bacteria,false,1430856.019337681,99,-100,0.0,0,,,0,0,10^0,5.50828,20.6101,,,99,1136.0,568,1,568,99.748,397.0,10^-307.653,0.684814,2.56234,,,,0
315405,1,1301,Streptococcus gallolyticus,"",bacteria,false,217078.9419784825,99,71.34032939491586,6.0,3,,,86.0737,83.0,10^-27.6578,0.0223938,0.08379,,,99,168.0,84,1,84,95.312,128.0,10^-85.8041,0.227768,0.489585,,,,0
1303,1,1301,Streptococcus oralis,"",bacteria,false,209086.35493842873,99,-100,0.0,0,,,0,0,10^0,0.77868,2.72238,,,99,166.0,83,2,39,89.8188,116.037,10^-67.0291,0.385075,1.0845,,,,1
1095727,1,1301,Streptococcus sp. SK643,"",bacteria,false,91604.09854914731,100,,,,,,,,,,,,,100,72.0,36,2,34,95.8196,129.472,10^-77.2112,,,,,,0
1343,1,1301,Streptococcus vestibularis,"",bacteria,false,78881.30708398797,100,,,,,,,,,,,,,100,62.0,31,1,31,89.0,100.0,10^-61.9281,,,,,,0
76860,1,1301,Streptococcus constellatus,"",bacteria,false,57939.59233233567,99,-100,0.0,0,,,0,0,10^0,0.0962909,0.202116,,,99,46.0,23,2,23,93.678,80.0435,10^-44.5954,0.0465889,0.17432,,,,0
1739389,1,1301,Streptococcus sp. HMSC062H02,"",bacteria,false,50891.1658606374,100,,,,,,,,,,,,,100,40.0,20,1,20,96.154,182.0,10^-126.951,,,,,,0
2283190,1,1301,Streptococcus sp. LQJ-218,"",bacteria,false,40712.932688509914,100,,,,,,,,,,,,,100,32.0,16,1,16,93.976,83.0,10^-53.2644,,,,,,0
313439,1,1301,Streptococcus massiliensis,"",bacteria,false,27990.141223350565,100,,,,,,,,,,,,,100,22.0,11,1,11,88.095,42.0,10^-19.3134,,,,,,0
1308,1,1301,Streptococcus thermophilus,"",bacteria,false,21677.331185586103,28.39697986738767,-100,0.0,0,,,0,0,10^0,0.722541,2.32807,,,28.39697986738767,60.0,30,1,27,63.7928,50.0345,10^-10.6685,1.02714,2.07673,,,,0
1307,1,1301,Streptococcus suis,"",bacteria,false,18536.098858171197,4.235234732581724,-100,0.0,0,,,0,0,10^0,0.222497,0.432929,,,4.235234732581724,344.0,172,3,162,92.1816,168.018,10^-101.612,20.9706,76.2719,,,,1
2582637,1,1301,Streptococcus sp. 68,"",bacteria,false,17811.908051223087,100,,,,,,,,,,,,,100,14.0,7,1,6,100.0,63.8571,10^-36.066,,,,,,0
1318,1,1301,Streptococcus parasanguinis,"",bacteria,false,14276.749210163365,37.40465617486394,-100,0.0,0,,,0,0,10^0,0.178943,0.5853,,,37.40465617486394,30.0,15,1,10,87.736,78.6667,10^-39.965,0.426046,0.790649,,,,0
2069308,1,1301,Streptococcus sp. UMB0029,"",bacteria,false,10178.233172127479,100,,,,,,,,,,,,,100,8.0,4,,,90.125,30.5,10^-8.81121,,,,,,0
712630,1,1301,Streptococcus sp. oral taxon 071,"",bacteria,false,10178.233172127479,100,,,,,,,,,,,,,100,8.0,4,,,89.7,31.25,10^-9.38905,,,,,,0
1095726,1,1301,Streptococcus sp. SK140,"",bacteria,false,7633.674879095609,100,,,,,,,,,,,,,100,6.0,3,,,80.0333,26.6667,10^-4.64579,,,,,,0
712622,1,1301,Streptococcus sp. oral taxon 058,"",bacteria,false,7633.674879095609,100,,,,,,,,,,,,,100,6.0,3,,,92.7333,32.0,10^-9.10897,,,,,,0
68891,1,1301,Streptococcus peroris,"",bacteria,false,7633.674879095609,100,-100,0.0,0,,,0,0,10^0,0.0232944,0.0871598,,,100,6.0,3,,,85.0333,29.0,10^-5.63319,,,,,,0
68892,1,1301,Streptococcus infantis,"",bacteria,false,5664.4028049351955,27.826061307216094,,,,,,,,,,,,,27.826061307216094,16.0,8,,,85.6,29.625,10^-7.3047,0.245858,0.566165,,,,0
2582679,1,1301,Streptococcus sp. 53,"",bacteria,false,5089.116586063739,100,,,,,,,,,,,,,100,4.0,2,,,76.15,31.5,10^-7.68148,,,,,,0
