tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
2742598,2,2742598,Limosilactobacillus,"",bacteria,false,654118740.0,99,99,66653.33333333333,49990,,,99.7898,6909.29,10^-263.055,0.904829,1.32494,,,99,66140.0,49605,4,69,99.5361,393.598,10^-228.024,21.3649,72.1526,,,"[1613, 1598, 1769424, 2759850, 97478, 35787, 1632, 2759748, 2759747, 181675, 1633, 2759852, 148604, 227943, 2742600, 104955]",0
1613,1,2742598,Limosilactobacillus fermentum,"",bacteria,false,654118740.0,99,99,33297.333333333336,24973,90,24878,99.6983,13056.3,10^-248.675,0.337596,0.534605,,,99,33442.666666666664,25082,91,24959,99.7543,571.374,10^-291.264,19.4235,72.2741,,,,0
1598,1,2742598,Limosilactobacillus reuteri,"",bacteria,false,643625136.0,99,99,33322.666666666664,24992,820,23795,99.8825,998.355,10^-276.96,0.101821,0.217042,,,99,32346.666666666668,24260,794,23294,99.3742,219.468,10^-166.677,0.153855,0.278126,,,,0
1769424,1,2742598,Lactobacillus caviae,"",bacteria,false,739200.0,100,,,,,,,,,,,,,100,74.66666666666667,56,3,56,83.1721,109.185,10^-54.6089,,,,,,0
2759850,1,2742598,Limosilactobacillus sp. pH52_RY,"",bacteria,false,514800.0,100,,,,,,,,,,,,,100,52.0,39,1,39,95.833,168.0,10^-113.747,,,,,,0
97478,1,2742598,Lactobacillus mucosae,"",bacteria,false,337641.1420626213,99,99,33.333333333333336,25,2,19,95.2655,308.0,10^-201.047,0.0981769,0.212867,,,27.629146622781107,4.0,3,,,92.1333,30.0,10^-8.77363,0.0714669,0.142188,,,,0
35787,1,2742598,Lactobacillus pontis,"",bacteria,false,264000.0,100,-100,0.0,0,,,0,0,10^0,0.220648,0.42413,,,100,26.666666666666668,20,1,14,95.9532,57.6842,10^-31.7247,,,,,,0
1632,1,2742598,Limosilactobacillus oris,"",bacteria,false,196056.71447207814,19.28932649272709,-100,0.0,0,,,0,0,10^0,0.0756751,0.28315,,,19.28932649272709,102.66666666666667,77,1,68,99.9184,163.276,10^-115.871,1.52887,5.2432,,,,0
2759748,1,2742598,Limosilactobacillus sp. WF-MT5-A,"",bacteria,false,184800.0,100,,,,,,,,,,,,,100,18.666666666666668,14,1,13,98.0424,59.0,10^-34.5651,,,,,,0
2759747,1,2742598,Limosilactobacillus sp. BG-AF3-A,"",bacteria,false,171600.0,100,,,,,,,,,,,,,100,17.333333333333332,13,1,12,100.0,83.7692,10^-42.4141,,,,,,0
181675,1,2742598,Lactobacillus coleohominis,"",bacteria,false,169884.0,99,,,,,,,,,,,,,99,17.333333333333332,13,1,11,96.8233,91.25,10^-59.6765,0.025225,0.0943834,,,,0
1633,1,2742598,Lactobacillus vaginalis,"",bacteria,false,158400.0,100,,,,,,,,,,,,,100,16.0,12,1,8,96.3713,47.0833,10^-25.098,,,,,,0
2759852,1,2742598,Limosilactobacillus sp. BG-MG3-A,"",bacteria,false,92400.0,100,,,,,,,,,,,,,100,9.333333333333334,7,1,5,96.9257,46.2857,10^-21.7922,,,,,,0
148604,1,2742598,Lactobacillus ingluviei,"",bacteria,false,52335.84069698055,79.2967283287584,,,,,,,,,,,,,79.2967283287584,6.666666666666667,5,1,4,71.8072,36.0,10^-11.639,0.0223938,0.08379,,,,0
227943,1,2742598,Lactobacillus antri,"",bacteria,false,26400.0,100,,,,,,,,,,,,,100,2.6666666666666665,2,,,96.9,32.5,10^-11.7787,,,,,,0
2742600,1,2742598,Limosilactobacillus sp. c9Ua_26_M,"",bacteria,false,13200.0,100,,,,,,,,,,,,,100,1.3333333333333333,1,,,100.0,33.0,10^-11.7595,,,,,,0
104955,1,2742598,Lactobacillus frumenti,"",bacteria,false,13200.0,100,-100,0.0,0,,,0,0,10^0,0.0476188,0.121294,,,100,1.3333333333333333,1,,,100.0,21.0,10^-6.83565,,,,,,0
2759736,2,2759736,Lacticaseibacillus,"",bacteria,false,633249144.0,99,99,33310.666666666664,24983,,,98.7108,15373.0,10^-246.496,0.643959,1.00284,,,99,32756.0,24567,,,99.1672,592.854,10^-298.713,2.40292,2.71427,,,"[47715, 1597, 1626, 1582, 1296539, 2486010]",0
47715,1,2759736,Lacticaseibacillus rhamnosus,"",bacteria,false,633249144.0,99,99,33308.0,24981,58,24948,98.7114,15374.2,10^-246.514,0.213793,0.334043,,,99,31302.666666666668,23477,54,23428,99.3196,601.784,10^-299.076,1.20726,1.80156,,,,0
1597,1,2759736,Lacticaseibacillus paracasei,"",bacteria,false,14181744.702180503,99,11.229932501907683,2.6666666666666665,2,,,91.464,64.5,10^-23.9832,0.12558,0.226278,,,99,1446.6666666666667,1085,2,1051,95.9021,402.654,10^-292.234,0.584884,0.741666,,,,0
1626,1,2759736,Lacticaseibacillus sharpeae,"",bacteria,false,13200.0,100,,,,,,,,,,,,,100,1.3333333333333333,1,,,100.0,33.0,10^-9.42829,,,,,,0
1582,1,2759736,Lacticaseibacillus casei,"",bacteria,false,3339.6477789170444,12.65018098074638,-100,0.0,0,,,0,0,10^0,0.187386,0.52332,,,12.65018098074638,2.6666666666666665,2,,,87.5,28.5,10^-7.63064,0.0757831,0.20481,,,,0
1296539,1,2759736,Lacticaseibacillus songhuajiangensis,"",bacteria,false,2019.3705676201325,15.298261875910095,,,,,,,,,,,,,15.298261875910095,1.3333333333333333,1,,,93.9,33.0,10^-10.6498,0.0228934,0.0856594,,,,0
2486010,1,2759736,Lacticaseibacillus hegangensis,"",bacteria,false,1829.456239126795,13.859516963081782,,,,,,,,,,,,,13.859516963081782,1.3333333333333333,1,,,100.0,32.0,10^-13.1152,0.025225,0.0943834,,,,0
2767842,2,2767842,Lactiplantibacillus,"",bacteria,false,608380740.0,99,99,33308.0,24981,,,99.8562,152.833,10^-83.9543,0.387699,0.623623,,,99,29204.0,21903,,,99.2928,47.0767,10^-23.0058,4.1769,13.0349,,,"[1590, 60520, 1589, 271881, 942150, 483011, 1457217, 1457219, 2559920, 1670446, 2559916, 1296538, 2559919, 2306423, 2559918, 2559917]",0
1590,1,2767842,Lactiplantibacillus plantarum,"",bacteria,false,608380740.0,99,99,33305.333333333336,24979,1142,6430,99.8562,152.837,10^-83.9566,0.188721,0.399173,,,99,28768.0,21576,1049,5947,99.3822,47.1031,10^-23.0637,3.71249,13.0246,,,,0
60520,1,2767842,Lactiplantibacillus paraplantarum,"",bacteria,false,1555092.0,99,-100,0.0,0,,,0,0,10^0,0.100301,0.218441,,,99,158.66666666666666,119,10,48,90.7901,48.453,10^-20.4637,0.0757831,0.20481,,,,0
1589,1,2767842,Lactiplantibacillus pentosus,"",bacteria,false,1293732.0,99,-100,0.0,0,,,0,0,10^0,0.0734515,0.201569,,,99,132.0,99,3,16,96.9911,38.1111,10^-13.9156,0.025225,0.0943834,,,,0
271881,1,2767842,Lactiplantibacillus argentoratensis,"",bacteria,false,561788.3818552839,100,27.98629490637831,2.6666666666666665,2,,,100.0,100.0,10^-55.6982,0.025225,0.0943834,,,100,56.0,42,,,95.1181,51.7143,10^-27.2771,,,,,,0
942150,1,2767842,Lactiplantibacillus xiangfangensis,"",bacteria,false,274428.0,99,,,,,,,,,,,,,99,28.0,21,3,18,88.9405,50.1429,10^-19.0548,0.117556,0.275579,,,,0
483011,1,2767842,Lactiplantibacillus fabifermentans,"",bacteria,false,211200.0,100,,,,,,,,,,,,,100,21.333333333333332,16,1,7,93.4437,69.4375,10^-40.2402,,,,,,0
1457217,1,2767842,Lactiplantibacillus plajomi,"",bacteria,false,79200.0,100,,,,,,,,,,,,,100,8.0,6,,,88.74,29.6,10^-7.49427,,,,,,0
1457219,1,2767842,Lactiplantibacillus modestisalitolerans,"",bacteria,false,66000.0,100,,,,,,,,,,,,,100,6.666666666666667,5,,,92.52,29.8,10^-6.84257,,,,,,0
2559920,1,2767842,Lactiplantibacillus songbeiensis,"",bacteria,false,26400.0,100,,,,,,,,,,,,,100,2.6666666666666665,2,,,95.45,33.0,10^-10.6707,,,,,,0
1670446,1,2767842,Lactiplantibacillus herbarum,"",bacteria,false,26400.0,100,,,,,,,,,,,,,100,2.6666666666666665,2,,,95.45,33.0,10^-11.1571,,,,,,0
2559916,1,2767842,Lactiplantibacillus daoliensis,"",bacteria,false,22980.94308182574,43.52451341254875,,,,,,,,,,,,,43.52451341254875,5.333333333333333,4,,,98.475,29.5,10^-8.80252,0.0476729,0.121441,,,,0
1296538,1,2767842,Lactiplantibacillus mudanjiangensis,"",bacteria,false,14454.768915443146,21.901165023398708,,,,,,,,,,,,,21.901165023398708,6.666666666666667,5,,,96.34,32.6,10^-9.67788,0.127154,0.298592,,,,0
2559919,1,2767842,Lactiplantibacillus dongliensis,"",bacteria,false,13200.0,100,,,,,,,,,,,,,100,1.3333333333333333,1,,,66.7,33.0,10^-3.04096,,,,,,0
2306423,1,2767842,Lactiplantibacillus garii,"",bacteria,false,8148.0391223847,30.8637845544875,,,,,,,,,,,,,30.8637845544875,2.6666666666666665,2,,,92.2,32.0,10^-9.69632,0.0228934,0.0856594,,,,0
2559918,1,2767842,Lactiplantibacillus daowaiensis,"",bacteria,false,7388.381855283873,27.98629490637831,,,,,,,,,,,,,27.98629490637831,2.6666666666666665,2,,,84.85,33.0,10^-9.71637,0.025225,0.0943834,,,,0
