tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
629,2,629,Yersinia,"",bacteria,false,848124822.7489364,99,99,49704.29822578935,24852,517,10947,99.9134,269.485,10^-122.293,6.32352,10.4907,,,99,43444.26066556399,21722,476,10164,98.9829,72.6639,10^-44.6443,10.0846,18.8152,,,"[632, 633, 630, 367190, 29484, 28152, 631, 1341643, 33060, 29483, 29486, 634, 2339259, 1839800, 29485, 1288385, 263819, 2607663, 685706, 419257]",3
632,1,629,Yersinia pestis,"",bacteria,false,848124822.7489364,99,99,49704.29822578935,24852,517,10947,99.9134,269.485,10^-122.293,0.587109,0.848731,,,99,36830.22098132589,18415,419,8907,99.6128,73.4023,10^-46.9926,4.48538,13.8971,,,,1
633,1,629,Yersinia pseudotuberculosis,"",bacteria,false,48083994.503967024,99,-100,0.0,0,,,0,0,10^0,0.408306,0.686853,,,99,4906.029436176617,2453,43,1022,95.1973,78.156,10^-36.2557,0.340652,0.503962,,,,1
630,1,629,Yersinia enterocolitica,"",bacteria,false,8174083.044498268,99,-100,0.0,0,,,0,0,10^0,1.06091,2.04866,,,99,834.0050040300242,417,6,102,98.5728,40.1942,10^-18.1102,1.12376,1.80949,,,,1
367190,1,629,Yersinia similis,"",bacteria,false,3077532.465194791,99,-100,0.0,0,,,0,0,10^0,0.138965,0.376445,,,99,314.00188401130407,157,4,91,91.0367,52.4615,10^-25.3093,0.1167,0.205613,,,,0
29484,1,629,Yersinia frederiksenii,"",bacteria,false,1940609.643657862,99,-100,0.0,0,,,0,0,10^0,0.360728,0.618761,,,99,198.00118800712804,99,2,22,98.2967,41.5052,10^-18.7249,0.687598,0.966444,,,,0
28152,1,629,Yersinia kristensenii,"",bacteria,false,960503.7630225782,99,-100,0.0,0,,,0,0,10^0,0.546291,0.995798,,,99,98.00058800352802,49,1,12,96.3315,37.7708,10^-16.0649,0.34888,0.612298,,,,0
631,1,629,Yersinia intermedia,"",bacteria,false,509655.05793034757,99,-100,0.0,0,,,0,0,10^0,0.451282,0.773092,,,99,52.00031200187201,26,,,94.0115,31.2308,10^-9.99876,0.314648,0.459794,,,,0
1341643,1,629,Yersinia wautersii,"",bacteria,false,297001.78201069206,100,,,,,,,,,,,,,100,30.000180001080007,15,,,92.6692,29.0,10^-8.454,,,,,,0
33060,1,629,Yersinia mollaretii,"",bacteria,false,296201.44737973734,53.42706893417263,-100,0.0,0,,,0,0,10^0,0.353604,0.775703,,,53.42706893417263,56.00033600201601,28,1,8,92.6447,33.2222,10^-11.0335,0.660578,1.0358,,,,0
29483,1,629,Yersinia aldovae,"",bacteria,false,287025.16321399854,96.64088924680783,-100,0.0,0,,,0,0,10^0,0.254536,0.702135,,,96.64088924680783,30.000180001080007,15,,,99.4286,31.4286,10^-11.1668,0.187722,0.308487,,,,0
29486,1,629,Yersinia ruckeri,"",bacteria,false,179675.76885591523,53.37929019646527,-100,0.0,0,,,0,0,10^0,0.706374,1.08322,,,53.37929019646527,34.000204001224006,17,,,93.4235,30.1765,10^-8.6531,0.384596,0.62975,,,,0
634,1,629,Yersinia bercovieri,"",bacteria,false,73444.45135212175,28.53302668430988,-100,0.0,0,,,0,0,10^0,0.160958,0.352717,,,28.53302668430988,26.000156000936006,13,,,88.4231,30.4615,10^-8.94527,0.52995,0.892657,,,,0
