tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
940557,2,940557,Granulicella,"",bacteria,false,383290252.3483814,99,99,39947.35900521264,40751,717,20571,99.8925,646.335,10^-173.742,47.311,74.6404,,,99,36146.81642065742,36874,681,19913,99.3484,160.593,10^-105.72,51.0586,82.2681,,,"[940615, 940614, 474950, 2479048, 1747224, 474949, 940613, 1617967, 474952, 1641865, 1641866, 1747226, 1747222, 2602070, 2485170]",0
940615,1,940557,Granulicella tundricola,"",bacteria,false,383290252.3483814,99,99,20073.177844709066,20477,589,19958,99.9421,1192.5,10^-290.238,7.66625,12.7757,,,99,19034.081858217312,19417,552,18953,99.7223,272.317,10^-188.461,2.00329,3.43157,,,,0
940614,1,940557,Granulicella mallensis,"",bacteria,false,356244529.6742777,99,99,19874.18116050357,20274,128,613,99.8435,107.128,10^-58.7303,11.1305,17.7824,,,99,16473.59250282443,16805,117,549,99.4921,34.4224,10^-12.9139,4.06135,6.17691,,,,0
474950,1,940557,Granulicella pectinivorans,"",bacteria,false,785039.7803355339,43.0277680053962,-100,0.0,0,,,0,0,10^0,0.025225,0.0943834,,,43.0277680053962,184.2924957174051,188,2,168,80.5056,377.273,10^-213.133,2.76996,4.21873,,,,0
2479048,1,940557,Granulicella sibirica,"",bacteria,false,332584.8594968587,21.6900419005106,,,,,,,,,,,,,21.6900419005106,154.88411874122343,158,6,144,76.08,84.8301,10^-46.9536,4.27671,6.94362,,,,0
1747224,1,940557,Granulicella sp. S156,"",bacteria,false,160874.97727414418,15.492436479699498,,,,,,,,,,,,,15.492436479699498,104.88987788171461,107,,,96.867,33.0093,10^-11.0053,3.8936,6.51907,,,,0
474949,1,940557,Granulicella aggregans,"",bacteria,false,112958.83275050974,13.693556989705066,,,,,,,,,,,,,13.693556989705066,83.32373476584806,85,2,78,89.2753,124.927,10^-79.776,3.59341,5.82247,,,,0
940613,1,940557,Granulicella arctica,"",bacteria,false,9226.805300132497,4.527381219700776,,,,,,,,,,,,,4.527381219700776,20.585863883327164,21,1,16,65.2448,87.619,10^-29.2565,2.60134,3.97239,,,,0
1617967,1,940557,Granulicella sp. 5B5,"",bacteria,false,7021.304901137156,4.8232700353439615,-100,0.0,0,,,0,0,10^0,11.6957,17.7687,,,4.8232700353439615,14.704188488090832,15,,,92.6,31.4286,10^-8.90709,1.71382,2.69327,,,,0
474952,1,940557,Granulicella rosea,"",bacteria,false,6181.903211270758,3.538870734637204,-100,0.0,0,,,0,0,10^0,0.118739,0.250047,,,3.538870734637204,17.645026185709,18,1,5,86.2492,41.4444,10^-15.4334,2.73633,4.21284,,,,0
1641865,1,940557,Granulicella sp. L46,"",bacteria,false,5702.424253272362,3.2643898839436414,,,,,,,,,,,,,3.2643898839436414,17.645026185709,18,,,93.4944,31.3889,10^-9.65094,2.87265,4.52531,,,,0
1641866,1,940557,Granulicella sp. L60,"",bacteria,false,2960.937180623372,1.9068837338096984,,,,,,,,,,,,,1.9068837338096984,15.684467720630222,16,,,96.9733,32.2,10^-10.856,3.74667,6.26037,,,,0
1747226,1,940557,Granulicella sp. S190,"",bacteria,false,658.774771647623,1.131359719050916,,,,,,,,,,,,,1.131359719050916,5.881675395236333,6,,,93.55,32.5,10^-9.05304,2.04175,3.39408,,,,0
1747222,1,940557,Granulicella sp. L56,"",bacteria,false,607.7238709640357,0.8945883924071496,,,,,,,,,,,,,0.8945883924071496,6.861954627775722,7,,,89.5571,29.4286,10^-7.97945,2.61758,4.7445,,,,0
2602070,1,940557,Granulicella sp. WH15,"",bacteria,false,237.30208257025382,0.4890424388209311,-100,0.0,0,,,0,0,10^0,16.6007,26.4396,,,0.4890424388209311,4.901396162696944,5,,,94.38,32.0,10^-10.186,2.67215,4.55839,,,,0
2485170,1,940557,Granulicella sp. GAS466,"",bacteria,false,-53.62917555568311,-0.06907583395823809,,,,,,,,,,,,,-0.06907583395823809,7.842233860315111,8,,,88.525,30.375,10^-8.08128,8.94963,16.0316,,,,0
768,2,768,Anaplasma,"",bacteria,false,367829980.36990833,99,99,20189.831073381254,20596,1392,15074,99.8366,396.283,10^-185.357,0.0223938,0.08379,,,99,18398.86091553179,18769,1292,14218,99.1111,107.954,10^-66.7351,0.286487,0.650913,,,"[769, 770, 142058, 948, 319051]",1
769,1,768,Anaplasma centrale,"",bacteria,false,367829980.36990833,100,100,20165.324092567767,20571,1392,15074,99.8365,396.648,10^-185.517,,,,,100,16989.219379140148,17331,1236,13752,99.3224,112.851,10^-70.4417,,,,,,0
770,1,768,Anaplasma marginale,"",bacteria,false,12960809.906701924,99,99,24.50698081348472,25,,,99.92,100.0,10^-55.5884,0.0223938,0.08379,,,99,1297.8897038821508,1324,51,429,96.3354,48.9969,10^-22.0789,0.0986765,0.213419,,,,0
