tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
1578,2,1578,Lactobacillus,"",bacteria,false,7555049.147638431,8.878224739466292,8.76328635898709,49228.022638610935,100391,86,100185,99.8889,44417.5,10^-305.23,1458.56,5451.09,,,8.878224739466292,49917.963249348206,101798,90,102178,98.6457,1161.79,10^-298.991,1463.72,5457.65,,,"[1596, 83683, 2107999, 109790, 33959, 1587, 1584, 508451]",0
1596,1,1578,Lactobacillus gasseri,"",bacteria,false,7555049.147638431,9.12161968097205,8.719010148020757,48880.84570015891,99683,85,99494,99.9523,44653.5,10^-307.155,1453.79,5439.5,,,9.12161968097205,47172.42133071424,96199,81,96075,99.0938,1207.88,10^-305.848,1342.85,5024.28,,,,0
83683,1,1578,Lactobacillus amylolyticus,"",bacteria,false,683137.6271369412,99,-100,0.0,0,,,0,0,10^0,0.119986,0.210596,,,99,777.2252082576957,1585,1,1585,79.191,173.0,10^-78.4584,1.38432,4.10526,,,,0
2107999,1,1578,Lactobacillus paragasseri,"",bacteria,false,108551.78189556891,29.50550046355196,29.50550046355196,341.2925835630008,696,1,691,90.8166,11390.7,10^-33.3195,3.11529,11.4615,,,4.232398061114499,540.3799239747513,1102,2,1102,99.1471,565.975,10^-307.653,32.1451,120.082,,,,0
109790,1,1578,Lactobacillus jensenii,"",bacteria,false,38736.890117511786,5.64937557336395,-100,0.0,0,,,0,0,10^0,0.0690813,0.186144,,,5.64937557336395,772.3215791835147,1575,1,1575,90.909,165.0,10^-92.3125,35.2306,130.473,,,,0
33959,1,1578,Lactobacillus johnsonii,"",bacteria,false,27556.37104033086,9.446387151558406,9.446387151558406,5.884354889017255,12,,,99.9444,150.0,10^-89.717,0.369214,0.583836,,,4.706843460658896,647.7694006993161,1321,1,1318,98.3593,691.5,10^-306.965,34.8819,130.212,,,,0
1587,1,1578,Lactobacillus helveticus,"",bacteria,false,407.04731471558836,13.356821075359525,-100,0.0,0,,,0,0,10^0,0.12676,0.393038,,,13.356821075359525,3.4325403519267317,7,,,81.4857,30.8571,10^-6.90336,0.0979699,0.249653,,,,0
1584,1,1578,Lactobacillus delbrueckii,"",bacteria,false,103.02795183963,3.944210366187016,-100,0.0,0,,,0,0,10^0,0.377286,0.722741,,,3.944210366187016,2.9421774445086273,6,,,85.8833,34.5,10^-12.5472,0.278948,0.675225,,,,0
508451,1,1578,Lactobacillus taiwanensis,"",bacteria,false,-1.0952844331053304,-0.08386136262713902,,,,,,,,,,,,,-0.08386136262713902,1.4710887222543136,3,,,77.4333,40.0,10^-7.36439,2.14376,8.02123,,,,0
1301,2,1301,Streptococcus,"",bacteria,false,6857956.773972957,8.384683181936603,8.384683181936603,98340.80999397862,200547,312,199973,99.9432,29685.1,10^-293.889,3303.78,11334.6,,,8.350606184919908,98464.38144664798,200799,345,200170,98.1765,870.443,10^-301.693,3323.42,11393.3,,,"[1309, 1311, 315405, 1336, 1715058, 2420308, 2420309, 439219, 150055, 1346, 1335, 1328, 149016, 149015, 102684, 1307, 1111760, 1313, 1314, 1334, 1308, 1339, 1739519, 1340, 1318, 1338, 1917441, 1304, 1349, 1306, 28037]",11
