tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
836,2,836,Porphyromonas,"",bacteria,false,192520688.49098518,23.34032915916303,23.34032915916303,179400.12615289487,365724,161,363174,99.9663,58449.4,10^-267.654,2031.83,7599.22,,,22.986614954733753,179359.41181511368,365641,160,363137,99.8191,1149.28,10^-300.345,2064.8,7712.95,,,"[837, 997829, 36874]",1
837,1,836,Porphyromonas gingivalis,"",bacteria,false,192520688.49098518,23.340144428347234,23.340144428347234,179400.12615289487,365724,161,363174,99.9663,58449.4,10^-267.654,2031.6,7599.29,,,22.99128970661059,179358.43074673341,365639,160,363137,99.8192,1149.28,10^-300.347,2061.56,7711.48,,,,1
997829,1,836,Porphyromonas sp. KLE 1280,"",bacteria,false,1127.5720550763021,100,,,,,,,,,,,,,100,0.49053419013489646,1,,,78.9,38.0,10^-8.43652,,,,,,0
36874,1,836,Porphyromonas cangingivalis,"",bacteria,false,5.274022838876786,0.4677326664077265,-100,0.0,0,,,0,0,10^0,0.0942077,0.200802,,,0.4677326664077265,0.49053419013489646,1,,,98.0,49.0,10^-22.0155,0.268168,0.475413,,,,0
1301,2,1301,Streptococcus,"",bacteria,false,175902572.28134468,16.94330411403498,16.94330411403498,195349.3548109409,398238,1767,393807,99.9785,143425.0,10^-302.166,3303.78,11334.6,,,16.81669915327018,194921.11846295313,397365,1756,392780,99.6285,1357.82,10^-293.457,3323.42,11393.3,,,"[1309, 1311, 1338, 315405, 1334, 1739266, 1349, 439219, 2785793, 149016, 563037, 1739472, 1346, 82348, 119224, 439220, 1335, 1314, 1318, 1307, 1341, 1715078, 2420310, 29389, 1739391, 1902136, 254785, 1326, 254786, 1765960, 1308, 712622, 59310, 149015, 1310, 1313, 1715202, 2420309, 1304, 1336, 1739519, 1739427, 1608583, 1169673, 55085, 1348, 1328, 936587, 1337, 1917441, 1306, 1329, 68892, 1303, 2600148, 1777878, 229549, 76860, 102684, 1111760, 1305, 197614, 150055, 45634, 2420308, 28037]",14
1309,1,1301,Streptococcus mutans,"",bacteria,false,175902572.28134468,30.327269465364882,30.327269465364882,177610.65742728277,362076,35,361853,99.9954,157630.0,10^-305.293,1551.76,5805.3,,,28.532670884885743,176394.13263574822,359596,64,359484,99.8128,1476.78,10^-307.055,1637.23,6124.8,,,,1
1311,1,1301,Streptococcus agalactiae,"",bacteria,false,1717216.6278019296,3.1905106023255883,2.9374538608777634,17564.557746160237,35807,1724,31693,99.8092,1320.84,10^-271.657,1464.99,5480.79,,,3.1905106023255883,15712.300644210869,32031,1551,28414,99.1856,231.31,10^-171.043,1215.45,4543.74,,,,1
1338,1,1301,Streptococcus intermedius,"",bacteria,false,270694.4728114234,16.750775356241714,-100,0.0,0,,,0,0,10^0,0.0228934,0.0856594,,,16.750775356241714,960.9564784742622,1959,1,1958,84.2952,120.955,10^-60.7858,15.1675,56.4624,,,,0
315405,1,1301,Streptococcus gallolyticus,"",bacteria,false,101266.7605870691,99,-100,0.0,0,,,0,0,10^0,0.0223938,0.08379,,,99,60.82623957672716,124,4,121,90.2643,471.234,10^-235.103,0.227768,0.489585,,,,0
1334,1,1301,Streptococcus dysgalactiae,"",bacteria,false,63834.75679946304,80.93004121944753,80.93004121944753,32.86579073903806,67,,,99.8304,149.836,10^-89.371,0.216427,0.403427,,,4.587084398619557,243.30495830690865,496,20,426,97.6495,248.468,10^-165.923,13.5879,50.0791,,,,1
1739266,1,1301,Streptococcus sp. HMSC075A03,"",bacteria,false,63518.57742916522,100,,,,,,,,,,,,,100,37.77113264038703,77,1,77,98.834,429.0,10^-307.653,,,,,,0
1349,1,1301,Streptococcus uberis,"",bacteria,false,58800.05453442722,99,-100,0.0,0,,,0,0,10^0,0.0228934,0.0856594,,,99,35.31846168971254,72,3,69,87.7715,198.486,10^-117.81,0.0966379,0.210713,,,,0
439219,1,1301,Streptococcus henryi,"",bacteria,false,49816.71286944529,99,,,,,,,,,,,,,99,29.922585598228686,61,1,61,88.131,396.0,10^-307.653,0.0228934,0.0856594,,,,0
2785793,1,1301,Streptococcus sp. HF-1907,"",bacteria,false,44100.040900820415,99,,,,,,,,,,,,,99,26.48884626728441,54,2,54,96.6755,326.778,10^-274.867,0.025225,0.0943834,,,,0
149016,1,1301,Streptococcus urinalis,"",bacteria,false,42895.662679436246,100,-100,0.0,0,,,0,0,10^0,0.0705663,0.14048,,,100,25.507777887014615,52,1,51,67.3161,619.808,10^-302.074,,,,,,0
563037,1,1301,Streptococcus sp. M143,"",bacteria,false,42466.70605264188,99,,,,,,,,,,,,,99,25.507777887014615,52,2,52,90.659,256.269,10^-206.193,0.0297745,0.111406,,,,0
1739472,1,1301,Streptococcus sp. HMSC065G04,"",bacteria,false,40420.912909468774,100,,,,,,,,,,,,,100,24.036175316609928,49,1,49,99.237,262.0,10^-175.203,,,,,,0
1346,1,1301,Streptococcus iniae,"",bacteria,false,32183.167053923473,88.66782699466742,,,,,,,,,,,,,88.66782699466742,21.583504365935443,44,1,38,94.6809,240.841,10^-267.038,0.108068,0.242201,,,,1
82348,1,1301,Streptococcus pluranimalium,"",bacteria,false,31850.029539481413,99,,,,,,,,,,,,,99,19.130833415260962,39,1,39,95.607,387.0,10^-307.653,0.0447877,0.16758,,,,0
119224,1,1301,Streptococcus phocae,"",bacteria,false,23683.355298588744,99,,,,,,,,,,,,,99,14.225491513911997,29,1,29,96.491,285.0,10^-307.653,0.025225,0.0943834,,,,0
439220,1,1301,Streptococcus caballi,"",bacteria,false,23097.664519696442,100,,,,,,,,,,,,,100,13.7349573237771,28,1,28,96.845,317.0,10^-307.653,,,,,,0
1335,1,1301,Streptococcus equinus,"",bacteria,false,22361.6251359355,96.81336014239325,-100,0.0,0,,,0,0,10^0,0.0457869,0.171319,,,96.81336014239325,13.7349573237771,28,2,27,82.7082,217.286,10^-132.551,0.0709133,0.141138,,,,1
1314,1,1301,Streptococcus pyogenes,"",bacteria,false,19578.36515848057,3.9209092679425432,1.2890698907085532,4.905341901348964,10,,,99.8666,150.0,10^-89.5569,0.902767,3.10501,,,3.9209092679425432,295.30158246120766,602,20,513,93.1363,246.01,10^-204.81,19.3127,70.389,,,,1
1318,1,1301,Streptococcus parasanguinis,"",bacteria,false,17553.304076323453,36.06590436206065,-100,0.0,0,,,0,0,10^0,0.178943,0.5853,,,36.06590436206065,28.941517217958893,59,1,56,94.6794,512.864,10^-292.642,0.426046,0.790649,,,,0
1307,1,1301,Streptococcus suis,"",bacteria,false,16382.900130415192,39.14313814672008,39.14313814672008,17.168696654721376,35,1,31,99.9809,1100.37,10^-282.72,0.222497,0.432929,,,1.8409813909759813,161.38574855438094,329,15,258,96.9108,165.726,10^-115.85,20.9706,76.2719,,,,1
1341,1,1301,Streptococcus ratti,"",bacteria,false,14848.498619804854,100,-100,0.0,0,,,0,0,10^0,0.0223938,0.08379,,,100,8.829615422428136,18,1,18,79.656,349.0,10^-307.653,,,,,,0
1715078,1,1301,Streptococcus sp. HMSC068H01,"",bacteria,false,14023.582029815696,100,,,,,,,,,,,,,100,8.339081232293239,17,2,17,99.6871,163.294,10^-110.339,,,,,,0
