tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
12059,2,12059,Enterovirus,"",viruses,false,1296062555.7984176,100,100,64803.12778992088,8420,1,8420,100.0,7053.0,10^-307.653,,,,,100,64803.12778992088,8420,1,8420,100.0,2147.0,10^-307.653,,,,,[463676],1
463676,1,12059,Rhinovirus C,"",viruses,false,1296062555.7984176,100,100,64803.12778992088,8420,1,8420,100.0,7053.0,10^-307.653,,,,,100,64803.12778992088,8420,1,8420,100.0,2147.0,10^-307.653,,,,,,1
11646,2,11646,Lentivirus,"",viruses,false,1287361850.814272,100,99,64687.68278791983,8405,1,8384,98.9348,9160.37,10^-307.066,1.55423,5.81539,,,100,64695.37912138657,8406,1,8384,99.8997,1000.48,10^-306.9,,,,,[11676],0
11676,1,11646,Human immunodeficiency virus 1,"",viruses,false,1287361850.814272,100,100,64687.68278791983,8405,1,8384,98.9348,9160.37,10^-307.066,,,,,100,64695.37912138657,8406,1,8384,99.8997,1000.48,10^-306.9,,,,,,0
11019,2,11019,Alphavirus,arboviruses group A,viruses,false,1279746328.8489363,100,100,63987.31644244682,8314,1,8314,100.0,11596.0,10^-307.653,,,,,100,63987.31644244682,8314,1,8314,99.919,2474.0,10^-307.653,,,,,[37124],1
37124,1,11019,Chikungunya virus,"",viruses,false,1279746328.8489363,100,100,63987.31644244682,8314,1,8314,100.0,11596.0,10^-307.653,,,,,100,63987.31644244682,8314,1,8314,99.919,2474.0,10^-307.653,,,,,,1
11040,2,11040,Rubivirus,"",viruses,false,1202167287.504233,100,100,60108.36437521165,7810,1,7810,99.98,9760.0,10^-307.653,,,,,100,60108.36437521165,7810,1,7810,99.905,2116.0,10^-307.653,,,,,[11041],1
11041,1,11040,Rubella virus,"",viruses,false,1202167287.504233,100,100,60108.36437521165,7810,1,7810,99.98,9760.0,10^-307.653,,,,,100,60108.36437521165,7810,1,7810,99.905,2116.0,10^-307.653,,,,,,1
308865,2,308865,Elizabethkingia,"",bacteria,false,1147694293.9383678,99,99,64102.76144444787,8329,59,266,99.8599,142.577,10^-81.4729,5.09663,7.89911,,,99,56167.84164024259,7298,51,220,99.4966,44.5522,10^-20.5229,3.69993,5.58082,,,"[1117645, 172045, 238, 1756150, 1867263, 2135666, 1756149, 2795116, 2681556, 2583851, 2796140, 1883430]",2
1117645,1,308865,Elizabethkingia anophelis,"",bacteria,false,1147694293.9383678,99,99,64056.58344364745,8323,59,266,99.8598,142.588,10^-81.4787,1.43724,2.40214,,,99,53043.13025274759,6892,48,206,99.5884,44.721,10^-20.6817,1.38153,2.12457,,,,1
172045,1,308865,Elizabethkingia miricola,"",bacteria,false,13368081.208247606,99,10.93195732337277,15.392666933472894,2,,,100.0,126.0,10^-73.4386,0.795115,1.33531,,,99,1362.251023612351,177,2,9,98.3726,41.3672,10^-18.0407,0.38358,0.708291,,,,0
238,1,308865,Elizabethkingia meningoseptica,"",bacteria,false,6037165.393390395,99,3.444180747483104,7.696333466736447,1,,,100.0,126.0,10^-73.4386,1.16751,1.89561,,,99,615.7066773389157,80,,,98.015,38.0125,10^-14.7735,0.685136,0.96885,,,,1
1756150,1,308865,Elizabethkingia ursingii,"",bacteria,false,5204791.73721639,99,-100,0.0,0,,,0,0,10^0,0.471888,0.847914,,,99,531.0470092048148,69,,,98.4597,44.1159,10^-19.4781,0.389261,0.741152,,,,0
