tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
10358,2,10358,Cytomegalovirus,"",viruses,false,1934969343.0656936,100,99,5839.41605839416,32,,,86.7773,81.5625,10^-26.8224,0.304401,0.745627,,,100,192335.76642335765,1054,,,47.3806,89.3368,10^-12.0505,,,,,"[10359, 188763, 203138, 50292, 660662, 47929, 1535247, 660664, 50290]",1
10359,1,10358,Human betaherpesvirus 5,"",viruses,false,1934969343.0656936,100,99,5839.41605839416,32,,,86.7773,81.5625,10^-26.8224,0.304401,0.745627,,,100,187773.72262773724,1029,,,47.5203,89.2264,10^-12.0871,,,,,,1
188763,1,10358,Panine betaherpesvirus 2,Chimpanzee cytomegalovirus,viruses,false,18248175.18248175,100,,,,,,,,,,,,,100,1824.8175182481752,10,,,40.69,93.5,10^-10.7834,,,,,,0
203138,1,10358,Pongo pygmaeus cytomegalovirus 1,"",viruses,false,7299270.0729927,100,,,,,,,,,,,,,100,729.92700729927,4,,,46.375,92.25,10^-11.7014,,,,,,0
50292,1,10358,Cercopithecine betaherpesvirus 5,"",viruses,false,7299270.0729927,100,,,,,,,,,,,,,100,729.92700729927,4,,,40.9,97.25,10^-8.62488,,,,,,0
660662,1,10358,Gorilla gorilla cytomegalovirus 2.1,"",viruses,false,3649635.03649635,100,,,,,,,,,,,,,100,364.963503649635,2,,,46.45,97.0,10^-13.8957,,,,,,0
47929,1,10358,Macacine betaherpesvirus 3,Rhesus cytomegalovirus,viruses,false,3649635.03649635,100,,,,,,,,,,,,,100,364.963503649635,2,,,40.0,84.0,10^-7.99817,,,,,,0
1535247,1,10358,Saimiriine betaherpesvirus 4,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,36.7,98.0,10^-7.39686,,,,,,0
660664,1,10358,Pan troglodytes cytomegalovirus 1.1,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,41.4,99.0,10^-16.5986,,,,,,0
50290,1,10358,Aotine betaherpesvirus 1,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,33.7,95.0,10^-6.71897,,,,,,0
-200,2,-200,all taxa with neither family nor genus classification,,,false,-57.89554713707335,-0.4086897557868349,-100,0.0,0,,,0,0,10^0,7955.8,19466.6,,,-0.4136357741402355,364.963503649635,2,,,54.5,57.0,10^-7.91105,1132.99,1856.77,,,[-100],0
-100,1,-200,all taxa with neither family nor genus classification,,,false,-57.89554713707335,-0.38351083023539245,-100,0.0,0,,,0,0,10^0,0.576854,0.90976,,,-0.38351083023539245,364.963503649635,2,,,54.5,57.0,10^-7.91105,920.966,1449.77,,,,0
