tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
5052,2,5052,Aspergillus,"",eukaryota,false,196372.90084315772,26.375333190816935,26.375333190816935,71.89409187078226,2113,4,33,99.6215,131.812,10^-74.8066,1.09584,2.68426,,,6.547891657433493,42.53081629838042,1250,2,20,96.9785,40.6448,10^-16.9827,2.49609,6.11414,,,"[5059, 5062, 41058, 5067, 986946, 656917, 1506151, 1340029, 1825620, 1034304, 1034303, 5061, 132259, 41984, 1226010, 746128, 109264, 61420, 33178, 1245748, 454130, 209559, 41061, 1873369, 105351, 656916, 1810919, 138278, 34381, 51019, 2508778, 1220188, 1194566, 1191711, 1069201, 319629, 319627, 306088, 301854, 162425, 138285, 41062, 5057, 340412, 293939, 46472, 91492, 36643]",5
5059,1,5052,Aspergillus flavus,"",eukaryota,false,196372.90084315772,100,100,68.2194293426022,2005,4,33,99.6863,132.387,10^-75.2354,,,,,100,25.1101939425638,738,1,4,98.8246,39.7812,10^-16.7476,,,,,,1
5062,1,5052,Aspergillus oryzae,"",eukaryota,false,12261.399634740326,100,100,2.858070855251164,84,,,99.6192,123.205,10^-70.1476,,,,,100,7.213226444205319,212,,,98.7888,42.3264,10^-18.72,,,,,,0
41058,1,5052,Aspergillus sojae,"",eukaryota,false,1884.5642772553144,100,100,0.714517713812791,21,,,94.2267,118.35,10^-57.5406,,,,,,,,,,,,,,,,,,0
5067,1,5052,Aspergillus parasiticus,"",eukaryota,false,913.4379412947253,100,,,,,,,,,,,,,100,1.3950107745868778,41,,,91.0391,43.4412,10^-16.8161,,,,,,0
986946,1,5052,Aspergillus novoparasiticus,"",eukaryota,false,467.8584577363227,100,,,,,,,,,,,,,100,0.714517713812791,21,,,87.8824,38.0,10^-13.1737,,,,,,0
656917,1,5052,Aspergillus minisclerotigenes,"",eukaryota,false,467.8584577363227,100,,,,,,,,,,,,,100,0.714517713812791,21,,,93.8357,38.2143,10^-14.3523,,,,,,0
1506151,1,5052,Aspergillus pseudonomius,"",eukaryota,false,445.57948355840256,100,,,,,,,,,,,,,100,0.6804930607740867,20,,,93.6263,36.5263,10^-14.0012,,,,,,0
1340029,1,5052,Aspergillus eucalypticola,"",eukaryota,false,378.7425610246422,100,,,,,,,,,,,,,100,0.5784191016579737,17,1,16,95.2904,87.1333,10^-53.9502,,,,,,0
1825620,1,5052,Aspergillus pseudocaelatus,"",eukaryota,false,334.18461266880195,100,,,,,,,,,,,,,100,0.510369795580565,15,,,85.8258,39.0769,10^-13.1995,,,,,,0
1034304,1,5052,Aspergillus transmontanensis,"",eukaryota,false,289.6266643129617,100,,,,,,,,,,,,,100,0.4423204895031564,13,,,87.5213,45.3333,10^-20.5768,,,,,,0
1034303,1,5052,Aspergillus sergii,"",eukaryota,false,245.0687159571214,100,,,,,,,,,,,,,100,0.37427118342574767,11,,,94.22,36.1,10^-13.3705,,,,,,0
5061,1,5052,Aspergillus niger,"",eukaryota,false,180.09102319463184,100,100,0.06804930607740867,2,,,99.6065,126.5,10^-73.0938,,,,,0.3903174549990792,0.23817257127093036,7,,,95.2429,40.8571,10^-15.4034,0.12176,0.298251,,,,1
132259,1,5052,Aspergillus pseudotamarii,"",eukaryota,false,178.231793423361,100,,,,,,,,,,,,,100,0.27219722430963467,8,,,85.2875,33.25,10^-8.17295,,,,,,0
41984,1,5052,Aspergillus tamarii,"",eukaryota,false,178.231793423361,100,,,,,,,,,,,,,100,0.27219722430963467,8,,,90.4125,39.375,10^-14.5231,,,,,,0
1226010,1,5052,Aspergillus bertholletiae,"",eukaryota,false,155.9528192454409,100,,,,,,,,,,,,,100,0.23817257127093036,7,,,85.2714,35.5714,10^-10.1018,,,,,,0
746128,1,5052,Aspergillus fumigatus,"",eukaryota,false,133.67384506752077,100,,,,,,,,,,,,,100,0.20414791823222603,6,,,94.2833,31.6667,10^-11.8944,,,,,,1
