tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
5206,2,5206,Cryptococcus,"",eukaryota,false,20622198.146654915,100,100,2005.208199852867,44598,117,39470,99.8088,596.838,10^-134.701,,,,,100,118.65429928274173,2639,77,1582,95.4079,65.9768,10^-34.4602,,,,,"[5207, 37769, 2046349, 2011032, 1859096, 104669, 552467, 5208]",2
5207,1,5206,Cryptococcus neoformans,"",eukaryota,false,20622198.146654915,100,100,1954.581166509795,43472,117,39470,99.813,611.875,10^-137.258,,,,,100,107.63864815569674,2394,74,1477,95.4731,67.0292,10^-34.9087,,,,,,1
37769,1,5206,Cryptococcus gattii VGI,"",eukaryota,false,408703.13773403654,100,100,39.79122958136659,885,,,99.7373,93.2484,10^-50.2079,,,,,100,1.07908419203706,24,,,84.8286,39.0,10^-12.0318,,,,,,1
2046349,1,5206,Cryptococcus sp. (in: Fungi),"",eukaryota,false,87675.59060301112,100,100,7.688474868264053,171,,,99.2932,80.0725,10^-41.1276,,,,,100,1.07908419203706,24,,,96.625,40.5,10^-14.2754,,,,,,0
2011032,1,5206,Cryptococcus cf. gattii,"",eukaryota,false,62047.34104213095,100,,,,,,,,,,,,,100,6.204734104213095,138,2,85,95.4531,55.0588,10^-31.8659,,,,,,0
1859096,1,5206,Cryptococcus gattii VGII,"",eukaryota,false,49008.407055016476,100,100,2.652748638757773,59,,,99.828,98.3913,10^-53.4786,,,,,100,2.248092066743875,50,1,20,95.8333,62.0556,10^-35.7975,,,,,,0
104669,1,5206,Cryptococcus amylolentus,"",eukaryota,false,4945.802546836525,100,100,0.4945802546836525,11,,,100.0,59.0,10^-25.759,,,,,,,,,,,,,,,,,,0
552467,1,5206,Cryptococcus gattii VGIII,"",eukaryota,false,2248.092066743875,100,,,,,,,,,,,,,100,0.2248092066743875,5,,,100.0,26.0,10^-4.5222,,,,,,0
5208,1,5206,Cryptococcus depauperatus,"",eukaryota,false,1798.4736533951002,100,,,,,,,,,,,,,100,0.17984736533951,4,,,88.1,43.0,10^-14.9489,,,,,,0
93827,2,93827,Gymnopus,"",eukaryota,false,16308559.088986767,100,,,,,,,,,,,,,100,1631.5303365186999,36287,1,36202,72.196,96.7534,10^-43.24,,,,,"[1447940, 206324]",0
1447940,1,93827,Gymnopus androsaceus,"",eukaryota,false,16308559.088986767,100,,,,,,,,,,,,,100,1630.8559088986767,36272,1,36202,72.1864,96.7896,10^-43.2567,,,,,,0
206324,1,93827,Gymnopus luxurians,"",eukaryota,false,6744.276200231626,100,,,,,,,,,,,,,100,0.6744276200231626,15,,,87.2,40.4286,10^-17.1188,,,,,,0
3817,2,3817,Arachis,"",eukaryota,false,508968.0439108133,100,100,40.28580983605024,896,24,379,93.1946,209.755,10^-69.4377,,,,,100,27.02206664226138,601,16,312,80.4702,73.6866,10^-31.9926,,,,,"[3818, 130454, 130453]",0
3818,1,3817,Arachis hypogaea,peanut,eukaryota,false,508968.0439108133,100,100,34.84542703453006,775,20,313,92.7065,208.29,10^-61.2311,,,,,100,16.051377356551267,357,9,128,81.3052,48.1753,10^-17.9781,,,,,,0
130454,1,3817,Arachis ipaensis,"",eukaryota,false,124094.6820842619,100,100,4.631069657492382,103,3,60,96.7816,225.891,10^-129.416,,,,,100,7.778398550933808,173,4,130,80.2994,106.025,10^-48.179,,,,,,0
130453,1,3817,Arachis duranensis,"",eukaryota,false,40016.038788040976,100,100,0.8093131440277951,18,1,6,92.9809,173.857,10^-68.0377,,,,,100,3.1922907347763028,71,3,54,77.1815,112.943,10^-57.1212,,,,,,0
21019,2,21019,Castanea,"",eukaryota,false,145226.74751165434,100,,,,,,,,,,,,,100,14.522674751165434,323,1,312,80.8614,134.349,10^-60.042,,,,,[60419],0
60419,1,21019,Castanea mollissima,Chinese chestnut,eukaryota,false,145226.74751165434,100,,,,,,,,,,,,,100,14.522674751165434,323,1,312,80.8614,134.349,10^-60.042,,,,,,0
5605,2,5605,Saitoella,"",eukaryota,false,93520.62997654521,100,,,,,,,,,,,,,100,9.35206299765452,208,1,96,90.4877,48.378,10^-24.4243,,,,,[5606],0
5606,1,5605,Saitoella complicata,"",eukaryota,false,93520.62997654521,100,,,,,,,,,,,,,100,9.35206299765452,208,1,96,90.4877,48.378,10^-24.4243,,,,,,0
5296,2,5296,Puccinia,"",eukaryota,false,87225.97218966235,100,,,,,,,,,,,,,100,8.722597218966236,194,,,83.0803,30.5,10^-6.88286,,,,,[27350],0
27350,1,5296,Puccinia striiformis,"",eukaryota,false,87225.97218966235,100,,,,,,,,,,,,,100,8.722597218966236,194,,,83.0803,30.5,10^-6.88286,,,,,,0
6944,2,6944,Ixodes,"",eukaryota,false,76884.74868264052,100,,,,,,,,,,,,,100,7.688474868264053,171,1,171,79.545,88.0,10^-42.025,,,,,[6945],0
6945,1,6944,Ixodes scapularis,black-legged tick,eukaryota,false,76884.74868264052,100,,,,,,,,,,,,,100,7.688474868264053,171,1,171,79.545,88.0,10^-42.025,,,,,,0
3846,2,3846,Glycine,"",eukaryota,false,73207.48722932815,49.33980989337698,,,,,,,,,,,,,49.33980989337698,14.837407640509577,330,,,79.3354,36.2743,10^-7.64726,0.12176,0.298251,,,[3847],0
3847,1,3846,Glycine max,soybean,eukaryota,false,73207.48722932815,100,,,,,,,,,,,,,100,14.837407640509577,330,,,79.3354,36.2743,10^-7.64726,,,,,,0
531859,2,531859,Glonium,"",eukaryota,false,67892.38041566503,100,,,,,,,,,,,,,100,6.789238041566503,151,,,71.9949,35.678,10^-7.60238,,,,,[574774],0
574774,1,531859,Glonium stellatum,"",eukaryota,false,67892.38041566503,100,,,,,,,,,,,,,100,6.789238041566503,151,,,71.9949,35.678,10^-7.60238,,,,,,0
34453,2,34453,Hebeloma,"",eukaryota,false,61148.1042154334,100,,,,,,,,,,,,,100,6.11481042154334,136,,,73.0163,36.0204,10^-9.01225,,,,,[76867],0
76867,1,34453,Hebeloma cylindrosporum,"",eukaryota,false,61148.1042154334,100,,,,,,,,,,,,,100,6.11481042154334,136,,,73.0163,36.0204,10^-9.01225,,,,,,0
80662,2,80662,Piloderma,"",eukaryota,false,49008.407055016476,100,,,,,,,,,,,,,100,4.900840705501648,109,,,92.9056,42.2778,10^-19.2055,,,,,[80663],0
80663,1,80662,Piloderma croceum,"",eukaryota,false,49008.407055016476,100,,,,,,,,,,,,,100,4.900840705501648,109,,,92.9056,42.2778,10^-19.2055,,,,,,0
71917,2,71917,Rhodocollybia,"",eukaryota,false,47209.933401621376,100,,,,,,,,,,,,,100,4.720993340162138,105,,,85.5111,27.0833,10^-4.87669,,,,,[206335],0
206335,1,71917,Rhodocollybia butyracea,"",eukaryota,false,47209.933401621376,100,,,,,,,,,,,,,100,4.720993340162138,105,,,85.5111,27.0833,10^-4.87669,,,,,,0
-200036752,2,-200036752,non-genus-specific reads in family Acaulosporaceae,,eukaryota,false,42713.74926813363,100,100,4.271374926813363,95,,,99.8995,75.3056,10^-38.0765,,,,,,,,,,,,,,,,,[467201],0
467201,1,-200036752,uncultured Acaulosporaceae,"",eukaryota,false,42713.74926813363,100,100,4.271374926813363,95,,,99.8995,75.3056,10^-38.0765,,,,,,,,,,,,,,,,,,0
490731,2,490731,Kwoniella,"",eukaryota,false,40465.65720138975,100,100,0.8093131440277951,18,,,100.0,81.1667,10^-42.642,,,,,100,5.395420960185301,120,4,96,85.2935,72.82,10^-37.7044,,,,,"[1734106, 463800, 1941230, 324769, 453459, 89924]",0
1734106,1,490731,Kwoniella shandongensis,"",eukaryota,false,40465.65720138975,100,,,,,,,,,,,,,100,4.046565720138975,90,3,80,85.828,77.0526,10^-40.7052,,,,,,0
463800,1,490731,Kwoniella mangrovensis,"",eukaryota,false,7643.513026929176,100,100,0.0449618413348775,1,,,100.0,105.0,10^-59.1079,,,,,100,0.71938946135804,16,1,16,78.333,60.0,10^-29.8386,,,,,,0
1941230,1,490731,Kwoniella sp.,"",eukaryota,false,7643.513026929175,100,100,0.7643513026929175,17,,,100.0,76.4,10^-39.3488,,,,,,,,,,,,,,,,,,0
