tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
6202,2,6202,Taenia,"",eukaryota,false,85475821.85100111,100,100,6829.170260245905,179491,262,143605,99.1498,674.724,10^-210.754,,,,,100,2894.876335978238,76086,750,65498,94.6239,175.637,10^-106.095,,,,,"[6204, 60517, 6206, 94035, 749910, 85432, 1453890, 1453887, 94034, 85431, 6207, 1453889, 6203, 432621, 1548222, 1453888, 159981, 1035110, 529880, 529879, 432622, 159984]",3
6204,1,6202,Taenia solium,pork tapeworm,eukaryota,false,85475821.85100111,100,100,6553.59276502352,172248,192,138136,99.3592,689.944,10^-216.79,,,,,100,1993.989420076591,52408,42,49882,95.3649,220.658,10^-133.653,,,,,,1
60517,1,6202,Taenia asiatica,"",eukaryota,false,11325957.307441605,100,100,258.3800593752887,6791,67,5336,94.5055,352.53,10^-77.8493,,,,,100,874.2156713688718,22977,704,15553,93.3375,88.9461,10^-53.2736,,,,,,0
6206,1,6202,Taenia saginata,beef tapeworm,eukaryota,false,107293.73692214902,100,100,6.277825032678932,165,1,37,96.566,190.904,10^-109.583,,,,,100,4.451548659535971,117,,,85.7,42.3659,10^-15.4802,,,,,,1
94035,1,6202,Taenia serialis,"",eukaryota,false,55168.765438693656,100,100,0.11414227332143514,3,,,93.8387,74.6667,10^-32.0442,,,,,100,5.40273427054793,142,,,86.844,40.4945,10^-14.6812,,,,,,0
749910,1,6202,Taenia arctos,"",eukaryota,false,49842.12601702668,100,100,0.3424268199643054,9,,,94.1816,105.429,10^-51.5698,,,,,100,4.6417857817383625,122,1,24,90.3811,48.1158,10^-20.4148,,,,,,0
85432,1,6202,Taenia pisiformis,"",eukaryota,false,38047.42444047838,100,100,3.690600170726403,97,1,79,94.2372,250.899,10^-106.176,,,,,100,0.11414227332143514,3,,,96.8,31.0,10^-13.2588,,,,,,0
1453890,1,6202,Taenia sp. MZH:127052,"",eukaryota,false,37286.475951668814,100,,,,,,,,,,,,,100,3.728647595166881,98,,,89.7551,41.5217,10^-15.3718,,,,,,0
1453887,1,6202,Taenia sp. MZH:127001,"",eukaryota,false,25872.2486195253,100,100,0.6087587910476541,16,,,97.5601,68.7857,10^-31.8024,,,,,100,1.9784660709048758,52,,,90.08,42.125,10^-15.8356,,,,,,0
94034,1,6202,Taenia multiceps,"",eukaryota,false,25872.2486195253,100,100,1.4077547042977,37,,,96.097,109.588,10^-56.5708,,,,,100,1.1794701576548299,31,1,10,91.5375,50.0714,10^-25.0104,,,,,,1
85431,1,6202,Taenia hydatigena,"",eukaryota,false,20545.609197858328,100,100,1.3316598554167434,35,1,17,96.3646,111.31,10^-38.9188,,,,,100,0.7229010643690892,19,,,91.0,31.4444,10^-10.7028,,,,,,0
6207,1,6202,Taenia crassiceps,"",eukaryota,false,19784.66070904876,100,100,1.5218969776191353,40,,,91.1673,115.69,10^-48.216,,,,,100,0.4565690932857406,12,,,97.452,43.3333,10^-19.5398,,,,,,0
1453889,1,6202,Taenia sp. MPM<JPN>:20922,"",eukaryota,false,13697.072798572217,100,100,0.15218969776191352,4,,,91.5342,96.75,10^-40.8067,,,,,100,1.2175175820953081,32,,,79.24,35.0667,10^-7.50384,,,,,,0
6203,1,6202,Taenia ovis,sheep tapeworm,eukaryota,false,11414.227332143513,100,100,0.49461651772621895,13,,,92.8851,81.8182,10^-35.4715,,,,,100,0.6468062154881324,17,1,6,69.9479,48.8,10^-13.2199,,,,,,0
432621,1,6202,Taenia madoquae,"",eukaryota,false,10653.278843333946,100,100,0.7229010643690892,19,,,92.6735,100.421,10^-45.5286,,,,,100,0.3424268199643054,9,,,89.2125,38.25,10^-13.896,,,,,,0
1548222,1,6202,Taenia sp. 1 YF-2014,"",eukaryota,false,8750.907621310027,100,,,,,,,,,,,,,100,0.8750907621310028,23,1,23,94.118,34.0,10^-18.8327,,,,,,0
1453888,1,6202,Taenia crocutae,"",eukaryota,false,6468.062154881325,100,100,0.19023712220239192,5,,,97.3335,75.0,10^-35.9238,,,,,100,0.4565690932857406,12,,,79.9818,41.1818,10^-11.3848,,,,,,0
159981,1,6202,Taenia martis,marten tapeworm,eukaryota,false,3804.742444047838,100,100,0.11414227332143514,3,,,94.3643,135.667,10^-69.5182,,,,,100,0.26633197108334866,7,,,68.2667,40.5,10^-4.48256,,,,,,0
1035110,1,6202,Taenia laticollis,"",eukaryota,false,1521.8969776191352,100,100,0.15218969776191352,4,,,99.569,58.0,10^-26.7719,,,,,,,,,,,,,,,,,,0
529880,1,6202,Taenia twitchelli,"",eukaryota,false,1141.4227332143514,100,,,,,,,,,,,,,100,0.11414227332143514,3,,,67.5,40.0,10^-3.22768,,,,,,0
529879,1,6202,Taenia krabbei,"",eukaryota,false,760.9484888095676,100,,,,,,,,,,,,,100,0.07609484888095676,2,,,94.444,36.0,10^-17.0159,,,,,,0
432622,1,6202,Taenia regis,"",eukaryota,false,380.4742444047838,100,100,0.03804742444047838,1,,,90.0,100.0,10^-41.9745,,,,,,,,,,,,,,,,,,0
159984,1,6202,Taenia polyacantha,"",eukaryota,false,380.4742444047838,100,100,0.03804742444047838,1,,,90.141,71.0,10^-26.341,,,,,,,,,,,,,,,,,,0
34503,2,34503,Paragonimus,"",eukaryota,false,15656515.157256855,100,100,0.11414227332143514,3,,,90.6857,60.6667,10^-21.1515,,,,,100,1565.6515157256854,41150,1,41147,80.4895,81.9965,10^-37.1231,,,,,"[34504, 59629]",1
