tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
11019,2,11019,Alphavirus,arboviruses group A,viruses,false,611281943.8590028,100,100,30568.08675515485,999893,5,996783,99.9959,11845.8,10^-31.4096,,,,,100,30560.933057408485,999659,3,996738,99.8891,2464.78,10^-306.536,,,,,"[37124, 11029, 2169701, 59304, 11036, 11023, 2597680]",5
37124,1,11019,Chikungunya virus,"",viruses,false,611281943.8590028,100,100,30568.08675515485,999893,5,996783,99.9959,11845.8,10^-31.4096,,,,,100,30560.107630745442,999632,3,996738,99.8895,2464.89,10^-306.549,,,,,,1
11029,1,11019,Ross River virus,"",viruses,false,3974.276525758387,100,,,,,,,,,,,,,100,0.3974276525758387,13,,,100.0,37.0,10^-15.297,,,,,,1
2169701,1,11019,Onyong-nyong virus,"",viruses,false,1528.5678945224565,100,,,,,,,,,,,,,100,0.15285678945224565,5,,,78.6,42.0,10^-12.3706,,,,,,1
59304,1,11019,Una virus,"",viruses,false,917.1407367134739,100,,,,,,,,,,,,,100,0.09171407367134739,3,,,87.8333,36.3333,10^-12.3149,,,,,,0
11036,1,11019,Venezuelan equine encephalitis virus,"",viruses,false,917.1407367134739,100,,,,,,,,,,,,,100,0.09171407367134739,3,,,82.4,51.0,10^-16.0097,,,,,,1
11023,1,11019,Middelburg virus,"",viruses,false,611.4271578089825,100,,,,,,,,,,,,,100,0.061142715780898256,2,,,100.0,37.0,10^-13.3197,,,,,,1
2597680,1,11019,Comber alphavirus,"",viruses,false,305.71357890449127,100,,,,,,,,,,,,,100,0.030571357890449128,1,,,63.6,44.0,10^-5.83268,,,,,,0
4107,2,4107,Solanum,"",eukaryota,false,20432046.728647947,99,2.2226471724667034,4.707989115129166,154,4,91,97.3433,234.46,10^-136.314,0.730562,1.7895,,,99,2064.025227973673,67515,2,67509,98.5116,407.651,10^-307.363,0.12176,0.298251,,,"[4081, 28526, 4111, 50273, 4113, 205524]",0
4081,1,4107,Solanum lycopersicum,tomato,eukaryota,false,20432046.728647947,100,2.923075171507162,1.9871382628791934,65,1,49,100.0,257.308,10^-134.806,0.243521,0.596501,,,100,2063.8417998263303,67509,2,67509,98.5139,407.67,10^-307.379,,,,,,0
28526,1,4107,Solanum pennellii,"",eukaryota,false,54.35947373893951,100,100,0.24457086312359302,8,,,86.316,95.0,10^-34.4487,,,,,,,,,,,,,,,,,,0
4111,1,4107,Solanum melongena,eggplant,eukaryota,false,40.76960530420464,100,100,0.18342814734269478,6,,,98.6665,150.0,10^-87.0866,,,,,,,,,,,,,,,,,,0
50273,1,4107,Solanum pinnatisectum,tansyleaf nightshade,eukaryota,false,20.38480265210232,100,100,0.09171407367134739,3,,,97.333,150.0,10^-84.3419,,,,,,,,,,,,,,,,,,0
4113,1,4107,Solanum tuberosum,potato,eukaryota,false,11.070096505547216,1.5832196579592872,1.5832196579592872,2.0788523365505407,68,3,42,95.5999,238.033,10^-152.708,0.426161,1.04388,,,0.20676593655241654,0.18342814734269478,6,,,55.1,49.0,10^-9.09583,0.12176,0.298251,,,,0
205524,1,4107,Solanum aethiopicum,"",eukaryota,false,0.11191805775413168,0.4117702032643521,0.4117702032643521,0.12228543156179651,4,,,100.0,150.0,10^-89.8314,0.0608802,0.149125,,,,,,,,,,,,,,,,0
215249,2,215249,Acaromyces,"",eukaryota,false,5014314.121191466,100,,,,,,,,,,,,,100,501.4314121191466,16402,3,16203,80.8996,102.469,10^-46.8704,,,,,[215250],0
215250,1,215249,Acaromyces ingoldii,"",eukaryota,false,5014314.121191466,100,,,,,,,,,,,,,100,501.4314121191466,16402,3,16203,80.8996,102.469,10^-46.8704,,,,,,0
45667,2,45667,Halobacillus,"",bacteria,false,4558868.604181501,99,-100,0.0,0,,,0,0,10^0,0.426161,1.04388,,,99,465.1432103031835,15215,1,15215,85.987,157.0,10^-81.3788,0.243521,0.596501,,,[195088],0
195088,1,45667,Halobacillus karajensis,"",bacteria,false,4558868.604181501,99,,,,,,,,,,,,,99,465.1432103031835,15215,1,15215,85.987,157.0,10^-81.3788,0.12176,0.298251,,,,0
55193,2,55193,Malassezia,"",eukaryota,false,3784839.679098594,31.73327908070809,31.73327908070809,1668.0038578607948,54561,228,42062,98.489,1004.83,10^-229.122,21.1863,51.8956,,,13.071318543687674,398.00850837575723,13019,185,4266,96.4625,58.3561,10^-29.0674,12.0543,29.5268,,,"[76773, 76775, 2020962, 55194, 77020, 76777, 169489, 1514897, 2011732]",0
76773,1,55193,Malassezia globosa,"",eukaryota,false,3784839.679098594,95.64571581589169,95.64571581589169,1231.8728661956477,40295,109,35746,98.6337,1240.04,10^-263.484,5.23569,12.8248,,,25.028913462105532,140.35310407505196,4591,80,1611,97.2399,59.0053,10^-28.8158,2.25257,5.51764,,,,0
76775,1,55193,Malassezia restricta,"",eukaryota,false,184943.36719250967,11.298843553547682,11.298843553547682,425.98130084551815,13934,117,6262,98.0668,300.922,10^-126.676,14.8548,36.3866,,,10.156138009022495,242.6142962186043,7936,103,2603,96.8302,58.4194,10^-29.8719,9.37554,22.9653,,,,0
2020962,1,55193,Malassezia vespertilionis,"",eukaryota,false,5834.276176567447,100,,,,,,,,,,,,,100,4.463418252005573,146,,,75.7885,51.037,10^-15.6443,,,,,,0
55194,1,55193,Malassezia furfur,"",eukaryota,false,3182.105044627928,12.763294575944427,12.763294575944427,7.856838977845426,257,1,36,96.2721,165.113,10^-84.649,0.243521,0.596501,,,-0.2032445405502154,0.030571357890449128,1,,,100.0,30.0,10^-7.70997,0.0608802,0.149125,,,,0
77020,1,55193,Malassezia pachydermatis,"",eukaryota,false,1178.0524329961916,100,100,0.061142715780898256,2,,,100.0,76.0,10^-39.3489,,,,,15.684585093765028,4.799703188800513,157,2,52,71.9098,54.9412,10^-16.7286,0.12176,0.298251,,,,0
76777,1,55193,Malassezia sympodialis,"",eukaryota,false,669.564902480786,8.714454300160343,0.7534452844652365,2.0788523365505407,68,1,18,99.6406,173.44,10^-96.5802,0.730562,1.7895,,,8.714454300160343,5.441701704499945,178,,,88.4784,46.1176,10^-18.4208,0.243521,0.596501,,,,0
169489,1,55193,Malassezia dermatis,"",eukaryota,false,399.6079572991402,100,,,,,,,,,,,,,100,0.3057135789044913,10,,,100.0,49.0,10^-26.3507,,,,,,0
1514897,1,55193,Malassezia arunalokei,"",eukaryota,false,388.0517727255318,100,100,0.12228543156179651,4,,,100.0,150.0,10^-89.8314,,,,,,,,,,,,,,,,,,0
2011732,1,55193,Malassezia sp.,"",eukaryota,false,97.01294318138295,100,100,0.030571357890449128,1,,,98.675,151.0,10^-87.7699,,,,,,,,,,,,,,,,,,0
1578,2,1578,Lactobacillus,"",bacteria,false,3694224.5446671383,99,30.43205034442901,73.58525844231106,2407,8,1792,99.82,726.573,10^-238.421,0.974082,2.38601,,,99,433.5629976023495,14182,14,13673,76.3012,164.33,10^-73.5763,1.72757,3.98727,,,"[83683, 872327, 47770, 109790, 147802, 52242, 1263085, 153152, 1596, 2107999, 227945, 1579, 1587, 1584, 33959, 1604]",0
83683,1,1578,Lactobacillus amylolyticus,"",bacteria,false,3694224.5446671383,100,,,,,,,,,,,,,100,373.15399441082207,12206,6,12185,76.3951,172.253,10^-78.9113,,,,,,0
872327,1,1578,Lactobacillus pasteurii,"",bacteria,false,323539.7376904122,100,,,,,,,,,,,,,100,32.68078158489012,1069,3,1054,58.8413,165.745,10^-48.4728,,,,,,0
47770,1,1578,Lactobacillus crispatus,"",bacteria,false,204256.289920578,100,100,53.53044766617642,1751,4,1479,99.832,881.372,10^-271.112,,,,,26.478818088477784,15.774820671471751,516,2,334,98.1672,78.6842,10^-49.0746,0.280449,0.585161,,,,0
109790,1,1578,Lactobacillus jensenii,"",bacteria,false,53238.122579348186,100,100,2.0788523365505407,68,1,31,99.8765,178.296,10^-98.5255,,,,,100,4.738560473019615,155,2,76,85.9618,51.2609,10^-22.2231,,,,,,0
147802,1,1578,Lactobacillus iners,"",bacteria,false,19615.937924401373,45.717704385574926,45.717704385574926,13.757111050702107,450,3,282,99.7767,469.361,10^-194.26,0.12176,0.298251,,,1.3792970147950976,3.4851347995112008,114,1,24,98.7536,51.75,10^-23.8912,0.838319,1.91896,,,,0
52242,1,1578,Lactobacillus gallinarum,"",bacteria,false,3026.564431154464,100,,,,,,,,,,,,,100,0.3057135789044913,10,,,99.0,49.5,10^-22.9643,,,,,,0
1263085,1,1578,Lactobacillus ruminis CAG:367,"",bacteria,false,2723.9079880390177,100,,,,,,,,,,,,,100,0.2751422210140422,9,,,99.0,49.0,10^-26.3323,,,,,,0
153152,1,1578,uncultured Lactobacillus sp.,"",bacteria,false,1860.6982048394098,100,100,0.6114271578089826,20,,,100.0,150.0,10^-89.8314,,,,,,,,,,,,,,,,,,0
1596,1,1578,Lactobacillus gasseri,"",bacteria,false,1230.405556293613,6.254390640363966,,,,,,,,,,,,,6.254390640363966,1.9871382628791934,65,,,89.3067,48.9333,10^-20.2491,0.12176,0.298251,,,,0
2107999,1,1578,Lactobacillus paragasseri,"",bacteria,false,930.3491024197049,100,100,0.3057135789044913,10,,,100.0,150.0,10^-89.8314,,,,,,,,,,,,,,,,,,0
227945,1,1578,Lactobacillus ultunensis,"",bacteria,false,907.9693293463391,100,,,,,,,,,,,,,100,0.09171407367134739,3,,,76.3,38.0,10^-9.54821,,,,,,0
1579,1,1578,Lactobacillus acidophilus,"",bacteria,false,279.10473072591145,100,100,0.09171407367134739,3,,,100.0,150.0,10^-89.8314,,,,,,,,,,,,,,,,,,0
1587,1,1578,Lactobacillus helveticus,"",bacteria,false,244.8731325890007,2.256810315998389,2.256810315998389,1.5897106103033547,52,,,99.6189,149.857,10^-88.9495,0.243521,0.596501,,,1.9493018681591343,0.7031412314803299,23,,,80.74,41.8,10^-13.9164,0.12176,0.298251,,,,0
1584,1,1578,Lactobacillus delbrueckii,"",bacteria,false,159.993807954918,3.9993441406376258,3.9993441406376258,1.3145683892893125,43,,,99.9166,150.0,10^-89.6598,0.12176,0.298251,,,-100,0.0,0,,,0,0,10^0,0.12176,0.298251,,,,0
33959,1,1578,Lactobacillus johnsonii,"",bacteria,false,29.84599123701391,0.8217786182959641,-100,0.0,0,,,0,0,10^0,0.12176,0.298251,,,0.8217786182959641,0.36685629468538955,12,,,84.4,42.0,10^-13.1328,0.12176,0.298251,,,,0
1604,1,1578,Lactobacillus amylovorus,"",bacteria,false,5.738155011070739,0.6167743910481149,0.6167743910481149,0.3057135789044913,10,,,99.6667,150.0,10^-89.1452,0.12176,0.298251,,,-100,0.0,0,,,0,0,10^0,0.12176,0.298251,,,,0
5206,2,5206,Cryptococcus,"",eukaryota,false,3333500.8643745733,100,100,1.895424189207846,62,1,50,88.9593,236.0,10^-78.797,,,,,100,333.50294322690957,10909,1,10895,58.7424,217.834,10^-69.1752,,,,,"[2011032, 5207, 104669]",1
2011032,1,5206,Cryptococcus cf. gattii,"",eukaryota,false,3333500.8643745733,100,,,,,,,,,,,,,100,333.3500864374573,10904,1,10895,58.737,217.887,10^-69.1926,,,,,,0
5207,1,5206,Cryptococcus neoformans,"",eukaryota,false,19259.955470982954,100,100,1.7731387576460496,58,1,50,89.2234,260.222,10^-84.8643,,,,,100,0.15285678945224565,5,,,76.0,50.0,10^-13.6925,,,,,,1
104669,1,5206,Cryptococcus amylolentus,"",eukaryota,false,1222.854315617965,100,100,0.12228543156179651,4,,,87.7705,127.0,10^-51.4942,,,,,,,,,,,,,,,,,,0
5605,2,5605,Saitoella,"",eukaryota,false,858443.7295638114,100,,,,,,,,,,,,,100,85.84437295638115,2808,2,2787,55.5326,208.487,10^-55.4315,,,,,[5606],0
5606,1,5605,Saitoella complicata,"",eukaryota,false,858443.7295638114,100,,,,,,,,,,,,,100,85.84437295638115,2808,2,2787,55.5326,208.487,10^-55.4315,,,,,,0
