tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
11019,2,11019,Alphavirus,arboviruses group A,viruses,false,76043735.45755765,100,100,3803.4452301950764,19645,1,19432,99.9597,11668.2,10^-304.704,,,,,100,3801.3155331967487,19634,1,19432,99.8669,2446.79,10^-304.358,,,,,"[37124, 11029]",2
37124,1,11019,Chikungunya virus,"",viruses,false,76043735.45755765,100,100,3803.4452301950764,19645,1,19432,99.9597,11668.2,10^-304.704,,,,,100,3800.928315560689,19632,1,19432,99.8668,2447.15,10^-304.403,,,,,,1
11029,1,11019,Ross River virus,"",viruses,false,3872.1763605956494,100,,,,,,,,,,,,,100,0.38721763605956494,2,,,100.0,23.0,10^-6.8962,,,,,,1
1511911,2,1511911,Tetraparvovirus,"",viruses,false,49699383.58824515,100,100,2529.4992075591076,13065,2,12611,99.0577,4612.45,10^-293.811,,,,,100,2440.6327600834375,12606,1,12289,99.51,890.102,10^-299.615,,,,,"[1511913, 2137541]",0
1511913,1,1511911,Primate tetraparvovirus 1,"",viruses,false,49699383.58824515,100,100,2529.4992075591076,13065,2,12611,99.0577,4612.45,10^-293.811,,,,,100,2440.439151265408,12605,1,12289,99.5104,890.202,10^-299.649,,,,,,0
2137541,1,1511911,Rodent tetraparvovirus,"",viruses,false,1936.0881802978247,100,,,,,,,,,,,,,100,0.19360881802978247,1,,,96.7,30.0,10^-10.8794,,,,,,0
4107,2,4107,Solanum,"",eukaryota,false,14661047.1230863,99,0.024517056227510384,0.7744352721191299,4,,,99.5,150.0,10^-88.8021,0.730562,1.7895,,,99,1480.913849109806,7649,1,7647,98.5232,407.862,10^-307.542,0.12176,0.298251,,,[4081],0
4081,1,4107,Solanum lycopersicum,tomato,eukaryota,false,14661047.1230863,100,0.8900475810084643,0.7744352721191299,4,,,99.5,150.0,10^-88.8021,0.243521,0.596501,,,100,1480.913849109806,7649,1,7647,98.5232,407.862,10^-307.542,,,,,,0
4930,2,4930,Saccharomyces,"",eukaryota,false,3504793.3671167814,99,99,296.9959268576863,1534,13,1272,99.898,1477.38,10^-98.8283,0.814881,1.92797,,,99,62.53564822361973,323,9,162,97.3715,60.4138,10^-34.1019,0.12176,0.298251,,,"[4932, 27291]",1
4932,1,4930,Saccharomyces cerevisiae,baker's yeast,eukaryota,false,3504793.3671167814,99,99,296.9959268576863,1534,13,1272,99.898,1477.38,10^-98.8283,0.814881,1.92797,,,99,60.59956004332191,313,8,152,97.4167,59.9799,10^-33.7972,0.12176,0.298251,,,,1
27291,1,4930,Saccharomyces paradoxus,"",eukaryota,false,19167.272984948464,100,,,,,,,,,,,,,100,1.9360881802978245,10,1,10,95.122,82.0,10^-49.262,,,,,,0
21019,2,21019,Castanea,"",eukaryota,false,1837347.6831026354,100,,,,,,,,,,,,,100,183.73476831026355,949,4,914,85.3415,138.888,10^-73.9964,,,,,[60419],0
60419,1,21019,Castanea mollissima,Chinese chestnut,eukaryota,false,1837347.6831026354,100,,,,,,,,,,,,,100,183.73476831026355,949,4,914,85.3415,138.888,10^-73.9964,,,,,,0
1578,2,1578,Lactobacillus,"",bacteria,false,1806382.061538636,70.3624501695202,10.14038681475422,25.16914634387172,130,7,81,98.4436,220.205,10^-111.136,0.974082,2.38601,,,70.3624501695202,282.2816566874228,1458,6,1395,78.8961,162.355,10^-77.9204,1.72757,3.98727,,,"[83683, 872327, 109790, 47770, 81857, 147802, 2797258, 2107999, 33959, 1584, 1596, 1604]",0
83683,1,1578,Lactobacillus amylolyticus,"",bacteria,false,1806382.061538636,100,,,,,,,,,,,,,100,256.7252927074915,1326,1,1326,78.613,173.0,10^-83.2218,,,,,,0
872327,1,1578,Lactobacillus pasteurii,"",bacteria,false,28607.86070310057,100,,,,,,,,,,,,,100,4.065785178625432,21,1,13,66.4593,61.5385,10^-18.265,,,,,,0
109790,1,1578,Lactobacillus jensenii,"",bacteria,false,17709.628054300352,100,,,,,,,,,,,,,100,2.516914634387172,13,,,68.7542,54.25,10^-14.9204,,,,,,0
47770,1,1578,Lactobacillus crispatus,"",bacteria,false,13024.98167735579,100,100,9.293223265429559,48,2,27,99.7933,207.139,10^-110.914,,,,,9.115793299388871,5.6146557228636915,29,1,10,94.3174,59.4348,10^-33.702,0.280449,0.585161,,,,0
81857,1,1578,Lactobacillus selangorensis,"",bacteria,false,9535.95356770019,100,,,,,,,,,,,,,100,1.3552617262084772,7,,,67.2,37.0,10^-8.59083,,,,,,0
147802,1,1578,Lactobacillus iners,"",bacteria,false,8328.648102601379,45.681208378562204,45.681208378562204,13.746226080114555,71,5,54,97.3577,237.681,10^-113.805,0.12176,0.298251,,,3.5988419358357118,7.744352721191298,40,2,29,87.9282,62.0,10^-31.5518,0.838319,1.91896,,,,0
2797258,1,1578,Lactobacillus sp. YZ01,"",bacteria,false,2724.5581622000545,100,,,,,,,,,,,,,100,0.38721763605956494,2,,,56.3,48.0,10^-8.50446,,,,,,0
2107999,1,1578,Lactobacillus paragasseri,"",bacteria,false,2724.5581622000545,100,,,,,,,,,,,,,100,0.38721763605956494,2,,,52.3,44.0,10^-5.37263,,,,,,0
33959,1,1578,Lactobacillus johnsonii,"",bacteria,false,2461.139189142318,10.627256594299103,-100,0.0,0,,,0,0,10^0,0.12176,0.298251,,,10.627256594299103,3.291349906506302,17,1,17,86.792,53.0,10^-27.6696,0.12176,0.298251,,,,0
