tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
528,2,528,Ochrobactrum,"",bacteria,false,12214260.689238138,99,99,1279.1611933136808,4308,16,3998,99.3675,559.723,10^-222.219,5.23569,12.8248,,,23.535271177963338,168.95142037963888,569,5,452,99.2034,96.9386,10^-64.9655,3.25558,7.04032,,,"[529, 267632, 2726427, 1449061, 42190, 1848704, 94626]",0
529,1,528,Ochrobactrum anthropi,"",bacteria,false,12214260.689238138,99,99,1233.4344468488928,4154,14,3884,99.3473,568.9,10^-224.149,4.93129,12.0792,,,36.16946111584823,147.27575484762897,496,4,410,99.2294,100.343,10^-67.4997,1.64376,4.02638,,,,0
267632,1,528,uncultured Ochrobactrum sp.,"",bacteria,false,214589.0887668981,100,100,21.67566553200991,73,1,72,100.0,369.324,10^-300.714,,,,,,,,,,,,,,,,,,0
2726427,1,528,Ochrobactrum sp. MT180101,"",bacteria,false,114751.90631277065,50.6972507072217,50.6972507072217,22.863373232394014,77,1,42,99.7241,323.047,10^-73.9451,0.18264,0.447376,,,-100,0.0,0,,,0,0,10^0,0.0608802,0.149125,,,,0
1449061,1,528,Ochrobactrum sp. UNC390CL2Tsu3S39,"",bacteria,false,36338.929651303675,100,,,,,,,,,,,,,100,15.44020010499336,52,1,42,98.7836,87.4,10^-58.9556,,,,,,0
42190,1,528,Ochrobactrum sp.,"",bacteria,false,11758.306233802638,100,100,1.1877077003841048,4,,,100.0,89.5,10^-48.5418,,,,,,,,,,,,,,,,,,0
1848704,1,528,Ochrobactrum sp. MYb49,"",bacteria,false,4891.778991521648,100,,,,,,,,,,,,,100,2.078488475672183,7,,,100.0,30.0,10^-11.9777,,,,,,0
94626,1,528,Ochrobactrum tritici,"",bacteria,false,1323.6763336128565,13.52960074348239,,,,,,,,,,,,,13.52960074348239,4.156976951344366,14,,,100.0,31.6,10^-11.6863,0.12176,0.298251,,,,0
11040,2,11040,Rubivirus,"",viruses,false,7503343.397176581,100,100,378.28490257233733,1274,5,1124,99.855,909.368,10^-199.01,,,,,100,372.0494371453208,1253,4,1117,99.0478,192.355,10^-115.454,,,,,[11041],1
11041,1,11040,Rubella virus,"",viruses,false,7503343.397176581,100,100,378.28490257233733,1274,5,1124,99.855,909.368,10^-199.01,,,,,100,372.0494371453208,1253,4,1117,99.0478,192.355,10^-115.454,,,,,,1
