tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
4930,2,4930,Saccharomyces,"",eukaryota,false,8324064.804387361,99,99,494.25004123841506,9708,20,6992,99.7485,410.955,10^-150.046,0.814881,1.92797,,,99,356.83956932839425,7009,13,5232,99.2134,64.686,10^-39.9802,0.12176,0.298251,,,"[4932, 374374, 89981, 706196, 114524, 27292]",1
4932,1,4930,Saccharomyces cerevisiae,baker's yeast,eukaryota,false,8324064.804387361,99,99,492.97725065014146,9683,20,6992,99.7479,411.729,10^-150.285,0.814881,1.92797,,,99,356.33045309308477,6999,13,5232,99.2172,64.7657,10^-40.0458,0.12176,0.298251,,,,1
374374,1,4930,Saccharomyces sp. ST-422,"",eukaryota,false,6048.300875476278,100,100,0.6109394823713412,12,,,100.0,86.0,10^-46.1571,,,,,,,,,,,,,,,,,,0
89981,1,4930,Saccharomyces bayanus x Saccharomyces cerevisiae,"",eukaryota,false,5040.250729563565,100,100,0.509116235309451,10,,,100.0,90.0,10^-48.8821,,,,,,,,,,,,,,,,,,0
706196,1,4930,Saccharomyces arboricola,"",eukaryota,false,4032.200583650852,100,,,,,,,,,,,,,100,0.4072929882475608,8,,,95.8,24.0,10^-6.48149,,,,,,0
114524,1,4930,Saccharomyces kudriavzevii,"",eukaryota,false,2016.100291825426,100,100,0.1018232470618902,2,,,100.0,135.0,10^-79.5843,,,,,100,0.1018232470618902,2,,,98.2,28.0,10^-9.81803,,,,,,0
27292,1,4930,Saccharomyces pastorianus,"",eukaryota,false,504.0250729563565,100,100,0.0509116235309451,1,,,100.0,78.0,10^-39.3377,,,,,,,,,,,,,,,,,,0
66526,2,66526,Balamuthia,"",eukaryota,false,2349571.4259531163,100,100,234.95714259531164,4615,6,4315,99.9188,717.662,10^-275.522,,,,,,,,,,,,,,,,,[66527],1
66527,1,66526,Balamuthia mandrillaris,"",eukaryota,false,2349571.4259531163,100,100,234.95714259531164,4615,6,4315,99.9188,717.662,10^-275.522,,,,,,,,,,,,,,,,,,1
2767885,2,2767885,Latilactobacillus,"",bacteria,false,1729814.0503862156,99,-100,0.0,0,,,0,0,10^0,0.12176,0.298251,,,99,174.7286919582036,3432,1,3419,50.0783,75.8446,10^-14.5797,0.0608802,0.149125,,,[1599],0
1599,1,2767885,Latilactobacillus sakei,"",bacteria,false,1729814.0503862156,100,-100,0.0,0,,,0,0,10^0,0.12176,0.298251,,,100,174.7286919582036,3432,1,3419,50.0783,75.8446,10^-14.5797,,,,,,0
