tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
1301,2,1301,Streptococcus,"",bacteria,false,1686716666.6666667,100,100,659601.6666666666,395761,7286,334364,99.4365,2510.71,10^-238.853,,,,,100,642983.3333333334,385790,7070,332078,98.8386,265.426,10^-154.821,,,,,"[1334, 1313, 1308, 1309, 1314, 1336, 1305, 1304, 1306, 1343, 1715051, 1839799, 1318, 1329, 2583584, 1111760, 1739381, 1302, 45634, 1739483, 936577, 1715176, 1768777, 1311, 1335, 1161417, 28037, 1581080, 1303, 1307, 1739371, 1768767, 1608583, 1579339, 257758, 435842, 68891, 1316412, 1825069, 113107, 1715086, 1777879, 936576, 176090, 1338, 1263109, 1310, 68892, 1739505, 1328, 315405, 2582672, 1316410, 712620, 1768771, 1349, 1317, 2576376, 102684, 2069308, 1316411, 59310, 1581076, 2610896, 2592044, 76860, 1348, 1739284, 2582661, 712623, 1346, 2487315, 712622, 361101, 1739461, 1095727, 229549, 2250596, 1715107, 1080071, 2582668, 1095726, 2653499, 1715116, 1432788, 2283190, 1917441, 313439, 1340, 1263110, 712630, 254785, 197614, 999424, 439219, 2707003, 2487316, 1776578, 2582690, 1403937, 2582673, 1777880, 2598457, 2282136, 1169673, 150055, 82348, 1777881, 1326, 2785793, 1203590, 563036, 1777878, 380397, 2740578, 2582679, 1856638, 1739467, 1715098, 747656, 149015, 102886, 1337, 1333, 2740577, 2710601, 1860161, 1765960, 1739408, 1419814, 936578, 439220, 254786, 2797637, 2787122, 2785791, 2709399, 2588991, 2582683, 2582677, 2582655, 2293247, 2293246, 2292266, 2282420, 2173853, 1936207, 1888195, 1855327, 1852387, 1814128, 1811193, 1739430, 1739422, 1739421, 1739309, 1715183, 1501662, 1234680, 1169670, 1156433, 936581, 712624, 269666, 149016, 119224, 82806, 33040, 1345]",16
1334,1,1301,Streptococcus dysgalactiae,"",bacteria,false,1686716666.6666667,100,100,85480.0,51288,183,49314,99.6206,2325.84,10^-284.521,,,,,100,83191.66666666667,49915,185,47923,98.9868,334.009,10^-229.882,,,,,,1
1313,1,1301,Streptococcus pneumoniae,"",bacteria,false,1623516666.6666665,100,100,82693.33333333333,49616,1447,33269,99.8091,398.784,10^-173.234,,,,,100,79658.33333333333,47795,1363,32580,98.7189,108.146,10^-71.0798,,,,,,1
1308,1,1301,Streptococcus thermophilus,"",bacteria,false,1607816666.6666667,100,100,86745.0,52047,2348,42098,99.443,509.681,10^-216.242,,,,,100,74036.66666666667,44422,2035,37701,98.8735,134.933,10^-96.9948,,,,,,0
1309,1,1301,Streptococcus mutans,"",bacteria,false,1601666666.6666667,100,100,83040.0,49824,167,49354,99.8405,2374.98,10^-302.197,,,,,100,77126.66666666667,46276,155,45948,99.4245,396.093,10^-238.839,,,,,,1
1314,1,1301,Streptococcus pyogenes,"",bacteria,false,1549033333.3333335,100,100,82591.66666666667,49555,808,30342,99.914,456.45,10^-167.141,,,,,100,72311.66666666667,43387,738,28214,98.9447,110.216,10^-69.8354,,,,,,1
1336,1,1301,Streptococcus equi,"",bacteria,false,1547100000.0,100,100,72485.0,43491,50,43346,98.3512,14637.1,10^-306.296,,,,,100,82225.0,49335,87,48876,99.5594,682.922,10^-286.571,,,,,,1
1305,1,1301,Streptococcus sanguinis,"",bacteria,false,1546800000.0,100,100,83310.0,49986,1685,43187,99.8026,664.465,10^-238.548,,,,,100,71370.0,42822,1447,38448,98.9369,189.057,10^-129.897,,,,,,1
1304,1,1301,Streptococcus salivarius,"",bacteria,false,1376933333.3333333,100,100,78143.33333333333,46886,570,40739,98.6525,675.632,10^-235.32,,,,,100,59550.0,35730,547,30708,98.502,164.314,10^-116.684,,,,,,0
1306,1,1301,Streptococcus sp.,"",bacteria,false,41433333.33333333,100,,,,,,,,,,,,,100,4143.333333333333,2486,31,2342,99.2766,427.058,10^-228.6,,,,,,0
1343,1,1301,Streptococcus vestibularis,"",bacteria,false,35050000.0,100,100,40.0,24,,,97.0476,100.0,10^-51.6464,,,,,100,3465.0,2079,61,1829,94.4804,125.497,10^-79.8728,,,,,,0
1715051,1,1301,Streptococcus sp. HMSC068F04,"",bacteria,false,33216666.666666664,100,,,,,,,,,,,,,100,3321.6666666666665,1993,16,1935,98.714,271.079,10^-161.999,,,,,,0
1839799,1,1301,Streptococcus sp. FDAARGOS_192,"",bacteria,false,27750000.0,100,100,1238.3333333333333,743,11,639,96.4653,439.578,10^-233.596,,,,,100,1536.6666666666667,922,15,857,98.5082,151.722,10^-112.666,,,,,,0
1318,1,1301,Streptococcus parasanguinis,"",bacteria,false,23583333.333333332,100,100,108.33333333333333,65,1,46,95.0957,279.607,10^-122.179,,,,,100,2250.0,1350,18,1220,90.3813,87.9608,10^-34.694,,,,,,0
1329,1,1301,Streptococcus canis,"",bacteria,false,22100000.0,100,100,793.3333333333334,476,3,476,89.6866,855.461,10^-272.35,,,,,100,1416.6666666666667,850,8,736,96.3321,193.499,10^-169.143,,,,,,0
