tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
1301,2,1301,Streptococcus,"",bacteria,false,972460000.0,100,100,147672.0,73836,1246,62223,99.7644,2810.8,10^-244.637,,,,,100,148292.0,74146,1239,63165,99.2902,304.764,10^-199.151,,,,,"[1309, 1311, 1313, 1306, 28037, 1307, 1303, 1111760, 1335, 1314, 257758, 2069308, 1343, 1308, 1305, 76860, 68892, 1318, 2283190, 1095727, 313439, 2582676, 2250596, 1739461, 1304, 2582673, 712633, 113107, 712630, 1338, 1095726, 712622, 315405, 68891, 1328, 2582690, 2582683, 2582679, 1814128, 1403937, 45634, 1336, 1310, 2785791, 2653499, 2598453, 2589787, 2582688, 2582686, 2582678, 2582672, 2582637, 2293246, 1739309, 1739299, 1739284, 1715207, 1715180, 1203590, 1169673, 1169670, 936577, 563038, 361101, 176090, 149015, 1340, 1317]",12
1309,1,1301,Streptococcus mutans,"",bacteria,false,972460000.0,100,100,50098.0,25049,63,25003,99.7518,4006.93,10^-306.419,,,,,100,47148.0,23574,60,23541,99.5093,438.457,10^-280.514,,,,,,1
1311,1,1301,Streptococcus agalactiae,"",bacteria,false,971240000.0,100,100,47716.0,23858,42,23686,99.6506,4336.49,10^-298.271,,,,,100,49408.0,24704,44,24581,99.7563,391.008,10^-275.877,,,,,,1
1313,1,1301,Streptococcus pneumoniae,"",bacteria,false,966580000.0,100,100,49850.0,24925,1141,13534,99.882,269.291,10^-136.221,,,,,100,46808.0,23404,1092,12925,98.9118,73.757,10^-43.9321,,,,,,1
1306,1,1301,Streptococcus sp.,"",bacteria,false,27900000.0,100,,,,,,,,,,,,,100,2790.0,1395,3,1388,99.5532,733.204,10^-306.55,,,,,,0
28037,1,1301,Streptococcus mitis,"",bacteria,false,3620000.0,100,,,,,,,,,,,,,100,362.0,181,9,80,94.1758,52.382,10^-25.4298,,,,,,1
1307,1,1301,Streptococcus suis,"",bacteria,false,2800000.0,100,,,,,,,,,,,,,100,280.0,140,2,131,93.4003,165.992,10^-102.36,,,,,,1
1303,1,1301,Streptococcus oralis,"",bacteria,false,1960000.0,100,,,,,,,,,,,,,100,196.0,98,3,44,91.6099,104.938,10^-60.0444,,,,,,1
1111760,1,1301,Streptococcus troglodytae,"",bacteria,false,1740000.0,100,,,,,,,,,,,,,100,174.0,87,1,87,98.758,161.0,10^-112.105,,,,,,0
1335,1,1301,Streptococcus equinus,"",bacteria,false,1720000.0,100,100,2.0,1,,,90.278,72.0,10^-27.0211,,,,,100,170.0,85,1,84,93.8235,126.871,10^-84.2652,,,,,,1
1314,1,1301,Streptococcus pyogenes,"",bacteria,false,1460000.0,100,,,,,,,,,,,,,100,146.0,73,2,48,87.2941,68.0429,10^-32.3689,,,,,,1
257758,1,1301,Streptococcus pseudopneumoniae,"",bacteria,false,1440000.0,100,,,,,,,,,,,,,100,144.0,72,5,37,92.0837,53.2361,10^-27.4024,,,,,,0
2069308,1,1301,Streptococcus sp. UMB0029,"",bacteria,false,680000.0,100,,,,,,,,,,,,,100,68.0,34,1,30,90.3763,132.0,10^-63.2313,,,,,,0
1343,1,1301,Streptococcus vestibularis,"",bacteria,false,620000.0,100,,,,,,,,,,,,,100,62.0,31,1,31,89.0,100.0,10^-61.9136,,,,,,0
1308,1,1301,Streptococcus thermophilus,"",bacteria,false,600000.0,100,,,,,,,,,,,,,100,60.0,30,1,27,63.7928,50.0345,10^-10.4377,,,,,,0
1305,1,1301,Streptococcus sanguinis,"",bacteria,false,480000.0,100,,,,,,,,,,,,,100,48.0,24,2,18,88.59,79.3333,10^-47.8425,,,,,,1
76860,1,1301,Streptococcus constellatus,"",bacteria,false,460000.0,100,,,,,,,,,,,,,100,46.0,23,2,23,94.632,80.0435,10^-45.4122,,,,,,0
68892,1,1301,Streptococcus infantis,"",bacteria,false,420000.0,100,,,,,,,,,,,,,100,42.0,21,1,7,94.39,42.45,10^-19.5638,,,,,,0
1318,1,1301,Streptococcus parasanguinis,"",bacteria,false,360000.0,100,,,,,,,,,,,,,100,36.0,18,1,10,89.78,70.8889,10^-35.2587,,,,,,0
2283190,1,1301,Streptococcus sp. LQJ-218,"",bacteria,false,320000.0,100,,,,,,,,,,,,,100,32.0,16,1,16,93.976,83.0,10^-53.2526,,,,,,0
1095727,1,1301,Streptococcus sp. SK643,"",bacteria,false,260000.0,100,,,,,,,,,,,,,100,26.0,13,1,11,91.8928,87.8462,10^-47.1012,,,,,,0
313439,1,1301,Streptococcus massiliensis,"",bacteria,false,220000.0,100,,,,,,,,,,,,,100,22.0,11,1,11,88.095,42.0,10^-19.301,,,,,,0
2582676,1,1301,Streptococcus sp. 1621,"",bacteria,false,200000.0,100,,,,,,,,,,,,,100,20.0,10,1,10,100.0,65.0,10^-39.0501,,,,,,0
2250596,1,1301,Streptococcus sp. 596553,"",bacteria,false,160000.0,100,,,,,,,,,,,,,100,16.0,8,,,97.3125,32.75,10^-9.37228,,,,,,0
1739461,1,1301,Streptococcus sp. HMSC062D07,"",bacteria,false,160000.0,100,,,,,,,,,,,,,100,16.0,8,1,7,94.1664,69.75,10^-41.0962,,,,,,0
1304,1,1301,Streptococcus salivarius,"",bacteria,false,160000.0,100,,,,,,,,,,,,,100,16.0,8,1,8,100.0,93.0,10^-57.8697,,,,,,0
2582673,1,1301,Streptococcus sp. 4155,"",bacteria,false,120000.0,100,,,,,,,,,,,,,100,12.0,6,1,5,97.685,65.3333,10^-41.0199,,,,,,0
712633,1,1301,Streptococcus sp. oral taxon 431,"",bacteria,false,120000.0,100,,,,,,,,,,,,,100,12.0,6,1,5,100.0,69.6667,10^-40.4543,,,,,,0
113107,1,1301,Streptococcus australis,"",bacteria,false,100000.0,100,,,,,,,,,,,,,100,10.0,5,,,99.16,30.4,10^-10.906,,,,,,0
712630,1,1301,Streptococcus sp. oral taxon 071,"",bacteria,false,80000.0,100,,,,,,,,,,,,,100,8.0,4,,,89.7,31.25,10^-9.38905,,,,,,0
1338,1,1301,Streptococcus intermedius,"",bacteria,false,80000.0,100,,,,,,,,,,,,,100,8.0,4,,,100.0,32.75,10^-10.2002,,,,,,0
1095726,1,1301,Streptococcus sp. SK140,"",bacteria,false,60000.0,100,,,,,,,,,,,,,100,6.0,3,,,80.0333,26.6667,10^-4.64579,,,,,,0
712622,1,1301,Streptococcus sp. oral taxon 058,"",bacteria,false,60000.0,100,,,,,,,,,,,,,100,6.0,3,,,92.7333,32.0,10^-9.10897,,,,,,0
315405,1,1301,Streptococcus gallolyticus,"",bacteria,false,60000.0,100,100,6.0,3,,,86.0737,83.0,10^-27.6578,,,,,,,,,,,,,,,,,,0
68891,1,1301,Streptococcus peroris,"",bacteria,false,60000.0,100,,,,,,,,,,,,,100,6.0,3,,,85.0333,29.0,10^-5.63319,,,,,,0
1328,1,1301,Streptococcus anginosus,"",bacteria,false,60000.0,100,,,,,,,,,,,,,100,6.0,3,,,95.5667,31.6667,10^-11.4654,,,,,,1
2582690,1,1301,Streptococcus sp. 2100,"",bacteria,false,40000.0,100,,,,,,,,,,,,,100,4.0,2,,,100.0,33.0,10^-10.6673,,,,,,0
2582683,1,1301,Streptococcus sp. 5905,"",bacteria,false,40000.0,100,,,,,,,,,,,,,100,4.0,2,,,90.45,31.5,10^-8.35315,,,,,,0
2582679,1,1301,Streptococcus sp. 53,"",bacteria,false,40000.0,100,,,,,,,,,,,,,100,4.0,2,,,76.15,31.5,10^-7.68148,,,,,,0
1814128,1,1301,Streptococcus halotolerans,"",bacteria,false,40000.0,100,,,,,,,,,,,,,100,4.0,2,,,100.0,26.5,10^-7.3355,,,,,,0
1403937,1,1301,Streptococcus sp. DORA_10,"",bacteria,false,40000.0,100,,,,,,,,,,,,,100,4.0,2,,,88.35,31.0,10^-8.45684,,,,,,0
45634,1,1301,Streptococcus cristatus,"",bacteria,false,40000.0,100,,,,,,,,,,,,,100,4.0,2,,,100.0,32.0,10^-9.3054,,,,,,0
1336,1,1301,Streptococcus equi,"",bacteria,false,40000.0,100,,,,,,,,,,,,,100,4.0,2,,,98.5,32.5,10^-13.8507,,,,,,1
1310,1,1301,Streptococcus sobrinus,"",bacteria,false,40000.0,100,,,,,,,,,,,,,100,4.0,2,,,100.0,32.5,10^-12.0829,,,,,,1
2785791,1,1301,Streptococcus sp. HF-100,"",bacteria,false,20000.0,100,,,,,,,,,,,,,100,2.0,1,,,97.0,33.0,10^-13.7375,,,,,,0
2653499,1,1301,Streptococcus sp. S784/96/1,"",bacteria,false,20000.0,100,,,,,,,,,,,,,100,2.0,1,,,100.0,32.0,10^-11.3307,,,,,,0
2598453,1,1301,Streptococcus sp. 116-D4,"",bacteria,false,20000.0,100,,,,,,,,,,,,,100,2.0,1,,,97.0,33.0,10^-11.6021,,,,,,0
2589787,1,1301,Streptococcus sp. D2,"",bacteria,false,20000.0,100,,,,,,,,,,,,,100,2.0,1,,,95.5,22.0,10^-4.16558,,,,,,0
2582688,1,1301,Streptococcus sp. 1969,"",bacteria,false,20000.0,100,,,,,,,,,,,,,100,2.0,1,,,93.8,32.0,10^-7.73049,,,,,,0
