tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
469,2,469,Acinetobacter,"",bacteria,false,987811400.0,100,100,99630.0,49815,1318,26115,99.7955,287.486,10^-141.469,,,,,99,94620.0,47310,1295,25907,99.2429,82.3185,10^-52.0254,0.0359742,0.0804409,,,"[470, 1148157, 471, 1530123, 48296, 1785128, 106654, 2792607, 1051623, 1705563, 1217688, 2183931, 903915, 651305, 1310637, 1310734, 2183915, 2072504, 2735132, 52133, 1310914, 1736269, 1761742, 1310791, 202954, 40214, 1310681, 40216, 1609919, 1871111, 756892, 108980, 29430, 520708, 1675530, 40215, 2730922, 1310685, 487316, 1310764, 1310756, 267294, 2781976, 1310652, 202956, 134534, 1310779, 1310723, 28090, 1776741, 1310695, 1310790, 1310773, 134533, 106648, 1310720, 280145, 202950, 472, 2170730, 2136182, 1310728, 1310689, 1310603, 396323, 2529845, 1977873, 1310724, 1310711, 1310670, 1310608, 1217697, 632955, 281375, 262668, 106649, 1758189, 2715163, 2608324, 2601130, 2529846, 2302364, 2293834, 2024618, 1977876, 1809055, 1775557, 1435036, 1310834, 1310772, 1310683, 1310626, 1310609, 466088, 202951, 108981, 70346, 154999, 2785295, 2731248, 2731246, 2715164, 2653125, 2609668, 2609154, 2609137, 2605272, 2601176, 2601166, 2601101, 2601025, 2587144, 2576829, 2529850, 2529843, 2529837, 2529835, 2479844, 2419601, 2136183, 2069438, 2053290, 2004649, 2004648, 2004644, 1977882, 1977880, 1977874, 1977872, 1895694, 1879050, 1848937, 1848935, 1843371, 1841507, 1797235, 1789224, 1752076, 1646532, 1561217, 1561068, 1407071, 1397525, 1310910, 1310908, 1310824, 1310795, 1310788, 1310761, 1310621, 1221302, 1217712, 1217708, 1217705, 1217704, 1217701, 1217699, 1217692, 1144664, 903918, 243922]",1
470,1,469,Acinetobacter baumannii,"",bacteria,false,987811400.0,100,100,49592.0,24796,283,18511,99.6899,417.387,10^-193.393,,,,,100,49686.0,24843,285,15019,99.4413,90.9895,10^-60.5403,,,,,,1
1148157,1,469,Acinetobacter oleivorans,"",bacteria,false,765975000.0,100,100,49620.0,24810,1030,7536,99.9043,166.478,10^-93.2061,,,,,100,27250.0,13625,737,6575,99.5306,69.7146,10^-39.967,,,,,,0
471,1,469,Acinetobacter calcoaceticus,"",bacteria,false,37605200.0,100,100,50.0,25,1,4,98.6715,128.32,10^-63.1589,,,,,100,3748.0,1874,48,1089,97.38,115.893,10^-82.6409,,,,,,0
1530123,1,469,Acinetobacter seifertii,"",bacteria,false,32566000.0,100,100,148.0,74,,,99.9324,100.0,10^-55.6055,,,,,100,3140.0,1570,37,647,98.8884,68.7887,10^-38.9118,,,,,,0
48296,1,469,Acinetobacter pittii,"",bacteria,false,32333000.0,100,100,194.0,97,3,59,97.9796,189.462,10^-89.8447,,,,,100,3070.0,1535,43,638,98.8897,63.8362,10^-35.2557,,,,,,0
1785128,1,469,Acinetobacter lactucae,"",bacteria,false,14414400.0,100,,,,,,,,,,,,,100,1456.0,728,16,289,98.2881,61.7193,10^-31.5239,,,,,,0
106654,1,469,Acinetobacter nosocomialis,"",bacteria,false,10372244.0,100,100,14.0,7,1,5,93.1379,192.143,10^-71.2043,,,,,99,1044.0,522,11,355,95.3208,96.8782,10^-60.309,0.0359742,0.0804409,,,,0
2792607,1,469,Acinetobacter sp. ACIN00229,"",bacteria,false,6989400.0,100,,,,,,,,,,,,,100,706.0,353,28,174,99.4623,62.4193,10^-35.0163,,,,,,0
1051623,1,469,Acinetobacter sp. V2,"",bacteria,false,5009400.0,100,,,,,,,,,,,,,100,506.0,253,16,144,98.9104,65.72,10^-36.69,,,,,,0
