tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
1301,2,1301,Streptococcus,"",bacteria,false,977885867.3152039,100,100,49800.29880179281,24900,150,24590,99.9037,2647.45,10^-297.565,,,,,100,51290.30774184645,25645,163,24882,99.229,360.323,10^-226.381,,,,,"[1309, 1313, 1111760, 1336, 1306, 1314, 1310, 1328, 1307]",7
1309,1,1301,Streptococcus mutans,"",bacteria,false,977885867.3152039,100,100,49800.29880179281,24900,150,24590,99.9037,2647.45,10^-297.565,,,,,100,47988.28792972758,23994,142,23714,99.5602,372.142,10^-232.094,,,,,,1
1313,1,1301,Streptococcus pneumoniae,"",bacteria,false,18640111.840671044,100,,,,,,,,,,,,,100,1864.0111840671043,932,18,461,97.9065,75.6836,10^-60.5223,,,,,,1
1111760,1,1301,Streptococcus troglodytae,"",bacteria,false,4940029.640177841,100,,,,,,,,,,,,,100,494.0029640177841,247,1,247,99.363,314.0,10^-307.653,,,,,,0
1336,1,1301,Streptococcus equi,"",bacteria,false,4760028.560171361,100,,,,,,,,,,,,,100,476.0028560171361,238,1,238,71.429,238.0,10^-159.471,,,,,,1
1306,1,1301,Streptococcus sp.,"",bacteria,false,4440026.640159842,100,,,,,,,,,,,,,100,444.0026640159841,222,1,222,99.194,496.0,10^-307.653,,,,,,0
1314,1,1301,Streptococcus pyogenes,"",bacteria,false,120000.72000432003,100,,,,,,,,,,,,,100,12.000072000432002,6,,,95.95,30.6667,10^-10.6197,,,,,,1
1310,1,1301,Streptococcus sobrinus,"",bacteria,false,80000.48000288002,100,,,,,,,,,,,,,100,8.000048000288002,4,,,100.0,32.5,10^-11.5575,,,,,,1
1328,1,1301,Streptococcus anginosus,"",bacteria,false,20000.120000720006,100,,,,,,,,,,,,,100,2.0000120000720005,1,,,100.0,33.0,10^-11.3307,,,,,,1
1307,1,1301,Streptococcus suis,"",bacteria,false,20000.120000720006,100,,,,,,,,,,,,,100,2.0000120000720005,1,,,100.0,32.0,10^-13.2774,,,,,,1
561,2,561,Escherichia,"",bacteria,false,959719678.3180699,99,99,49940.29964179785,24970,294,13754,99.8917,654.236,10^-159.852,1.68533,0.45815,,,99,48236.28941773651,24118,292,12770,98.4741,109.07,10^-75.0078,0.971643,0.493712,,,"[562, 564, 2044467, 208962, 1182659, 1499973, 1985876, 2575922, 2762229, 2723309, 2723307, 2562891, 2545464, 2508714, 2093873, 754331, 237777]",1
562,1,561,Escherichia coli,"",bacteria,false,959719678.3180699,99,99,49876.299257795545,24938,293,13746,99.8917,654.862,10^-159.985,1.68533,0.45815,,,99,48044.28826572959,24022,291,12746,98.4994,109.368,10^-75.2507,0.971643,0.493712,,,,1
564,1,561,Escherichia fergusonii,"",bacteria,false,910805.464832789,100,100,34.000204001224006,17,,,100.0,100.0,10^-55.6982,,,,,100,58.00034800208801,29,,,93.9,30.6296,10^-10.131,,,,,,0
2044467,1,561,Escherichia sp. E4742,"",bacteria,false,475202.85121710727,100,,,,,,,,,,,,,100,48.00028800172801,24,1,24,84.783,46.0,10^-27.2765,,,,,,0
208962,1,561,Escherichia albertii,"",bacteria,false,415802.4948149689,100,100,14.000084000504003,7,,,100.0,100.0,10^-55.6982,,,,,100,28.000168001008007,14,,,96.4429,31.5,10^-10.4787,,,,,,0
1182659,1,561,Escherichia sp. KTE52,"",bacteria,false,257401.54440926647,100,,,,,,,,,,,,,100,26.000156000936006,13,,,90.475,29.5,10^-6.9074,,,,,,0
1499973,1,561,Escherichia marmotae,"",bacteria,false,158400.95040570243,100,100,16.000096000576004,8,1,8,99.5746,235.0,10^-35.3133,,,,,,,,,,,,,,,,,,0
