tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
836,2,836,Porphyromonas,"",bacteria,false,3587462935.448749,100,100,179400.12615289487,365724,161,363174,99.9661,58449.4,10^-265.676,,,,,100,179355.97807578274,365634,160,363137,99.4881,1148.88,10^-300.31,,,,,"[837, 111105, 997829, 36874]",1
837,1,836,Porphyromonas gingivalis,"",bacteria,false,3587462935.448749,100,100,179400.12615289487,365724,161,363174,99.9661,58449.4,10^-265.676,,,,,100,179346.16739198004,365614,159,363119,99.4881,1148.94,10^-300.325,,,,,,1
111105,1,836,Porphyromonas gulae,"",bacteria,false,88296.15422428136,100,,,,,,,,,,,,,100,8.829615422428136,18,1,18,100.0,51.0,10^-29.4271,,,,,,0
997829,1,836,Porphyromonas sp. KLE 1280,"",bacteria,false,4905.341901348965,100,,,,,,,,,,,,,100,0.49053419013489646,1,,,78.9,38.0,10^-8.43652,,,,,,0
36874,1,836,Porphyromonas cangingivalis,"",bacteria,false,4905.341901348965,100,,,,,,,,,,,,,100,0.49053419013489646,1,,,98.0,49.0,10^-22.0155,,,,,,0
1301,2,1301,Streptococcus,"",bacteria,false,3364971342.829264,100,100,195423.42547365127,398389,1777,393977,99.9793,143371.0,10^-302.272,,,,,100,195020.6969035505,397568,1775,392844,99.5348,1357.01,10^-293.352,,,,,"[1309, 1311, 1306, 1338, 1334, 1313, 1314, 2420309, 1307, 2420308, 2420310, 1336, 1304, 254785, 315405, 114652, 439220, 1739472, 1328, 1715081, 1349, 439219, 2785793, 1318, 1329, 563037, 149016, 1715058, 1308, 28037, 149015, 1715110, 1739275, 1335, 1348, 1715077, 1581086, 1715050, 936587, 1715115, 1739321, 1715102, 59310, 1715078, 254786, 29389, 1326, 1715186, 1333, 1739391, 1310, 1917441, 1765960, 102684, 1339, 1346, 712622, 68892, 1303, 1940319, 361101, 1337, 1739427, 1608583, 1302, 1777880, 1777878, 1739519, 1739453, 1715202, 1562651, 1169673, 257758, 229549, 197614, 150055, 76860, 55085, 45634, 1343, 1305]",16
1309,1,1301,Streptococcus mutans,"",bacteria,false,3364971342.829264,100,100,177610.65742728277,362076,35,361853,99.9954,157630.0,10^-305.296,,,,,100,158886.47685564365,323905,51,323801,99.7138,1491.79,10^-307.092,,,,,,1
1311,1,1301,Streptococcus agalactiae,"",bacteria,false,330374777.0558528,100,100,17560.633472639158,35799,1730,31732,99.8186,1317.94,10^-273.206,,,,,100,15476.844232946118,31551,1524,27959,99.1357,233.825,10^-172.128,,,,,,1
1306,1,1301,Streptococcus sp.,"",bacteria,false,173693251.38486546,100,,,,,,,,,,,,,100,17369.325138486547,35409,3,35408,99.7428,1346.16,10^-307.482,,,,,,0
1338,1,1301,Streptococcus intermedius,"",bacteria,false,9609564.784742622,100,,,,,,,,,,,,,100,960.9564784742622,1959,1,1958,84.2952,120.955,10^-60.7914,,,,,,0
1334,1,1301,Streptococcus dysgalactiae,"",bacteria,false,4174445.9580479683,100,100,38.75220102065682,79,,,99.8224,149.861,10^-89.3714,,,,,100,378.69239478414005,772,40,569,98.3014,179.869,10^-127.359,,,,,,1
1313,1,1301,Streptococcus pneumoniae,"",bacteria,false,3252241.6805943637,100,100,5.395876091483861,11,,,99.8787,150.0,10^-89.5818,,,,,100,319.8282919679525,652,26,193,96.9611,75.9341,10^-46.6922,,,,,,1
1314,1,1301,Streptococcus pyogenes,"",bacteria,false,2408522.8735623416,100,100,6.86747866188855,14,,,99.9047,150.0,10^-89.6353,,,,,100,233.98480869434562,477,15,395,92.7862,226.885,10^-185.903,,,,,,1
2420309,1,1301,Streptococcus sp. FDAARGOS_521,"",bacteria,false,1844408.5549072106,100,100,88.78668841441626,181,5,168,99.9218,1456.13,10^-192.031,,,,,100,95.65416707630482,195,12,184,99.41,178.708,10^-126.28,,,,,,0
1307,1,1301,Streptococcus suis,"",bacteria,false,1608952.1436424605,100,100,17.65923084485627,36,1,31,99.9629,1073.97,10^-277.323,,,,,100,143.23598351938978,292,13,235,95.3737,160.271,10^-114.999,,,,,,1
2420308,1,1301,Streptococcus sp. FDAARGOS_520,"",bacteria,false,1496129.2799114343,100,100,67.69371823861572,138,5,138,99.8897,1880.02,10^-225.488,,,,,100,81.9192097525277,167,8,164,98.9999,255.174,10^-209.59,,,,,,0
2420310,1,1301,Streptococcus sp. FDAARGOS_522,"",bacteria,false,814286.7556239282,100,100,26.979380457419307,55,1,55,99.8576,2112.0,10^-307.653,,,,,100,54.44929510497351,111,7,108,99.6141,270.342,10^-207.738,,,,,,0
1336,1,1301,Streptococcus equi,"",bacteria,false,760327.9947090895,100,,,,,,,,,,,,,100,76.03279947090896,155,6,152,92.5175,258.858,10^-204.076,,,,,,1
1304,1,1301,Streptococcus salivarius,"",bacteria,false,740706.6271036937,100,,,,,,,,,,,,,100,74.07066271036936,151,4,144,93.0974,127.477,10^-84.2552,,,,,,0
254785,1,1301,Streptococcus halichoeri,"",bacteria,false,549398.292951084,100,,,,,,,,,,,,,100,54.9398292951084,112,2,106,93.2353,816.42,10^-292.507,,,,,,0
315405,1,1301,Streptococcus gallolyticus,"",bacteria,false,490534.19013489643,100,,,,,,,,,,,,,100,49.053419013489645,100,4,99,87.3301,328.3,10^-218.536,,,,,,0
114652,1,1301,Streptococcus orisratti,"",bacteria,false,475818.16443084955,100,,,,,,,,,,,,,100,47.58181644308495,97,1,96,89.521,565.619,10^-304.644,,,,,,0
439220,1,1301,Streptococcus caballi,"",bacteria,false,446386.1130227558,100,,,,,,,,,,,,,100,44.63861130227558,91,3,91,90.9323,350.527,10^-307.653,,,,,,0
1739472,1,1301,Streptococcus sp. HMSC065G04,"",bacteria,false,431670.0873187089,100,,,,,,,,,,,,,100,43.16700873187089,88,3,88,99.3915,251.409,10^-150.006,,,,,,0
1328,1,1301,Streptococcus anginosus,"",bacteria,false,387522.0102065682,100,,,,,,,,,,,,,100,38.75220102065682,79,3,70,85.8559,207.013,10^-151.357,,,,,,1
1715081,1,1301,Streptococcus sp. HMSC063D10,"",bacteria,false,362995.30069982336,100,,,,,,,,,,,,,100,36.29953006998234,74,2,71,99.6443,354.743,10^-275.534,,,,,,0
1349,1,1301,Streptococcus uberis,"",bacteria,false,358089.95879847446,100,,,,,,,,,,,,,100,35.808995879847444,73,3,69,87.9904,194.932,10^-115.283,,,,,,0
439219,1,1301,Streptococcus henryi,"",bacteria,false,353184.61689712544,100,,,,,,,,,,,,,100,35.31846168971254,72,2,72,89.9443,363.611,10^-278.504,,,,,,0
2785793,1,1301,Streptococcus sp. HF-1907,"",bacteria,false,343373.9330944275,100,,,,,,,,,,,,,100,34.33739330944275,70,2,70,92.9364,317.4,10^-251.646,,,,,,0
1318,1,1301,Streptococcus parasanguinis,"",bacteria,false,289415.17217958893,100,,,,,,,,,,,,,100,28.941517217958893,59,1,56,94.6794,512.864,10^-292.642,,,,,,0
1329,1,1301,Streptococcus canis,"",bacteria,false,269793.8045741931,100,,,,,,,,,,,,,100,26.979380457419307,55,2,53,89.4686,129.182,10^-74.3536,,,,,,0
563037,1,1301,Streptococcus sp. M143,"",bacteria,false,255077.77887014617,100,,,,,,,,,,,,,100,25.507777887014615,52,2,52,90.659,256.269,10^-206.195,,,,,,0
149016,1,1301,Streptococcus urinalis,"",bacteria,false,255077.77887014617,100,,,,,,,,,,,,,100,25.507777887014615,52,1,51,67.3161,619.808,10^-302.074,,,,,,0
1715058,1,1301,Streptococcus sp. HMSC056D01,"",bacteria,false,250172.4369687972,100,,,,,,,,,,,,,100,25.01724369687972,51,2,51,99.0482,229.333,10^-159.643,,,,,,0
1308,1,1301,Streptococcus thermophilus,"",bacteria,false,245267.09506744822,100,,,,,,,,,,,,,100,24.526709506744822,50,,,87.1563,37.94,10^-13.0003,,,,,,0
28037,1,1301,Streptococcus mitis,"",bacteria,false,235456.4112647503,100,,,,,,,,,,,,,100,23.54564112647503,48,1,15,93.565,94.5208,10^-59.1433,,,,,,1
149015,1,1301,Streptococcus hyovaginalis,"",bacteria,false,191308.33415260963,100,,,,,,,,,,,,,100,19.130833415260962,39,2,39,82.4103,386.462,10^-250.918,,,,,,0
1715110,1,1301,Streptococcus sp. HMSC036H09,"",bacteria,false,176592.30844856272,100,,,,,,,,,,,,,100,17.65923084485627,36,1,36,99.344,305.0,10^-307.653,,,,,,0
1739275,1,1301,Streptococcus sp. HMSC072E12,"",bacteria,false,171686.96654721376,100,,,,,,,,,,,,,100,17.168696654721376,35,1,34,99.4564,222.886,10^-161.027,,,,,,0
1335,1,1301,Streptococcus equinus,"",bacteria,false,161876.28274451583,100,,,,,,,,,,,,,100,16.187628274451583,33,2,32,95.4287,242.879,10^-240.947,,,,,,1
1348,1,1301,Streptococcus parauberis,"",bacteria,false,156970.94084316687,100,,,,,,,,,,,,,100,15.697094084316687,32,2,32,94.7713,152.438,10^-101.651,,,,,,0
1715077,1,1301,Streptococcus sp. HMSC076E03,"",bacteria,false,132444.23133642203,100,,,,,,,,,,,,,100,13.244423133642204,27,1,24,99.2773,228.222,10^-163.816,,,,,,0
1581086,1,1301,Streptococcus sp. HMSC11C05,"",bacteria,false,122633.54753372411,100,,,,,,,,,,,,,100,12.263354753372411,25,2,25,99.208,178.6,10^-125.235,,,,,,0
1715050,1,1301,Streptococcus sp. HMSC069D09,"",bacteria,false,107917.52182967722,100,,,,,,,,,,,,,100,10.791752182967722,22,1,22,99.687,319.0,10^-307.653,,,,,,0
936587,1,1301,Streptococcus sp. OBRC6,"",bacteria,false,107917.52182967722,100,,,,,,,,,,,,,100,10.791752182967722,22,1,19,75.4016,103.364,10^-48.0155,,,,,,0
1715115,1,1301,Streptococcus sp. HMSC064H02,"",bacteria,false,98106.83802697928,100,,,,,,,,,,,,,100,9.810683802697929,20,1,15,99.3805,209.65,10^-238.146,,,,,,0
1739321,1,1301,Streptococcus sp. HMSC070A10,"",bacteria,false,93201.49612563032,100,,,,,,,,,,,,,100,9.320149612563032,19,1,19,99.638,276.0,10^-307.653,,,,,,0
1715102,1,1301,Streptococcus sp. HMSC078E08,"",bacteria,false,93201.49612563032,100,,,,,,,,,,,,,100,9.320149612563032,19,2,18,98.8423,194.421,10^-135.895,,,,,,0
59310,1,1301,Streptococcus macedonicus,"",bacteria,false,93201.49612563032,100,,,,,,,,,,,,,100,9.320149612563032,19,1,14,90.5358,172.789,10^-115.954,,,,,,0
1715078,1,1301,Streptococcus sp. HMSC068H01,"",bacteria,false,88296.15422428136,100,,,,,,,,,,,,,100,8.829615422428136,18,2,17,99.3656,156.944,10^-105.226,,,,,,0
254786,1,1301,Streptococcus castoreus,"",bacteria,false,78485.47042158344,100,,,,,,,,,,,,,100,7.848547042158343,16,1,15,96.8191,141.5,10^-93.6956,,,,,,0
29389,1,1301,Streptococcus alactolyticus,"",bacteria,false,78485.47042158344,100,,,,,,,,,,,,,100,7.848547042158343,16,1,16,84.293,191.0,10^-117.703,,,,,,0
1326,1,1301,Streptococcus acidominimus,"",bacteria,false,78485.47042158344,100,,,,,,,,,,,,,100,7.848547042158343,16,1,16,98.198,111.0,10^-72.9508,,,,,,0
1715186,1,1301,Streptococcus sp. HMSC078E03,"",bacteria,false,73580.12852023447,100,,,,,,,,,,,,,100,7.358012852023447,15,1,13,99.6169,206.533,10^-145.119,,,,,,0
1333,1,1301,Streptococcus criceti,"",bacteria,false,73580.12852023447,100,,,,,,,,,,,,,100,7.358012852023447,15,1,14,84.2313,207.667,10^-125.919,,,,,,1
1739391,1,1301,Streptococcus sp. HMSC071H03,"",bacteria,false,68674.7866188855,100,,,,,,,,,,,,,100,6.86747866188855,14,1,13,98.1614,97.3571,10^-41.7054,,,,,,0
