tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
12059,2,12059,Enterovirus,"",viruses,false,1296062555.7984176,100,100,64803.12778992088,8420,1,8420,100.0,7053.0,10^-307.653,,,,,100,64803.12778992088,8420,1,8420,100.0,2147.0,10^-307.653,,,,,[463676],1
463676,1,12059,Rhinovirus C,"",viruses,false,1296062555.7984176,100,100,64803.12778992088,8420,1,8420,100.0,7053.0,10^-307.653,,,,,100,64803.12778992088,8420,1,8420,100.0,2147.0,10^-307.653,,,,,,1
11646,2,11646,Lentivirus,"",viruses,false,1293830619.093064,100,100,64687.68278791983,8405,1,8384,98.9348,9160.37,10^-307.066,,,,,100,64695.37912138657,8406,1,8384,97.9019,853.868,10^-306.9,,,,,[11676],0
11676,1,11646,Human immunodeficiency virus 1,"",viruses,false,1293830619.093064,100,100,64687.68278791983,8405,1,8384,98.9348,9160.37,10^-307.066,,,,,100,64695.37912138657,8406,1,8384,97.9019,853.868,10^-306.9,,,,,,0
11019,2,11019,Alphavirus,arboviruses group A,viruses,false,1279746328.8489363,100,100,63987.31644244682,8314,1,8314,99.853,11596.0,10^-307.653,,,,,100,63987.31644244682,8314,1,8314,99.757,2474.0,10^-307.653,,,,,[37124],1
37124,1,11019,Chikungunya virus,"",viruses,false,1279746328.8489363,100,100,63987.31644244682,8314,1,8314,99.853,11596.0,10^-307.653,,,,,100,63987.31644244682,8314,1,8314,99.757,2474.0,10^-307.653,,,,,,1
11040,2,11040,Rubivirus,"",viruses,false,1202167287.504233,100,100,60108.36437521165,7810,1,7810,99.98,9760.0,10^-307.653,,,,,100,60108.36437521165,7810,1,7810,99.905,2116.0,10^-307.653,,,,,[11041],1
11041,1,11040,Rubella virus,"",viruses,false,1202167287.504233,100,100,60108.36437521165,7810,1,7810,99.98,9760.0,10^-307.653,,,,,100,60108.36437521165,7810,1,7810,99.905,2116.0,10^-307.653,,,,,,1
1279,2,1279,Staphylococcus,"",bacteria,false,1195240587.38417,100,100,63440.87676630853,8243,115,556,99.8517,155.185,10^-87.7763,,,,,100,56922.08231998276,7396,110,530,99.1668,47.2768,10^-23.707,,,,,"[1280, 985002, 1282, 1654388, 28035, 29388, 1715150, 45972, 1295, 1283, 1739541, 1608870, 283734, 29382, 1293, 1290, 1608883, 214473, 189668, 70255, 46127, 46126, 29385, 29378, 1288, 1286]",7
1280,1,1279,Staphylococcus aureus,"",bacteria,false,1195240587.38417,100,100,63433.18043284179,8242,115,556,99.8517,155.188,10^-87.778,,,,,100,56090.87830557522,7288,108,519,99.2685,47.2468,10^-23.7185,,,,,,1
985002,1,1279,Staphylococcus argenteus,"",bacteria,false,2539790.044023027,100,,,,,,,,,,,,,100,253.97900440230273,33,2,11,92.6728,64.5152,10^-34.5792,,,,,,0
1282,1,1279,Staphylococcus epidermidis,"",bacteria,false,1539266.6933472892,100,,,,,,,,,,,,,100,153.92666933472893,20,,,95.255,37.65,10^-15.2562,,,,,,1
1654388,1,1279,Staphylococcus schweitzeri,"",bacteria,false,692670.0120062801,100,,,,,,,,,,,,,100,69.26700120062802,9,,,97.9037,46.7778,10^-23.7134,,,,,,0
28035,1,1279,Staphylococcus lugdunensis,"",bacteria,false,461780.0080041868,100,,,,,,,,,,,,,100,46.17800080041868,6,,,81.7833,36.5,10^-10.4474,,,,,,1
