tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,lcrp_pathogen,divergent_pathogen
2803850,2,2803850,Mammaliicoccus,"",bacteria,false,1.38981,6660,4,,,94.6403,977.75,10^-294.433,,,,,,,,,[1296],0,0,0
1296,1,2803850,Mammaliicoccus sciuri,"",bacteria,false,1.38981,6660,4,,,94.6403,977.75,10^-294.433,,,,,,,,,,0,0,0
2767892,2,2767892,Secundilactobacillus,"",bacteria,false,0.182596,875,1,,,89.614,674.0,10^-307.653,,,,,,,,,[240427],0,0,0
240427,1,2767892,Lactobacillus paracollinoides,"",bacteria,false,0.182596,875,1,,,89.614,674.0,10^-307.653,,,,,,,,,,0,0,0
2767886,2,2767886,Levilactobacillus,"",bacteria,false,0.0719948,345,1,,,89.964,279.0,10^-139.653,,,,,,,,,[1580],0,0,0
1580,1,2767886,Levilactobacillus brevis,"",bacteria,false,0.0719948,345,1,,,89.964,279.0,10^-139.653,,,,,,,,,,0,0,0
2767842,2,2767842,Lactiplantibacillus,"",bacteria,false,0.239148,1146,2,,,95.151,396.0,10^-228.711,,,,,,,,,[1590],0,0,0
1590,1,2767842,Lactiplantibacillus plantarum,"",bacteria,false,0.239148,1146,2,,,95.151,396.0,10^-228.711,,,,,,,,,,0,0,0
2759736,2,2759736,Lacticaseibacillus,"",bacteria,false,0.148789,713,1,,,96.46,226.0,10^-130.824,,,,,,,,,[1597],0,0,0
1597,1,2759736,Lacticaseibacillus paracasei,"",bacteria,false,0.148789,713,1,,,96.46,226.0,10^-130.824,,,,,,,,,,0,0,0
2742598,2,2742598,Limosilactobacillus,"",bacteria,false,93604.7,448554900,167270,,,99.6661,1636670.0,10^-306.634,,,,,,,,,"[97478, 1632, 1613]",0,0,0
97478,1,2742598,Lactobacillus mucosae,"",bacteria,false,0.0477879,229,1,,,95.135,185.0,10^-101.405,,,,,,,,,,0,0,0
1632,1,2742598,Limosilactobacillus oris,"",bacteria,false,0.568863,2726,6,,,92.4832,284.333,10^-145.243,,,,,,,,,,0,0,0
1613,1,2742598,Limosilactobacillus fermentum,"",bacteria,false,93604.1,448551945,167263,,,99.6664,1636740.0,10^-306.641,,,,,,,,,,0,0,0
1623287,2,1623287,Detrevirus,"",viruses,true,0.100793,483,1,,,86.383,470.0,10^-221.083,,,,,,,,,[31535],0,0,0
31535,1,1623287,Pseudomonas virus D3,"",viruses,true,0.100793,483,1,,,86.383,470.0,10^-221.083,,,,,,,,,,0,0,0
673534,2,673534,Plantactinospora,"",bacteria,false,4.34097,20802,2,,,87.4744,287.0,10^-95.7203,,,,,,,,,[2071627],0,0,0
2071627,1,673534,Plantactinospora sp. BB1,"",bacteria,false,4.34097,20802,2,,,87.4744,287.0,10^-95.7203,,,,,,,,,,0,0,0
413496,2,413496,Cronobacter,"",bacteria,false,1.50751,7224,1,,,81.666,7647.0,10^-307.653,,,,,,,,,[413503],0,0,0
413503,1,413496,Cronobacter malonaticus,"",bacteria,false,1.50751,7224,1,,,81.666,7647.0,10^-307.653,,,,,,,,,,0,0,0
201096,2,201096,Alicycliphilus,"",bacteria,false,3.17779,15228,3,,,94.1497,2492.67,10^-273.358,,,,,,,,,[179636],0,0,0
179636,1,201096,Alicycliphilus denitrificans,"",bacteria,false,3.17779,15228,3,,,94.1497,2492.67,10^-273.358,,,,,,,,,,0,0,0
186765,2,186765,Lambdavirus,"",viruses,true,0.239565,1148,1,,,92.913,889.0,10^-307.653,,,,,,,,,[2686055],0,0,0
2686055,1,186765,Escherichia virus Lambda_4A7,"",viruses,true,0.239565,1148,1,,,92.913,889.0,10^-307.653,,,,,,,,,,0,0,0
105983,2,105983,Apiotrichum,"",eukaryota,false,,,,,,,,,1.36331,6533,3,,,44.3,815.0,10^-152.614,[105984],0,0,0
105984,1,105983,Apiotrichum porosum,"",eukaryota,false,,,,,,,,,1.36331,6533,3,,,44.3,815.0,10^-152.614,,0,0,0
80865,2,80865,Delftia,"",bacteria,false,1.84828,8857,1,,,88.16,6191.0,10^-307.653,,,,,,,,,[80866],0,0,0
80866,1,80865,Delftia acidovorans,"",bacteria,false,1.84828,8857,1,,,88.16,6191.0,10^-307.653,,,,,,,,,,0,0,0
66017,2,66017,Digitaria,"",eukaryota,false,,,,,,,,,318.962,1528469,252,,,83.8,1328.0,10^-307.653,[1010633],0,0,0
1010633,1,66017,Digitaria exilis,"",eukaryota,false,,,,,,,,,318.962,1528469,252,,,83.8,1328.0,10^-307.653,,0,0,0
61471,2,61471,Timema,"",eukaryota,false,0.799664,3832,2,,,89.08,247.5,10^-101.164,,,,,,,,,"[170557, 170555]",0,0,0
170557,1,61471,Timema poppensis,"",eukaryota,false,0.301544,1445,1,,,95.833,48.0,10^-17.5906,,,,,,,,,,0,0,0
170555,1,61471,Timema monikensis,"",eukaryota,false,0.498121,2387,1,,,82.327,447.0,10^-184.737,,,,,,,,,,0,0,0
40323,2,40323,Stenotrophomonas,"",bacteria,false,3.9136,18754,2,,,94.488,5390.5,10^-307.653,,,,,,,,,"[2775920, 40324]",1,0,0
2775920,1,40323,Stenotrophomonas sp. CW117,"",bacteria,false,1.25292,6004,1,,,91.59,3246.0,10^-307.653,,,,,,,,,,0,0,0
40324,1,40323,Stenotrophomonas maltophilia,"",bacteria,false,2.66068,12750,1,,,97.386,7535.0,10^-307.653,,,,,,,,,,1,0,0
33882,2,33882,Microbacterium,"",bacteria,false,0.0928629,445,1,,,80.328,122.0,10^-37.771,,,,,,,,,[162426],0,0,0
162426,1,33882,Microbacterium hominis,"",bacteria,false,0.0928629,445,1,,,80.328,122.0,10^-37.771,,,,,,,,,,0,0,0
32008,2,32008,Burkholderia,"",bacteria,false,7.00854,33585,2,,,90.4599,13715.0,10^-196.152,,,,,,,,,[292],1,0,0
292,1,32008,Burkholderia cepacia,"",bacteria,false,7.00854,33585,2,,,90.4599,13715.0,10^-196.152,,,,,,,,,,1,0,0
29580,2,29580,Janthinobacterium,"",bacteria,false,0.2356,1129,1,,,91.324,680.0,10^-307.653,,,,,,,,,[1938606],0,0,0
1938606,1,29580,Janthinobacterium sp. LM6,"",bacteria,false,0.2356,1129,1,,,91.324,680.0,10^-307.653,,,,,,,,,,0,0,0
12916,2,12916,Acidovorax,"",bacteria,false,2.15191,10312,1,,,83.378,8621.0,10^-307.653,,,,,,,,,[2714923],0,0,0
2714923,1,12916,Acidovorax sp. HDW3,"",bacteria,false,2.15191,10312,1,,,83.378,8621.0,10^-307.653,,,,,,,,,,0,0,0
7215,2,7215,Drosophila,fruit flies,eukaryota,false,0.19616,940,1,,,93.059,922.0,10^-307.653,,,,,,,,,[125945],0,0,0
125945,1,7215,Drosophila biarmipes,"",eukaryota,false,0.19616,940,1,,,93.059,922.0,10^-307.653,,,,,,,,,,0,0,0
