tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
10358,2,10358,Cytomegalovirus,"",viruses,false,979927007.29927,100,100,547.4452554744526,3,,,82.9627,90.0,10^-27.8391,,,,,100,100182.48175182482,549,,,43.2725,88.8689,10^-9.099,,,,,"[10359, 188763, 752241, 1881008, 1535247, 660669, 431617, 203139, 203138, 50292]",1
10359,1,10358,Human betaherpesvirus 5,"",viruses,false,979927007.29927,100,100,547.4452554744526,3,,,82.9627,90.0,10^-27.8391,,,,,100,97445.25547445256,534,,,43.4112,88.8258,10^-9.18256,,,,,,1
188763,1,10358,Panine betaherpesvirus 2,Chimpanzee cytomegalovirus,viruses,false,10948905.109489052,100,,,,,,,,,,,,,100,1094.890510948905,6,,,37.8833,91.5,10^-4.99153,,,,,,0
752241,1,10358,Mus musculus cytomegalovirus 2,"",viruses,false,3649635.03649635,100,,,,,,,,,,,,,100,364.963503649635,2,,,40.65,96.0,10^-8.63153,,,,,,0
1881008,1,10358,Pithecia pithecia cytomegalovirus,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,39.7,73.0,10^-4.07883,,,,,,0
1535247,1,10358,Saimiriine betaherpesvirus 4,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,34.9,86.0,10^-3.88941,,,,,,0
660669,1,10358,Pongo pygmaeus cytomegalovirus 1.2,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,37.0,73.0,10^-3.50446,,,,,,0
431617,1,10358,Apodemus flavicollis cytomegalovirus 2,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,37.8,98.0,10^-9.72125,,,,,,0
203139,1,10358,Colobus guereza cytomegalovirus 1,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,42.6,94.0,10^-9.83863,,,,,,0
203138,1,10358,Pongo pygmaeus cytomegalovirus 1,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,38.3,94.0,10^-8.23433,,,,,,0
50292,1,10358,Cercopithecine betaherpesvirus 5,"",viruses,false,1824817.518248175,100,,,,,,,,,,,,,100,182.4817518248175,1,,,36.1,97.0,10^-5.38828,,,,,,0
-200,2,-200,all taxa with neither family nor genus classification,,,false,3649635.03649635,100,,,,,,,,,,,,,100,364.963503649635,2,,,37.7,91.5,10^-5.48415,,,,,[-100],0
-100,1,-200,all taxa with neither family nor genus classification,,,false,3649635.03649635,100,,,,,,,,,,,,,100,364.963503649635,2,,,37.7,91.5,10^-5.48415,,,,,,0
