tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
694002,2,694002,Betacoronavirus,"",viruses,false,1091954022.9885058,100,,,,,,,,,,,,,100,123563.2183908046,86,,,40.3872,92.186,10^-8.26629,,,,,"[694009, 864596, 2708335, 989337, 2591233]",1
694009,1,694002,Severe acute respiratory syndrome-related coronavirus,"",viruses,false,1091954022.9885058,100,,,,,,,,,,,,,100,109195.40229885057,76,,,40.9842,91.9605,10^-8.53594,,,,,,1
864596,1,694002,Bat coronavirus BM48-31/BGR/2008,"",viruses,false,71839080.45977011,100,,,,,,,,,,,,,100,7183.908045977011,5,,,34.32,94.6,10^-4.71098,,,,,,0
2708335,1,694002,Pangolin coronavirus,"",viruses,false,28735632.183908045,100,,,,,,,,,,,,,100,2873.5632183908046,2,,,37.3,96.5,10^-6.26689,,,,,,0
989337,1,694002,Zaria bat coronavirus,"",viruses,false,28735632.183908045,100,,,,,,,,,,,,,100,2873.5632183908046,2,,,37.25,91.5,10^-8.87601,,,,,,0
2591233,1,694002,Coronavirus BtRl-BetaCoV/SC2018,"",viruses,false,14367816.091954023,100,,,,,,,,,,,,,100,1436.7816091954023,1,,,37.8,90.0,10^-8.32883,,,,,,0
-200,2,-200,all taxa with neither family nor genus classification,,,false,57471264.36781609,100,,,,,,,,,,,,,100,5747.126436781609,4,,,38.475,91.0,10^-6.74518,,,,,[-100],0
-100,1,-200,all taxa with neither family nor genus classification,,,false,57471264.36781609,100,,,,,,,,,,,,,100,5747.126436781609,4,,,38.475,91.0,10^-6.74518,,,,,,0
-200011118,2,-200011118,non-genus-specific reads in family Coronaviridae,,viruses,false,14367816.091954023,100,,,,,,,,,,,,,100,1436.7816091954023,1,,,43.2,88.0,10^-13.3595,,,,,[1508220],0
1508220,1,-200011118,Bat coronavirus,"",viruses,false,14367816.091954023,100,,,,,,,,,,,,,100,1436.7816091954023,1,,,43.2,88.0,10^-13.3595,,,,,,0
