tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
6202,2,6202,Taenia,"",eukaryota,false,85588822.70158933,100,100,6828.028837512691,179461,263,143616,99.1304,674.908,10^-210.72,,,,,100,2898.2245093290003,76174,753,65442,94.5974,175.145,10^-105.635,,,,,"[6204, 60517, 6206, 94035, 749910, 85432, 1453890, 1453887, 6207, 94034, 1453889, 6203, 432621, 85431, 1548222, 1453888, 159981, 529880, 1035110, 529879, 432622]",3
6204,1,6202,Taenia solium,pork tapeworm,eukaryota,false,85588822.70158933,100,100,6564.284091291294,172529,198,138458,99.3163,689.301,10^-216.489,,,,,100,1994.5981788676386,52424,43,49892,95.3235,220.561,10^-133.549,,,,,,1
60517,1,6202,Taenia asiatica,"",eukaryota,false,11209912.662898146,100,100,243.3893741457402,6397,62,5025,94.82,359.741,10^-77.8703,,,,,100,877.6018921440743,23066,707,15497,93.3462,87.784,10^-52.166,,,,,,0
6206,1,6202,Taenia saginata,beef tapeworm,eukaryota,false,134307.40827488867,100,100,9.16942929015529,241,1,37,96.5959,170.808,10^-96.7796,,,,,100,4.261311537333579,112,,,85.9278,43.0253,10^-16.0817,,,,,,1
94035,1,6202,Taenia serialis,"",eukaryota,false,58593.03363833671,100,100,0.4185216688452622,11,,,94.2457,84.3636,10^-37.4491,,,,,100,5.4407816949884085,143,,,86.6815,40.3478,10^-14.5227,,,,,,0
749910,1,6202,Taenia arctos,"",eukaryota,false,50603.074505836244,100,100,0.6848536399286108,18,,,93.4809,99.7143,10^-46.209,,,,,100,4.375453810655014,115,1,24,90.9466,49.25,10^-21.4161,,,,,,0
85432,1,6202,Taenia pisiformis,"",eukaryota,false,36906.00170726403,100,100,3.690600170726403,97,1,79,94.2803,250.652,10^-106.009,,,,,,,,,,,,,,,,,,0
1453890,1,6202,Taenia sp. MZH:127052,"",eukaryota,false,35003.63048524011,100,100,0.07609484888095676,2,,,92.308,117.0,10^-54.9438,,,,,100,3.424268199643054,90,,,89.7016,41.5156,10^-15.2819,,,,,,0
1453887,1,6202,Taenia sp. MZH:127001,"",eukaryota,false,31198.888041192273,100,100,0.3424268199643054,9,,,94.4125,86.75,10^-39.4734,,,,,100,2.7774619841549217,73,,,90.7827,40.2692,10^-14.8399,,,,,,0
6207,1,6202,Taenia crassiceps,"",eukaryota,false,22447.980419882246,100,100,1.8643237975834406,49,,,94.8915,105.077,10^-48.6998,,,,,100,0.38047424440478383,10,,,97.1,34.0,10^-14.6421,,,,,,0
94034,1,6202,Taenia multiceps,"",eukaryota,false,19784.66070904876,100,100,1.2175175820953081,32,,,94.3459,102.759,10^-49.4169,,,,,100,0.7609484888095677,20,,,87.42,30.9333,10^-7.39244,,,,,,1
1453889,1,6202,Taenia sp. MPM<JPN>:20922,"",eukaryota,false,14077.547042977001,100,100,0.15218969776191352,4,,,88.5155,118.5,10^-49.1145,,,,,100,1.2555650065357866,33,,,79.2355,35.3226,10^-7.73924,,,,,,0
6203,1,6202,Taenia ovis,sheep tapeworm,eukaryota,false,13316.598554167434,100,100,0.5707113666071757,15,,,94.1622,80.3333,10^-35.3443,,,,,100,0.7609484888095677,20,1,6,68.7511,47.4375,10^-12.0197,,,,,,0
432621,1,6202,Taenia madoquae,"",eukaryota,false,13316.598554167433,100,100,0.8750907621310028,23,,,92.2323,105.545,10^-47.7645,,,,,100,0.4565690932857406,12,,,86.5,35.9,10^-11.4837,,,,,,0
85431,1,6202,Taenia hydatigena,"",eukaryota,false,11794.7015765483,100,100,0.8370433376905244,22,1,17,94.6741,105.889,10^-20.8759,,,,,100,0.3424268199643054,9,,,86.6556,36.2222,10^-11.8789,,,,,,0
1548222,1,6202,Taenia sp. 1 YF-2014,"",eukaryota,false,8750.907621310027,100,,,,,,,,,,,,,100,0.8750907621310028,23,1,23,94.118,34.0,10^-18.8182,,,,,,0
1453888,1,6202,Taenia crocutae,"",eukaryota,false,4565.690932857406,100,,,,,,,,,,,,,100,0.4565690932857406,12,,,79.9818,41.1818,10^-11.3848,,,,,,0
159981,1,6202,Taenia martis,marten tapeworm,eukaryota,false,3424.2681996430547,100,100,0.19023712220239192,5,,,95.2606,123.2,10^-63.0253,,,,,100,0.15218969776191352,4,,,68.65,40.75,10^-5.11,,,,,,0
529880,1,6202,Taenia twitchelli,"",eukaryota,false,3043.7939552382704,100,100,0.07609484888095676,2,,,92.208,97.5,10^-43.7318,,,,,100,0.2282845466428703,6,,,67.5,40.0,10^-3.22768,,,,,,0
1035110,1,6202,Taenia laticollis,"",eukaryota,false,1521.8969776191352,100,100,0.15218969776191352,4,,,99.569,58.0,10^-26.7719,,,,,,,,,,,,,,,,,,0
529879,1,6202,Taenia krabbei,"",eukaryota,false,760.9484888095676,100,,,,,,,,,,,,,100,0.07609484888095676,2,,,94.444,36.0,10^-17.0004,,,,,,0
432622,1,6202,Taenia regis,"",eukaryota,false,380.4742444047838,100,100,0.03804742444047838,1,,,90.0,100.0,10^-41.9745,,,,,,,,,,,,,,,,,,0
34503,2,34503,Paragonimus,"",eukaryota,false,15655373.73452364,100,100,0.07609484888095676,2,,,88.564,62.0,10^-20.227,,,,,100,1565.5754208768044,41148,1,41147,80.4886,81.9988,10^-37.109,,,,,"[34504, 100269, 100268, 59629]",3
34504,1,34503,Paragonimus westermani,"",eukaryota,false,15655373.73452364,100,,,,,,,,,,,,,100,1565.537373452364,41147,1,41147,80.488,82.0,10^-37.1096,,,,,,1
100269,1,34503,Paragonimus kellicotti,"",eukaryota,false,380.4742444047838,100,,,,,,,,,,,,,100,0.03804742444047838,1,,,100.0,44.0,10^-17.1959,,,,,,1
100268,1,34503,Paragonimus heterotremus,"",eukaryota,false,380.4742444047838,100,100,0.03804742444047838,1,,,89.855,69.0,10^-24.981,,,,,,,,,,,,,,,,,,1
59629,1,34503,Paragonimus ohirai,"",eukaryota,false,380.4742444047838,100,100,0.03804742444047838,1,,,87.273,55.0,10^-15.4729,,,,,,,,,,,,,,,,,,0
6209,2,6209,Echinococcus,"",eukaryota,false,12395089.934219047,100,100,791.4244757863908,20801,427,10881,89.5511,283.015,10^-86.5945,,,,,100,1176.0839368796273,30911,222,25326,73.3188,128.637,10^-45.8644,,,,,"[6210, 6211, 519352, 460528, 6213, 6212, 519353, 260967, 2212969]",4
6210,1,6209,Echinococcus granulosus,"",eukaryota,false,12395089.934219047,100,100,781.9506671007117,20552,422,10768,89.5562,284.482,10^-86.9878,,,,,100,457.558326321193,12026,143,10241,80.6886,108.155,10^-44.9427,,,,,,1
