tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
11019,2,11019,Alphavirus,arboviruses group A,viruses,false,611267881.0343733,100,100,30567.842184291727,999885,5,996783,99.802,11844.9,10^-28.2032,,,,,100,30560.077059387553,999631,3,996738,99.6908,2464.87,10^-306.547,,,,,"[37124, 59300, 2169701, 11033, 59304, 11036, 2597680]",4
37124,1,11019,Chikungunya virus,"",viruses,false,611267881.0343733,100,100,30567.842184291727,999885,5,996783,99.802,11844.9,10^-28.2032,,,,,100,30558.945919145608,999594,3,996738,99.6916,2465.04,10^-306.568,,,,,,1
59300,1,11019,Getah virus,"",viruses,false,4891.41726247186,100,,,,,,,,,,,,,100,0.48914172624718605,16,,,99.6286,37.2857,10^-15.5184,,,,,,0
2169701,1,11019,Onyong-nyong virus,"",viruses,false,2751.4222101404216,100,,,,,,,,,,,,,100,0.2751422210140422,9,,,83.2,39.6,10^-12.1711,,,,,,1
11033,1,11019,Semliki Forest virus,"",viruses,false,1528.5678945224565,100,,,,,,,,,,,,,100,0.15285678945224565,5,,,81.8,36.3333,10^-7.93202,,,,,,1
59304,1,11019,Una virus,"",viruses,false,917.1407367134739,100,,,,,,,,,,,,,100,0.09171407367134739,3,,,87.8333,36.3333,10^-12.3149,,,,,,0
11036,1,11019,Venezuelan equine encephalitis virus,"",viruses,false,917.1407367134739,100,,,,,,,,,,,,,100,0.09171407367134739,3,,,82.4,51.0,10^-16.0097,,,,,,1
2597680,1,11019,Comber alphavirus,"",viruses,false,305.71357890449127,100,,,,,,,,,,,,,100,0.030571357890449128,1,,,63.6,44.0,10^-5.83268,,,,,,0
1912216,2,1912216,Cutibacterium,"",bacteria,false,83623363.80564003,100,100,4303.95804924899,140784,760,113519,99.7458,1877.03,10^-246.507,,,,,100,4199.709718842559,137374,721,111821,98.8033,147.733,10^-93.6872,,,,,"[1747, 33011, 1574624, 33010, 1050843, 2605781]",0
1747,1,1912216,Cutibacterium acnes,"",bacteria,false,83623363.80564003,100,100,4245.169328025657,138861,750,112764,99.7701,1897.25,10^-247.759,,,,,100,4117.167052538346,134674,698,110822,98.8409,149.481,10^-94.9249,,,,,,0
33011,1,1912216,Cutibacterium granulosum,"",bacteria,false,630381.399701061,100,100,50.93188224548825,1666,8,695,98.1301,408.049,10^-161.243,,,,,100,12.106257724617855,396,3,56,97.5889,48.4706,10^-23.1493,,,,,,0
1574624,1,1912216,[Propionibacterium] namnetense,"",bacteria,false,356156.31942373235,100,,,,,,,,,,,,,100,35.615631942373234,1165,16,421,98.3944,59.2094,10^-30.6333,,,,,,0
