tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
11019,2,11019,Alphavirus,arboviruses group A,viruses,false,76035991.10483646,100,100,3803.638839013106,19646,1,19432,99.809,11681.2,10^-304.683,,,,,100,3801.3155331967487,19634,1,19432,99.6362,2446.78,10^-304.359,,,,,"[37124, 2169701, 59300, 59301]",3
37124,1,11019,Chikungunya virus,"",viruses,false,76035991.10483646,100,100,3803.638839013106,19646,1,19432,99.809,11681.2,10^-304.683,,,,,100,3799.96027147054,19627,1,19432,99.6414,2448.04,10^-304.514,,,,,,1
2169701,1,11019,Onyong-nyong virus,"",viruses,false,5808.264540893474,100,,,,,,,,,,,,,100,0.5808264540893474,3,,,87.9,33.0,10^-9.38616,,,,,,1
59300,1,11019,Getah virus,"",viruses,false,5808.264540893474,100,,,,,,,,,,,,,100,0.5808264540893474,3,,,89.6333,30.3333,10^-8.25322,,,,,,0
59301,1,11019,Mayaro virus,"",viruses,false,1936.0881802978247,100,,,,,,,,,,,,,100,0.19360881802978247,1,,,95.7,23.0,10^-4.78516,,,,,,1
1511911,2,1511911,Tetraparvovirus,"",viruses,false,49699383.58824515,100,100,2529.4992075591076,13065,2,12611,99.0578,4612.45,10^-293.812,,,,,100,2441.4071953555567,12610,1,12289,99.5081,889.801,10^-299.515,,,,,"[1511913, 1511915, 2137541]",0
1511913,1,1511911,Primate tetraparvovirus 1,"",viruses,false,49699383.58824515,100,100,2529.4992075591076,13065,2,12611,99.0578,4612.45,10^-293.812,,,,,100,2440.439151265408,12605,1,12289,99.5104,890.202,10^-299.649,,,,,,0
1511915,1,1511911,Ungulate tetraparvovirus 2,"",viruses,false,7744.352721191299,100,,,,,,,,,,,,,100,0.7744352721191299,4,,,94.0333,29.6667,10^-12.0087,,,,,,0
2137541,1,1511911,Rodent tetraparvovirus,"",viruses,false,1936.0881802978247,100,,,,,,,,,,,,,100,0.19360881802978247,1,,,96.7,30.0,10^-10.8794,,,,,,0
1912216,2,1912216,Cutibacterium,"",bacteria,false,21784864.204711124,100,100,1144.615332192074,5912,34,4978,99.6842,2061.75,10^-263.465,,,,,100,1107.6360479483853,5721,31,4827,98.565,148.352,10^-94.2563,,,,,"[1747, 33011, 33010, 1574624, 2605781, 1050843]",0
1747,1,1912216,Cutibacterium acnes,"",bacteria,false,21784864.204711124,100,100,1085.5646426929902,5607,29,4753,99.7805,2149.6,10^-266.172,,,,,100,1092.921777778122,5645,30,4821,98.6035,149.454,10^-95.0528,,,,,,0
