tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
482,2,482,Neisseria,"",bacteria,false,103978578.56801525,100,100,5754.488937503871,446497,391,435721,98.3037,15895.1,10^-209.978,,,,,100,5735.221258299826,445002,386,435676,98.2067,748.282,10^-289.957,,,,,"[487, 486, 485, 483, 489, 1906581, 1715154, 1739463, 495, 490, 607711, 484, 1715117, 28449, 488, 192066, 1853278, 267212, 641148, 90242, 607712, 194197, 665946, 1581124, 712401, 1715087, 640030, 326522, 492, 1739328, 1715205, 1715179, 1581075, 1871108, 1871106, 1739546, 1739369, 1715052, 1470200, 2709396, 1871109, 1815583, 1739539, 1739456, 1739376, 1715140, 1692264, 1608896, 496, 493, 1739544, 1739440, 1739257, 1715075, 1715048, 1715031, 1581104, 1581049, 28091]",2
487,1,482,Neisseria meningitidis,"",bacteria,false,103978578.56801525,100,100,5734.899056306448,444977,381,434654,98.3107,15945.8,10^-210.466,,,,,100,4662.958800495077,361804,327,354351,98.5222,752.484,10^-289.179,,,,,,1
486,1,482,Neisseria lactamica,"",bacteria,false,4037190.9770347564,100,100,12.952520133822603,1005,3,864,95.9681,2558.49,10^-40.7231,,,,,100,390.76657756965307,30320,17,29995,97.2421,732.216,10^-300.289,,,,,,0
485,1,482,Neisseria gonorrhoeae,"",bacteria,false,2871077.522598668,100,100,2.732272903851136,212,2,54,99.0754,175.869,10^-109.514,,,,,100,284.37547935601566,22065,18,21221,96.7883,765.346,10^-290.164,,,,,,1
483,1,482,Neisseria cinerea,"",bacteria,false,1248854.9263357315,100,100,0.5541874286113153,43,1,14,98.278,123.115,10^-63.2616,,,,,100,124.33130520496184,9647,4,9556,98.5399,899.666,10^-302.69,,,,,,0
489,1,482,Neisseria polysaccharea,"",bacteria,false,828316.8845778891,100,100,1.765666923715121,137,1,107,94.5047,421.737,10^-250.952,,,,,100,81.0660215340738,6290,6,6177,94.4882,599.914,10^-295.128,,,,,,0
1906581,1,482,Neisseria bergeri,"",bacteria,false,470028.2679408063,100,,,,,,,,,,,,,100,47.002826794080626,3647,3,3627,98.2666,543.238,10^-290.658,,,,,,0
1715154,1,482,Neisseria sp. HMSC061H08,"",bacteria,false,458815.6385712285,100,,,,,,,,,,,,,100,45.88156385712285,3560,1,3560,95.839,745.0,10^-307.653,,,,,,0
1739463,1,482,Neisseria sp. HMSC070F02,"",bacteria,false,332770.2187614921,100,,,,,,,,,,,,,100,33.27702187614921,2582,2,2580,99.5349,441.479,10^-305.867,,,,,,0
495,1,482,Neisseria elongata,"",bacteria,false,298745.6882607044,100,100,0.29642583390837796,23,,,97.7853,92.3125,10^-47.4802,,,,,100,29.578142992162064,2295,1,2255,94.5605,1208.74,10^-301.897,,,,,,0
