tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
308865,2,308865,Elizabethkingia,"",bacteria,false,1382080920.2154942,100,100,134437.66315619898,971371,786,936879,99.813,1368.02,10^-208.93,,,,,100,4579.09956462155,33086,730,15197,99.0317,74.6353,10^-44.3819,,,,,"[1117645, 172045, 238, 1756150, 1867263, 1756149, 2796140, 2795116, 2681556, 2583851, 432638, 2135666, 2575699, 1883430]",2
1117645,1,308865,Elizabethkingia anophelis,"",bacteria,false,1382080920.2154942,100,100,134335.80081927215,970635,772,936602,99.8159,1369.19,10^-209.028,,,,,100,3872.2912022772875,27979,621,12887,99.1625,74.7747,10^-44.8354,,,,,,1
172045,1,308865,Elizabethkingia miricola,"",bacteria,false,3090470.0863809227,100,100,26.98798328904075,195,3,32,95.4729,183.811,10^-84.1771,,,,,100,282.0590253490515,2038,37,1008,98.0436,85.179,10^-49.6186,,,,,,0
238,1,308865,Elizabethkingia meningoseptica,"",bacteria,false,1233143.2364377081,100,100,21.036786974021506,152,2,30,97.5498,173.607,10^-89.2994,,,,,100,102.2775366697493,739,12,278,97.5878,63.8598,10^-34.8482,,,,,,1
1756150,1,308865,Elizabethkingia ursingii,"",bacteria,false,952191.4104030787,100,100,7.1967955437442,52,1,14,94.9508,180.4,10^-86.2078,,,,,100,88.02234549656367,636,17,246,98.7218,61.7871,10^-33.9399,,,,,,0
1867263,1,308865,Elizabethkingia occulta,"",bacteria,false,878839.4558226089,100,,,,,,,,,,,,,100,87.88394558226089,635,19,283,99.3975,67.309,10^-37.8273,,,,,,0
1756149,1,308865,Elizabethkingia bruuniana,"",bacteria,false,823479.4901014997,100,100,40.82797471931806,295,7,175,97.8133,264.073,10^-156.363,,,,,100,41.51997429083192,300,8,169,98.9759,75.9167,10^-44.0505,,,,,,0
2796140,1,308865,Elizabethkingia sp. M8,"",bacteria,false,651863.5963660611,100,100,0.9687994001194115,7,,,97.1705,134.0,10^-74.1095,,,,,100,64.2175602364867,464,11,204,98.7349,65.906,10^-34.233,,,,,,0
2795116,1,308865,Elizabethkingia sp. ASV34,"",bacteria,false,184071.88602268818,100,,,,,,,,,,,,,100,18.407188602268818,133,3,78,99.5582,87.4545,10^-54.9516,,,,,,0
2681556,1,308865,Elizabethkingia argenteiflava,"",bacteria,false,131479.91858763443,100,,,,,,,,,,,,,100,13.147991858763442,95,1,34,96.7235,72.0811,10^-41.37,,,,,,0
2583851,1,308865,Elizabethkingia sp. JS20170427COW,"",bacteria,false,49823.9691489983,100,100,0.4151997429083192,3,,,95.761,69.0,10^-31.1658,,,,,100,4.567197171991511,33,,,90.4364,47.3636,10^-18.2403,,,,,,0
432638,1,308865,uncultured Elizabethkingia sp.,"",bacteria,false,38751.97600477646,100,100,3.875197600477646,28,1,26,99.8718,94.9,10^-20.8755,,,,,,,,,,,,,,,,,,0
2135666,1,308865,Elizabethkingia sp. YR191,"",bacteria,false,31831.980289637806,100,,,,,,,,,,,,,100,3.1831980289637807,23,1,10,97.24,39.6,10^-17.6477,,,,,,0
2575699,1,308865,Elizabethkingia sp. 2-6,"",bacteria,false,11071.993144221846,100,100,0.5535996572110923,4,,,99.375,90.5,10^-48.5395,,,,,100,0.5535996572110923,4,,,100.0,49.0,10^-23.2314,,,,,,0
1883430,1,308865,Elizabethkingia sp. HvH-WGS333,"",bacteria,false,9687.994001194114,100,,,,,,,,,,,,,100,0.9687994001194115,7,,,100.0,49.0,10^-24.6861,,,,,,0
3869,2,3869,Lupinus,"",eukaryota,false,852666648.0288115,100,,,,,,,,,,,,,100,85267.35680245266,616094,25,613982,64.6502,184.628,10^-60.479,,,,,"[3870, 3871]",0
3870,1,3869,Lupinus albus,white lupine,eukaryota,false,852666648.0288115,100,,,,,,,,,,,,,100,85266.66480288115,616089,25,613982,64.6501,184.629,10^-60.4793,,,,,,0
3871,1,3869,Lupinus angustifolius,narrow-leaved blue lupine,eukaryota,false,6919.9957151386525,100,,,,,,,,,,,,,100,0.6919995715138653,5,,,75.5,49.0,10^-15.5406,,,,,,0
50582,2,50582,Ephemera,"",eukaryota,false,250095565.14082608,100,,,,,,,,,,,,,100,25009.556514082607,180705,4,180660,63.066,292.19,10^-95.4882,,,,,[1049336],0
1049336,1,50582,Ephemera danica,"",eukaryota,false,250095565.14082608,100,,,,,,,,,,,,,100,25009.556514082607,180705,4,180660,63.066,292.19,10^-95.4882,,,,,,0
-200,2,-200,all taxa with neither family nor genus classification,,,false,190274001.38233835,99,99,1209.8920508348422,8742,94,3091,98.0375,200.585,10^-108.11,0.133598,0.225203,,,99,22184.122263591493,160290,69,140538,49.6844,183.088,10^-29.0014,0.178546,0.31156,,,"[1768112, 77133, -100, 1852815, 100272, 175245, 2789431, 91750, 1883427, 155900, 1394709, 2653183, 417305, 2053607, 1913988, 2026724, 437475, 1701324, 1321888, 1978231, 86473, 1909291, 2053527, 2065442, 1635280, 710978, 698382, 2528023, 335445, 710731, 86027, 2026887, 1891241, 1898207, 1977087, 410823, 595691, 2202563, 710990, 1802014, 1768115, 1230846, 413882, 2527986, 710804, 2100421, 1802006, 1797501, 2026799, 1701327, 1659195, 164851, 2751154, 179883, 1909294, 1701325, 1540875, 2013796, 203449, 1802657, 1797491, 1643353, 710741, 152507, 2585031, 2052139, 2026735, 1930276, 1715222, 234666, 186617, 2717699, 1660164, 2572087, 713059, 1256574, 710981, 310071, 239364, 2026720, 1891238, 1811729, 171953, 2035813, 1970502, 515147, 2302989, 698390, 224209, 164852, 239730, 198431, 2482794, 2052180, 2026780, 1982331, 1970608, 1904640, 1898104, 1797504, 1425163, 208544, 2137193, 1909295, 1801970, 1645740, 1343840, 1869227, 1840567, 1617416, 1321856, 2053306, 1974856, 1970541, 113268, 1913989, 1797182, 1576952, 1307348, 748610, 2013765, 1895732, 1768113, 1617423, 1424958, 1239562, 1156560, 710732, 703515, 644527, 175244, 152509, 2728926, 2720905, 2053570, 2053541, 1930273, 1895828, 1393662, 1343846, 1343841, 170969, 140535, 32644, 1456245, 358574, 2043162, 2035413, 1978525, 1895710, 1757041, 1321895, 1263018, 1255718, 1239553, 526636, 235205, 157472, 1211, 2201156, 2030927, 2015582, 1982325, 1709941, 710997, 710788, 710780, 338723, 2781367, 2707525, 2161901, 2080303, 2026742, 2021391, 1982329, 1970481, 1897034, 1802654, 1798575, 1797225, 1635289, 1399952, 1091569, 990379, 874286, 659675, 453999, 338423, 209475, 38018, 13136, 2527982, 2053634, 1650907, 1617411, 1541146, 1321893, 1321892, 1292572, 710831, 682386, 283740, 281854, 175243, 172733]",0
