tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
561,2,561,Escherichia,"",bacteria,false,18179899.413034856,99,99,1095.3634266792405,3689,17,3481,99.8633,815.599,10^-246.902,1.68533,0.45815,,,99,759.5390743956349,2558,12,2398,98.6034,84.5618,10^-51.5758,0.971643,0.493712,,,[562],1
562,1,561,Escherichia coli,"",bacteria,false,18179899.413034856,99,99,1095.3634266792405,3689,17,3481,99.8633,815.599,10^-246.902,1.68533,0.45815,,,99,759.5390743956349,2558,12,2398,98.6034,84.5618,10^-51.5758,0.971643,0.493712,,,,1
528,2,528,Ochrobactrum,"",bacteria,false,13804132.747714255,100,100,1280.6458279391609,4313,16,3998,99.3678,558.312,10^-221.764,,,,,100,167.46678575415876,564,5,452,99.3657,97.8938,10^-65.7406,,,,,"[529, 2726427, 1449061, 407152, 94626, 571256, 1848704, 335286, 867683, 1720558, 1827297, 1435897, 267632]",0
529,1,528,Ochrobactrum anthropi,"",bacteria,false,13804132.747714255,100,100,1256.0008931561906,4230,15,3956,99.359,564.25,10^-225.256,,,,,100,124.41238161523496,419,2,370,99.5946,109.41,10^-75.786,,,,,,0
2726427,1,528,Ochrobactrum sp. MT180101,"",bacteria,false,240510.8093277812,100,100,24.05108093277812,81,1,42,99.7364,312.467,10^-72.7251,,,,,,,,,,,,,,,,,,0
1449061,1,528,Ochrobactrum sp. UNC390CL2Tsu3S39,"",bacteria,false,154402.0010499336,100,,,,,,,,,,,,,100,15.44020010499336,52,1,42,98.7836,87.4,10^-58.9556,,,,,,0
407152,1,528,Ochrobactrum cytisi,"",bacteria,false,127678.57779129125,100,,,,,,,,,,,,,100,12.767857779129125,43,1,21,98.7736,53.5,10^-27.9439,,,,,,0
94626,1,528,Ochrobactrum tritici,"",bacteria,false,56416.11576824497,100,,,,,,,,,,,,,100,5.641611576824497,19,1,19,100.0,49.0,10^-11.4698,,,,,,0
571256,1,528,Ochrobactrum pituitosum,"",bacteria,false,23754.154007682097,100,,,,,,,,,,,,,100,2.3754154007682096,8,,,94.0,29.75,10^-6.61012,,,,,,0
1848704,1,528,Ochrobactrum sp. MYb49,"",bacteria,false,20784.884756721833,100,,,,,,,,,,,,,100,2.078488475672183,7,,,100.0,30.0,10^-11.9777,,,,,,0
335286,1,528,Ochrobactrum oryzae,"",bacteria,false,17815.61550576157,100,,,,,,,,,,,,,100,1.781561550576157,6,,,98.45,32.0,10^-10.8898,,,,,,0
867683,1,528,Ochrobactrum pecoris,"",bacteria,false,14846.346254801309,100,,,,,,,,,,,,,100,1.4846346254801308,5,,,96.8,31.0,10^-10.2495,,,,,,0
1720558,1,528,Ochrobactrum sp. DDT2,"",bacteria,false,11877.077003841048,100,,,,,,,,,,,,,100,1.1877077003841048,4,,,99.0,33.0,10^-10.5632,,,,,,0
1827297,1,528,Ochrobactrum sp. MYb71,"",bacteria,false,2969.269250960262,100,,,,,,,,,,,,,100,0.2969269250960262,1,,,96.9,32.0,10^-10.3851,,,,,,0
1435897,1,528,Ochrobactrum sp. F66,"",bacteria,false,2969.269250960262,100,100,0.2969269250960262,1,,,100.0,86.0,10^-46.1571,,,,,,,,,,,,,,,,,,0
267632,1,528,uncultured Ochrobactrum sp.,"",bacteria,false,2969.269250960262,100,100,0.2969269250960262,1,,,100.0,98.0,10^-51.5899,,,,,,,,,,,,,,,,,,0
11040,2,11040,Rubivirus,"",viruses,false,7503343.397176581,100,100,378.28490257233733,1274,5,1124,99.855,909.368,10^-199.076,,,,,100,372.0494371453208,1253,4,1117,99.5151,192.355,10^-115.221,,,,,[11041],1
11041,1,11040,Rubella virus,"",viruses,false,7503343.397176581,100,100,378.28490257233733,1274,5,1124,99.855,909.368,10^-199.076,,,,,100,372.0494371453208,1253,4,1117,99.5151,192.355,10^-115.221,,,,,,1
-200,2,-200,all taxa with neither family nor genus classification,,,false,7017268.973036661,99,99,207.84884756721831,700,5,377,95.1273,254.688,10^-55.9682,0.133598,0.225203,,,99,2125.106002912259,7157,24,4703,73.5527,69.7653,10^-27.8119,0.178546,0.31156,,,"[-100, 2320110, 2044939, 713053, 1897049, 77133, 2107702, 1898207, 1641811, 1262999, 1869227, 710808, 175245, 1852815, 710788, 2137878, 1970477, 2026799, 2053607, 2320102, 1393627, 2320104, 1879010, 1898104, 2109688, 155900, 1897032, 1263030, 1624753, 1897034, 1852816, 1919186, 1603295, 2026724, 1262997, 798577, 2030927, 2013785, 1895839, 1802132, 1797556, 1797553, 1768115, 1701327, 708113, 547482, 239730, 164851, 1932704, 1895829, 1895828, 1883427, 1769364, 136703, 100272, 32644, 2540710, 2052181, 2026771, 1891241, 1817827, 1802179, 198431, 91750]",0
-100,1,-200,all taxa with neither family nor genus classification,,,false,7017268.973036661,100,100,8.313953902688732,28,,,99.7644,98.3889,10^-53.3803,,,,,99,707.5768625038304,2383,,,85.9163,30.8692,10^-7.9645,0.143897,0.321763,,,,0
2320110,1,-200,bacterium 1XD42-54,"",bacteria,false,3662712.391829521,100,,,,,,,,,,,,,100,369.9709486696486,1246,1,1246,69.811,53.0,10^-18.0645,,,,,,0
2044939,1,-200,Clostridia bacterium,"",bacteria,false,1948939.258252787,100,,,,,,,,,,,,,100,196.86255133866536,663,2,662,61.2559,109.47,10^-55.6785,,,,,,0
713053,1,-200,TM7 phylum sp. oral taxon 351,"",bacteria,false,1710833.5570182835,100,,,,,,,,,,,,,100,172.81147040588723,582,1,582,49.231,65.0,10^-16.0696,,,,,,0
1897049,1,-200,Clostridiales bacterium 59_14,"",bacteria,false,1463909.1261084282,100,,,,,,,,,,,,,100,147.86960869782104,498,1,498,51.639,122.0,10^-38.7011,,,,,,0
77133,1,-200,uncultured bacterium,"",bacteria,false,1365256.9368068243,100,99,135.39867784378794,456,4,271,94.193,262.927,10^-61.425,0.0346493,0.0774782,,,100,3.86005002624834,13,,,88.1833,27.8333,10^-8.75568,,,,,,0
2107702,1,-200,filamentous cyanobacterium CCT1,"",bacteria,false,702558.7974697074,100,,,,,,,,,,,,,100,70.96553509795025,239,1,239,86.861,137.0,10^-81.2984,,,,,,0
1898207,1,-200,Clostridiales bacterium,"",bacteria,false,696679.6443528063,100,,,,,,,,,,,,,100,70.3716812477582,237,3,233,76.3948,134.138,10^-68.4446,,,,,,0
1641811,1,-200,Actinobacteria bacterium IMCC26207,"",bacteria,false,599673.6179239345,100,,,,,,,,,,,,,100,60.57309271958934,204,1,204,89.423,104.0,10^-65.618,,,,,,0
1262999,1,-200,Firmicutes bacterium CAG:103,"",bacteria,false,470332.2493521054,100,,,,,,,,,,,,,100,47.508308015364186,160,1,160,66.102,118.0,10^-38.0915,,,,,,0
1869227,1,-200,bacterium,"",bacteria,false,467392.6727936548,100,,,,,,,,,,,,,100,47.21138109026816,159,1,158,63.9096,136.765,10^-49.5203,,,,,,0
710808,1,-200,uncultured alpha proteobacterium HF0130_06E21,"",bacteria,false,417419.8712999936,100,,,,,,,,,,,,,100,42.163623363635715,142,1,113,86.1349,24.4828,10^-11.1641,,,,,,0
175245,1,-200,uncultured fungus,"",eukaryota,false,358628.3401309804,100,100,36.225084861715196,122,1,106,99.1814,401.121,10^-48.9672,,,,,,,,,,,,,,,,,,0
1852815,1,-200,Bacteroidetes bacterium ADurb.BinA012,"",bacteria,false,270441.0433774606,100,,,,,,,,,,,,,100,27.317277108834407,92,1,92,73.81,84.0,10^-39.2644,,,,,,0
710788,1,-200,uncultured Rhodospirillales bacterium HF4000_24M03,"",bacteria,false,235166.1246760527,100,,,,,,,,,,,,,100,23.754154007682093,80,1,80,69.231,65.0,10^-21.3261,,,,,,0
2137878,1,-200,Selenomonadales bacterium,"",bacteria,false,211649.51220844747,100,,,,,,,,,,,,,100,21.378738606913885,72,1,72,89.437,142.0,10^-88.6326,,,,,,0
1970477,1,-200,Candidatus Saccharibacteria bacterium 32-45-3,"",bacteria,false,211649.51220844747,100,,,,,,,,,,,,,100,21.378738606913885,72,1,72,75.424,118.0,10^-63.5143,,,,,,0
2026799,1,-200,Verrucomicrobia bacterium,"",bacteria,false,170495.44039013825,100,,,,,,,,,,,,,100,17.22176165556952,58,1,58,64.286,98.0,10^-41.1765,,,,,,0
2053607,1,-200,Candidatus Rokubacteria bacterium,"",bacteria,false,141099.67480563163,100,,,,,,,,,,,,,100,14.252492404609256,48,1,40,64.2934,67.2222,10^-18.8561,,,,,,0
2320102,1,-200,bacterium 1XD42-8,"",bacteria,false,129341.36857182899,100,,,,,,,,,,,,,100,13.06478470422515,44,1,44,72.414,58.0,10^-24.0691,,,,,,0
1393627,1,-200,uncultured bacterium Contig9,"",bacteria,false,123462.21545492769,100,100,12.4709308540331,42,,,88.7727,88.5294,10^-34.0777,,,,,,,,,,,,,,,,,,0
2320104,1,-200,bacterium D16-54,"",bacteria,false,111703.90922112504,100,,,,,,,,,,,,,100,11.283223153648994,38,1,38,87.805,123.0,10^-73.857,,,,,,0
1879010,1,-200,Firmicutes bacterium,"",bacteria,false,49405.284110246976,80.0330431917178,,,,,,,,,,,,,80.0330431917178,6.23546542701655,21,1,16,67.6854,56.0,10^-16.2172,0.0346493,0.0774782,,,,0
1898104,1,-200,Bacteroidetes bacterium,"",bacteria,false,41154.071818309225,100,,,,,,,,,,,,,100,4.156976951344366,14,,,88.62,28.2,10^-5.32595,,,,,,0
2109688,1,-200,Clostridiales bacterium CCNA10,"",bacteria,false,32335.342142957248,100,100,3.2661961760562876,11,,,85.9902,62.8,10^-18.2974,,,,,,,,,,,,,,,,,,0
155900,1,-200,uncultured organism,"",,false,32335.342142957248,100,100,3.2661961760562876,11,,,99.1512,97.3333,10^-50.6781,,,,,,,,,,,,,,,,,,0
1897032,1,-200,Firmicutes bacterium CAG:24053_14,"",bacteria,false,29395.76558450659,100,,,,,,,,,,,,,100,2.9692692509602616,10,,,74.7333,31.3333,10^-7.40903,,,,,,0
1263030,1,-200,Firmicutes bacterium CAG:555,"",bacteria,false,29395.76558450659,100,,,,,,,,,,,,,100,2.9692692509602616,10,,,65.3,31.0,10^-6.17949,,,,,,0
1624753,1,-200,uncultured bacterium BD_contig01064,"",bacteria,false,23516.612467605275,100,100,2.3754154007682096,8,,,94.712,62.6,10^-23.6658,,,,,,,,,,,,,,,,,,0
1897034,1,-200,Firmicutes bacterium CAG:321_26_22,"",bacteria,false,17637.459350703954,100,,,,,,,,,,,,,100,1.781561550576157,6,,,74.2,31.0,10^-4.27003,,,,,,0
1852816,1,-200,Bacteroidetes bacterium ADurb.BinA104,"",bacteria,false,17637.459350703954,100,,,,,,,,,,,,,100,1.781561550576157,6,,,84.6,26.0,10^-6.88273,,,,,,0
1919186,1,-200,Halobacteriales archaeon QS_8_65_32,"",archaea,false,14697.882792253295,100,,,,,,,,,,,,,100,1.4846346254801308,5,,,96.9,29.0,10^-9.90196,,,,,,0
1603295,1,-200,fungal sp. No.11243,"",eukaryota,false,14697.882792253295,100,,,,,,,,,,,,,100,1.4846346254801308,5,,,78.7333,30.0,10^-5.00671,,,,,,0
2026724,1,-200,Chloroflexi bacterium,"",bacteria,false,11758.306233802638,100,,,,,,,,,,,,,100,1.1877077003841048,4,,,77.0667,32.0,10^-6.98551,,,,,,0
1262997,1,-200,Firmicutes bacterium CAG:582,"",bacteria,false,11758.306233802638,100,,,,,,,,,,,,,100,1.1877077003841048,4,,,81.8,33.0,10^-5.69982,,,,,,0
798577,1,-200,uncultured Nitrospirae bacterium MY2-3C,"",bacteria,false,11758.306233802638,100,100,1.1877077003841048,4,,,98.485,66.0,10^-29.8036,,,,,,,,,,,,,,,,,,0
2030927,1,-200,Bacteroidales bacterium,"",bacteria,false,8818.729675351977,100,,,,,,,,,,,,,100,0.8907807752880785,3,,,100.0,21.0,10^-3.5867,,,,,,0
2013785,1,-200,Firmicutes bacterium HGW-Firmicutes-4,"",bacteria,false,8818.729675351977,100,,,,,,,,,,,,,100,0.8907807752880785,3,,,74.2,31.0,10^-5.62525,,,,,,0
1895839,1,-200,Sphingobacteriales bacterium 46-32,"",bacteria,false,8818.729675351977,100,,,,,,,,,,,,,100,0.8907807752880785,3,,,66.7,30.0,10^-4.0,,,,,,0
1802132,1,-200,Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_01_FULL_45_15,"",bacteria,false,8818.729675351977,100,,,,,,,,,,,,,100,0.8907807752880785,3,,,61.3,31.0,10^-6.19314,,,,,,0
1797556,1,-200,Burkholderiales bacterium RIFCSPHIGHO2_12_63_9,"",bacteria,false,8818.729675351977,100,,,,,,,,,,,,,100,0.8907807752880785,3,,,95.7,23.0,10^-3.44977,,,,,,0
1797553,1,-200,Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_64_960,"",bacteria,false,8818.729675351977,100,,,,,,,,,,,,,100,0.8907807752880785,3,,,95.8,24.0,10^-3.99568,,,,,,0
1768115,1,-200,bacterium F082,"",bacteria,false,8818.729675351977,100,,,,,,,,,,,,,100,0.8907807752880785,3,,,98.9,30.3333,10^-11.2058,,,,,,0
1701327,1,-200,uncultured bacterium 5H7,"",bacteria,false,8818.729675351977,100,,,,,,,,,,,,,100,0.8907807752880785,3,,,78.1,32.0,10^-10.6819,,,,,,0
708113,1,-200,Rhizobiales bacterium IZ6,"",bacteria,false,8818.729675351977,100,,,,,,,,,,,,,100,0.8907807752880785,3,,,92.05,31.5,10^-12.235,,,,,,0
547482,1,-200,uncultured Pucciniomycotina,"",eukaryota,false,8818.729675351977,100,100,0.8907807752880785,3,,,100.0,69.0,10^-34.5876,,,,,,,,,,,,,,,,,,0
239730,1,-200,uncultured Actinomycetales bacterium,"",bacteria,false,8818.729675351977,100,100,0.8907807752880785,3,,,100.0,91.0,10^-49.5656,,,,,,,,,,,,,,,,,,0
164851,1,-200,uncultured soil bacterium,"",bacteria,false,8818.729675351977,100,100,0.8907807752880785,3,,,100.0,41.0,10^-8.73863,,,,,,,,,,,,,,,,,,0
1932704,1,-200,bacterium B17,"",bacteria,false,5879.153116901319,100,,,,,,,,,,,,,100,0.5938538501920524,2,,,77.8,27.0,10^-7.08092,,,,,,0
1895829,1,-200,Candidatus Saccharibacteria bacterium 49-20,"",bacteria,false,5879.153116901319,100,,,,,,,,,,,,,100,0.5938538501920524,2,,,93.65,31.5,10^-8.99185,,,,,,0
1895828,1,-200,Candidatus Saccharibacteria bacterium 47-87,"",bacteria,false,5879.153116901319,100,,,,,,,,,,,,,100,0.5938538501920524,2,,,63.6,33.0,10^-4.266,,,,,,0
1883427,1,-200,Actinobacteria bacterium,"",bacteria,false,5879.153116901319,100,,,,,,,,,,,,,100,0.5938538501920524,2,,,93.75,32.0,10^-11.6694,,,,,,0
1769364,1,-200,Pleosporineae sp.,"",eukaryota,false,5879.153116901319,100,100,0.5938538501920524,2,,,100.0,63.0,10^-29.1376,,,,,,,,,,,,,,,,,,0
136703,1,-200,uncultured rumen bacterium,"",bacteria,false,5879.153116901319,100,100,0.5938538501920524,2,,,99.49,85.0,10^-43.4226,,,,,,,,,,,,,,,,,,0
100272,1,-200,uncultured eukaryote,"",eukaryota,false,5879.153116901319,100,100,0.5938538501920524,2,,,100.0,68.0,10^-33.9078,,,,,,,,,,,,,,,,,,0
32644,1,-200,unidentified,"",,false,5879.153116901319,100,100,0.5938538501920524,2,,,100.0,99.0,10^-53.644,,,,,,,,,,,,,,,,,,0
2540710,1,-200,Bacteroidales bacterium St1,"",bacteria,false,2939.5765584506594,100,,,,,,,,,,,,,100,0.2969269250960262,1,,,100.0,21.0,10^-5.81248,,,,,,0
2052181,1,-200,Planctomycetia bacterium,"",bacteria,false,2939.5765584506594,100,,,,,,,,,,,,,100,0.2969269250960262,1,,,80.6,31.0,10^-5.86646,,,,,,0
