tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
561,2,561,Escherichia,"",bacteria,false,13939141.00890546,99,99,576.777782982077,11329,5,10307,99.9367,1101.68,10^-284.029,1.68533,0.45815,,,99,846.711210943148,16631,7,15878,97.3508,97.3761,10^-61.4421,0.971643,0.493712,,,"[562, 2044459]",1
562,1,561,Escherichia coli,"",bacteria,false,13939141.00890546,99,99,576.777782982077,11329,5,10307,99.9367,1101.68,10^-284.029,1.68533,0.45815,,,99,845.4384203548743,16606,7,15878,97.352,97.4404,10^-61.4897,0.971643,0.493712,,,,1
2044459,1,561,Escherichia sp. E2661,"",bacteria,false,12600.626823908913,100,,,,,,,,,,,,,100,1.2727905882736277,25,,,96.325,41.5,10^-20.0711,,,,,,0
4930,2,4930,Saccharomyces,"",eukaryota,false,8498168.199785355,100,100,519.2985600156401,10200,21,7458,99.6933,404.978,10^-150.446,,,,,100,356.5850112107395,7004,12,5222,99.2463,64.6858,10^-39.9759,,,,,"[4932, 1080349, 374374, 89981, 332112, 4931, 114524]",1
4932,1,4930,Saccharomyces cerevisiae,baker's yeast,eukaryota,false,8498168.199785355,100,100,494.35186448547694,9710,20,6992,99.7404,410.141,10^-150.369,,,,,100,355.4649554930587,6982,12,5222,99.2496,64.7916,10^-40.0625,,,,,,1
1080349,1,4930,Saccharomyces eubayanus,"",eukaryota,false,243866.67671322703,100,100,23.72481656542042,466,1,466,98.734,316.0,10^-157.067,,,,,100,0.6618511059022864,13,,,100.0,28.0,10^-10.1232,,,,,,0
374374,1,4930,Saccharomyces sp. ST-422,"",eukaryota,false,6109.394823713412,100,100,0.6109394823713412,12,,,100.0,86.0,10^-46.1571,,,,,,,,,,,,,,,,,,0
89981,1,4930,Saccharomyces bayanus x Saccharomyces cerevisiae,"",eukaryota,false,5091.162353094511,100,100,0.509116235309451,10,,,100.0,90.0,10^-48.8821,,,,,,,,,,,,,,,,,,0
332112,1,4930,Saccharomyces cerevisiae x Saccharomyces kudriavzevii,"",eukaryota,false,4072.9298824756083,100,,,,,,,,,,,,,100,0.4072929882475608,8,,,95.8,24.0,10^-6.72354,,,,,,0
4931,1,4930,Saccharomyces bayanus,"",eukaryota,false,1018.2324706189021,100,100,0.1018232470618902,2,,,99.4505,91.0,10^-48.8773,,,,,,,,,,,,,,,,,,0
114524,1,4930,Saccharomyces kudriavzevii,"",eukaryota,false,509.11623530945104,100,,,,,,,,,,,,,100,0.0509116235309451,1,,,96.4,28.0,10^-9.51286,,,,,,0
-200,2,-200,all taxa with neither family nor genus classification,,,false,3229288.642431376,99,99,431.5778326718216,8477,12,7008,99.6472,2286.13,10^-255.355,0.133598,0.225203,,,99,77.53840263762939,1523,11,877,88.1263,52.603,10^-24.5396,0.178546,0.31156,,,"[86473, 77133, -100, 155900, 2053607, 2653183, 1802006, 2563920, 698382, 282509, 175245, 2482794, 100272, 1180632, 1797568, 1211, 1193705, 1672391, 1196027, 152507, 1256574, 710974, 1978525, 1343837, 410624, 1797558, 710741, 1930276, 621008, 1180918, 644527, 417305, 1768115, 198431]",0
86473,1,-200,uncultured Gammaproteobacteria bacterium,"",bacteria,false,3229288.642431376,100,100,326.19077196276527,6407,1,6407,99.7284,2946.0,10^-307.653,,,,,,,,,,,,,,,,,,0
77133,1,-200,uncultured bacterium,"",bacteria,false,1096834.1625139753,100,99,80.69492329654798,1585,6,279,99.4516,148.079,10^-80.6948,0.0346493,0.0774782,,,100,30.90335548328368,607,5,546,92.0322,57.792,10^-31.1369,,,,,,0
-100,1,-200,all taxa with neither family nor genus classification,,,false,195870.4440402814,78.1916500495076,,,,,,,,,,,,,78.1916500495076,25.303076894879716,497,,,88.0314,39.2097,10^-13.5169,0.143897,0.321763,,,,0
155900,1,-200,uncultured organism,"",,false,125502.24316613279,100,100,12.676994259205332,249,2,202,99.9395,274.932,10^-143.152,,,,,,,,,,,,,,,,,,0
2053607,1,-200,Candidatus Rokubacteria bacterium,"",bacteria,false,73587.66065162806,100,,,,,,,,,,,,,100,7.433097035517985,146,1,127,71.0825,72.9231,10^-26.8928,,,,,,0
