tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen,lcrp_pathogen,divergent_pathogen
2801325,2,2801325,Neoporphyra,"",eukaryota,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,86.543,46.5,10^-20.3279,,,,,[79731],0,0,0
79731,1,2801325,Neoporphyra seriata,"",eukaryota,false,,,,,,,,,,,,,,,,0.013333776192486607,2,,,86.543,46.5,10^-20.3279,,,,,,0,0,0
2800681,2,2800681,Aurantiacibacter,"",bacteria,false,,,,,,,,,,,,,,,,0.026667552384973214,4,1,4,38.889,108.0,10^-16.8447,,,,,[1648404],0,0,0
1648404,1,2800681,Aurantiacibacter atlanticus,"",bacteria,false,,,,,,,,,,,,,,,,0.026667552384973214,4,1,4,38.889,108.0,10^-16.8447,,,,,,0,0,0
2800384,2,2800384,Pseudidiomarina,"",bacteria,false,,,,,,,,,,,,,,,,0.04000132857745982,6,,,94.1667,38.1667,10^-15.7109,,,,,[624146],0,0,0
624146,1,2800384,Pseudidiomarina aestuarii,"",bacteria,false,,,,,,,,,,,,,,,,0.04000132857745982,6,,,94.1667,38.1667,10^-15.7109,,,,,,0,0,0
2795973,2,2795973,Stieleria,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,51.9,52.0,10^-6.51428,,,,,[2528005],0,0,0
2528005,1,2795973,Stieleria varia,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,51.9,52.0,10^-6.51428,,,,,,0,0,0
2795426,2,2795426,Novipirellula,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,63.6,33.0,10^-5.0348,,,,,[2528016],0,0,0
2528016,1,2795426,Novipirellula artificiosorum,"",bacteria,false,,,,,,,,,,,,,,,,0.006666888096243303,1,,,63.6,33.0,10^-5.0348,,,,,,0,0,0
